Time_sec,ExpectedPos,ActualPos
0.0000,3.0416,3.0416
0.0330,2.9916,2.9916
0.0710,2.9416,2.9416
0.1210,2.8416,2.8416
0.1530,2.7916,2.7916
0.1920,2.7416,2.7416
0.2420,2.6416,2.6416
0.2750,2.5916,2.5916
0.3130,2.5416,2.5416
0.4340,2.3916,2.3916
0.4850,2.2916,2.2916
0.5190,2.2416,2.2416
0.5570,2.1916,2.1916
0.6070,2.0916,2.0916
0.6410,2.0416,2.0416
0.6800,1.9916,1.9916
0.7290,1.9416,1.9416
0.7630,1.8916,1.8916
0.8010,1.7916,1.7916
0.8490,1.7416,1.7416
1.0390,1.4916,1.4916
1.0890,1.3916,1.3916
1.1210,1.3416,1.3416
1.1590,1.2916,1.2916
1.2100,1.1916,1.1916
1.2430,1.1416,1.1416
1.2820,1.0916,1.0916
1.3320,0.9916,0.9916
1.4510,0.8416,0.8416
1.4840,0.7916,0.7916
1.5210,0.7416,0.7416
1.5700,0.6916,0.6916
1.6030,0.6416,0.6416
1.6400,0.5916,0.5916
1.6900,0.5416,0.5416
1.7230,0.4916,0.4916
1.7610,0.4416,0.4416
1.8110,0.3416,0.3416
1.8440,0.2916,0.2916
1.8810,0.2416,0.2416
2.0010,0.0916,0.0916
2.0510,0.0416,0.0416
2.0830,-0.0084,-0.0084
2.1210,-0.0584,-0.0584
2.1700,-0.1084,-0.1084
2.2030,-0.1584,-0.1584
2.2410,-0.2584,-0.2584
2.2910,-0.3084,-0.3084
2.3240,-0.3584,-0.3584
2.3620,-0.4584,-0.4584
2.4120,-0.5084,-0.5084
2.4440,-0.5584,-0.5584
2.4810,-0.6084,-0.6084
2.5310,-0.7084,-0.7084
2.5640,-0.7584,-0.7584
2.6020,-0.8084,-0.8084
2.6520,-0.8584,-0.8584
2.6850,-0.9084,-0.9084
2.7230,-0.9584,-0.9584
2.7730,-1.0584,-1.0584
2.8060,-1.1084,-1.1084
2.8440,-1.1584,-1.1584
2.8930,-1.2584,-1.2584
2.9260,-1.3084,-1.3084
2.9640,-1.3584,-1.3584
3.0130,-1.4084,-1.4084
3.0470,-1.4584,-1.4584
3.0870,-1.5084,-1.5084
3.1370,-1.6084,-1.6084
3.1700,-1.6584,-1.6584
3.2080,-1.7084,-1.7084
3.2580,-1.8084,-1.8084
3.2920,-1.8584,-1.8584
3.3330,-1.9084,-1.9084
3.3830,-1.9584,-1.9584
3.4540,-2.0584,-2.0584
3.5750,-2.2084,-2.2084
3.6250,-2.3084,-2.3084
3.6580,-2.3584,-2.3584
3.6960,-2.4084,-2.4084
3.7460,-2.4584,-2.4584
3.7790,-2.5084,-2.5084
3.8160,-2.5584,-2.5584
3.8660,-2.6584,-2.6584
3.9010,-2.7084,-2.7084
4.0200,-2.8584,-2.8584
4.0580,-2.9084,-2.9084
4.1080,-3.0084,-3.0084
4.1420,-3.0584,-3.0584
4.1790,-3.1084,-3.1084
4.2290,-3.1584,-3.1584
4.2620,-3.2584,-3.2584
4.3020,-3.3084,-3.3084
4.3520,-3.3584,-3.3584
4.3840,-3.4084,-3.4084
4.4220,-3.4584,-3.4584
4.4720,-3.5584,-3.5584
4.5060,-3.6084,-3.6084
4.6260,-3.7584,-3.7584
4.6690,-3.8084,-3.8084
4.7140,-3.9084,-3.9084
4.7470,-3.9584,-3.9584
4.7850,-4.0084,-4.0084
4.8350,-4.0584,-4.0584
4.8710,-4.1084,-4.1084
4.9080,-4.1584,-4.1584
5.0320,-4.3584,-4.3584
5.0820,-4.4084,-4.4084
5.1150,-4.4584,-4.4584
5.1540,-4.5084,-4.5084
5.2040,-4.6084,-4.6084
5.2370,-4.6584,-4.6584
5.3590,-4.8084,-4.8084
5.3960,-4.8584,-4.8584
5.4460,-4.9084,-4.9084
5.4800,-4.9584,-4.9584
5.5170,-5.0084,-5.0084
5.5680,-5.0584,-5.0584
5.6010,-5.1084,-5.1084
5.6390,-5.1584,-5.1584
5.6890,-5.2084,-5.2084
5.7210,-5.2584,-5.2584
5.7610,-5.3584,-5.3584
5.8090,-5.4084,-5.4084
5.9320,-5.5084,-5.5084
5.9640,-5.5584,-5.5584
6.0020,-5.6084,-5.6084
6.0520,-5.6584,-5.6584
6.0840,-5.7084,-5.7084
6.1220,-5.7584,-5.7584
6.1720,-5.8584,-5.8584
6.2060,-5.9084,-5.9084
6.2440,-5.9584,-5.9584
6.2940,-6.0084,-6.0084
6.3280,-6.0584,-6.0584
6.3660,-6.1084,-6.1084
6.4160,-6.2084,-6.2084
6.4870,-6.3084,-6.3084
6.5360,-6.3584,-6.3584
6.5690,-6.4084,-6.4084
6.6080,-6.4584,-6.4584
6.6570,-6.5084,-6.5084
6.6900,-6.5584,-6.5584
6.7280,-6.6584,-6.6584
6.7770,-6.7084,-6.7084
6.8110,-6.7584,-6.7584
6.8500,-6.8084,-6.8084
6.9010,-6.9084,-6.9084
6.9340,-6.9584,-6.9584
6.9720,-7.0084,-7.0084
7.0210,-7.1084,-7.1084
7.0540,-7.1584,-7.1584
7.0920,-7.2084,-7.2084
7.1430,-7.2584,-7.2584
7.1760,-7.3084,-7.3084
7.2130,-7.3584,-7.3584
7.2630,-7.4584,-7.4584
7.2960,-7.5084,-7.5084
7.3350,-7.5584,-7.5584
7.3860,-7.6084,-7.6084
7.4200,-7.6584,-7.6584
7.4570,-7.7084,-7.7084
7.5070,-7.8084,-7.8084
7.5400,-7.8584,-7.8584
7.5770,-7.9084,-7.9084
7.6280,-7.9584,-7.9584
7.6620,-8.0084,-8.0084
7.6990,-8.0584,-8.0584
7.8230,-8.2584,-8.2584
7.8740,-8.3584,-8.3584
7.9090,-8.4084,-8.4084
7.9480,-8.4584,-8.4584
8.0000,-8.5084,-8.5084
8.0360,-8.5584,-8.5584
8.0730,-8.6084,-8.6084
8.1230,-8.7084,-8.7084
8.1570,-8.7584,-8.7584
8.3670,-9.0584,-9.0584
8.3990,-9.1084,-9.1084
