utc_iso,unix_ms,seq,cmd_seq_echo,t0_echo,t1_echo,t3_recv,tq_dequeue,t4_physics,t5_send,t6_unity
2026-05-23T17:52:49.1210130Z,1779558769121,1,0,0,0,0,0,1779558769106,1779558769106,1779558769098
2026-05-23T17:52:49.1522070Z,1779558769152,2,0,0,0,0,0,1779558769140,1779558769140,1779558769132
2026-05-23T17:52:49.1841150Z,1779558769184,3,0,0,0,0,0,1779558769177,1779558769178,1779558769170
2026-05-23T17:52:49.2491110Z,1779558769249,4,0,0,0,0,0,1779558769227,1779558769227,1779558769219
2026-05-23T17:52:49.2543980Z,1779558769254,5,0,0,0,0,0,1779558769260,1779558769260,1779558769252
2026-05-23T17:52:49.3185150Z,1779558769318,6,0,0,0,0,0,1779558769299,1779558769299,1779558769291
2026-05-23T17:52:49.3514380Z,1779558769351,7,0,0,0,0,0,1779558769349,1779558769349,1779558769341
2026-05-23T17:52:49.3831300Z,1779558769383,8,0,0,0,0,0,1779558769381,1779558769381,1779558769374
2026-05-23T17:52:49.4159950Z,1779558769415,9,0,0,0,0,0,1779558769420,1779558769420,1779558769413
2026-05-23T17:52:49.5198340Z,1779558769519,10,0,0,0,0,0,1779558769470,1779558769471,1779558769463
2026-05-23T17:52:49.5198980Z,1779558769519,11,0,0,0,0,0,1779558769503,1779558769503,1779558769495
2026-05-23T17:52:49.5939690Z,1779558769593,12,0,0,0,0,0,1779558769541,1779558769541,1779558769533
2026-05-23T17:52:49.5940340Z,1779558769594,13,0,0,0,0,0,1779558769592,1779558769592,1779558769585
2026-05-23T17:52:49.6298360Z,1779558769629,14,0,0,0,0,0,1779558769627,1779558769627,1779558769620
2026-05-23T17:52:49.6619330Z,1779558769661,15,0,0,0,0,0,1779558769665,1779558769665,1779558769658
2026-05-23T17:52:49.7268020Z,1779558769726,16,0,0,0,0,0,1779558769715,1779558769716,1779558769708
2026-05-23T17:52:49.7586910Z,1779558769758,17,0,0,0,0,0,1779558769748,1779558769748,1779558769741
2026-05-23T17:52:49.7907610Z,1779558769790,18,0,0,0,0,0,1779558769785,1779558769785,1779558769778
2026-05-23T17:52:49.8551050Z,1779558769855,19,0,0,0,0,0,1779558769835,1779558769835,1779558769828
2026-05-23T17:52:49.8872500Z,1779558769887,20,0,0,0,0,0,1779558769868,1779558769868,1779558769861
2026-05-23T17:52:49.9194590Z,1779558769919,21,0,0,0,0,0,1779558769907,1779558769907,1779558769899
2026-05-23T17:52:49.9512910Z,1779558769951,22,0,0,0,0,0,1779558769957,1779558769957,1779558769949
2026-05-23T17:52:49.9836920Z,1779558769983,23,0,0,0,0,0,1779558769990,1779558769990,1779558769982
2026-05-23T17:52:50.0244220Z,1779558770024,24,0,0,0,0,0,1779558770028,1779558770029,1779558770021
2026-05-23T17:52:50.0933490Z,1779558770093,25,0,0,0,0,0,1779558770079,1779558770079,1779558770071
2026-05-23T17:52:50.1294310Z,1779558770129,26,0,0,0,0,0,1779558770113,1779558770113,1779558770105
2026-05-23T17:52:50.1615010Z,1779558770161,27,0,0,0,0,0,1779558770151,1779558770152,1779558770144
2026-05-23T17:52:50.2261080Z,1779558770226,28,0,0,0,0,0,1779558770203,1779558770203,1779558770195
2026-05-23T17:52:50.2579880Z,1779558770257,29,0,0,0,0,0,1779558770237,1779558770237,1779558770229
2026-05-23T17:52:50.2899220Z,1779558770289,30,0,0,0,0,0,1779558770275,1779558770276,1779558770268
