seq,cmd_seq_echo,T0_ms,T1_ms,T3_ns,TQ_ms,T4_ns,T6_ms,T7_ms,RTT_ms,Processing_ns,QueueDelay_ms,Network_ms,RenderDelay_ms,MTP_ms,Jitter_ms
52,2,1779559006301,1779559006307,1779559006317,1779559006328,1779559006328,1779559006321,1779559006339,14,0,11,3,18,32,10.9603
53,3,1779559006301,1779559006338,1779559006347,1779559006362,1779559006362,1779559006355,1779559006371,17,0,15,2,16,33,10.4533
54,4,1779559006301,1779559006371,1779559006379,1779559006405,1779559006405,1779559006397,1779559006403,26,0,26,0,6,32,10.3990
55,6,1779559006301,1779559006435,1779559006443,1779559006460,1779559006460,1779559006452,1779559006467,17,0,17,0,15,32,10.2931
56,7,1779559006301,1779559006467,1779559006475,1779559006497,1779559006497,1779559006490,1779559006499,23,0,22,1,9,32,9.9573
57,8,1779559006301,1779559006499,1779559006507,1779559006536,1779559006536,1779559006529,1779559006531,30,0,29,1,2,32,9.8008
58,10,1779559006301,1779559006563,1779559006571,1779559006590,1779559006590,1779559006583,1779559006595,20,0,19,1,12,32,9.8607
59,11,1779559006301,1779559006595,1779559006603,1779559006625,1779559006625,1779559006617,1779559006627,22,0,22,0,10,32,9.4192
60,12,1779559006301,1779559006627,1779559006635,1779559006665,1779559006665,1779559006658,1779559006660,31,0,30,1,2,33,9.3135
63,16,1779559006301,1779559006767,1779559006775,1779559006790,1779559006790,1779559006783,1779559006799,16,0,15,1,16,32,9.5296
64,17,1779559006301,1779559006799,1779559006807,1779559006843,1779559006843,1779559006835,1779559006839,36,0,36,0,4,40,9.7120
65,18,1779559006301,1779559006839,1779559006847,1779559006876,1779559006876,1779559006869,1779559006870,30,0,29,1,1,31,9.2404
66,20,1779559006301,1779559006902,1779559006910,1779559006915,1779559006915,1779559006908,1779559006934,6,0,5,1,26,32,10.2452
67,21,1779559006301,1779559006934,1779559006942,1779559006969,1779559006969,1779559006961,1779559006966,27,0,27,0,5,32,10.9578
68,22,1779559006301,1779559006966,1779559006974,1779559007002,1779559007003,1779559006995,1779559006999,29,1,28,0,4,33,10.3837
69,24,1779559006301,1779559007031,1779559007039,1779559007043,1779559007043,1779559007036,1779559007064,5,0,4,1,28,33,11.2424
70,25,1779559006301,1779559007063,1779559007072,1779559007097,1779559007097,1779559007090,1779559007095,27,0,25,2,5,32,11.9760
71,26,1779559006301,1779559007095,1779559007103,1779559007133,1779559007133,1779559007126,1779559007127,31,0,30,1,1,32,11.4011
72,28,1779559006301,1779559007159,1779559007167,1779559007172,1779559007172,1779559007166,1779559007192,7,0,5,2,26,33,12.2413
73,29,1779559006301,1779559007192,1779559007200,1779559007225,1779559007225,1779559007217,1779559007224,25,0,25,0,7,32,12.7007
74,30,1779559006301,1779559007224,1779559007232,1779559007261,1779559007261,1779559007253,1779559007265,29,0,29,0,12,41,12.1958
75,31,1779559006301,1779559007265,1779559007273,1779559007302,1779559007302,1779559007296,1779559007296,31,0,29,2,0,31,12.1303
76,33,1779559006301,1779559007329,1779559007337,1779559007356,1779559007356,1779559007348,1779559007368,19,0,19,0,20,39,12.5934
77,34,1779559006301,1779559007368,1779559007376,1779559007392,1779559007392,1779559007385,1779559007399,17,0,16,1,14,31,12.1431
78,35,1779559006301,1779559007399,1779559007407,1779559007431,1779559007432,1779559007425,1779559007431,26,1,24,1,6,32,11.8548
79,37,1779559006301,1779559007463,1779559007474,1779559007485,1779559007485,1779559007477,1779559007495,14,0,11,3,18,32,11.8063
80,38,1779559006301,1779559007495,1779559007504,1779559007518,1779559007518,1779559007511,1779559007528,16,0,14,2,17,33,11.1272
81,39,1779559006301,1779559007527,1779559007536,1779559007558,1779559007558,1779559007550,1779559007560,23,0,22,1,10,33,10.9177
82,41,1779559006301,1779559007592,1779559007600,1779559007610,1779559007610,1779559007603,1779559007625,11,0,10,1,22,33,11.0325
83,42,1779559006301,1779559007624,1779559007633,1779559007643,1779559007643,1779559007636,1779559007657,12,0,10,2,21,33,10.4406
84,43,1779559006301,1779559007657,1779559007665,1779559007684,1779559007684,1779559007677,1779559007690,20,0,19,1,13,33,10.2703
85,44,1779559006301,1779559007690,1779559007698,1779559007737,1779559007737,1779559007730,1779559007733,40,0,39,1,3,43,10.2057
86,45,1779559006301,1779559007733,1779559007741,1779559007771,1779559007771,1779559007764,1779559007766,31,0,30,1,2,33,9.6640
87,46,1779559006301,1779559007766,1779559007775,1779559007811,1779559007811,1779559007803,1779559007809,37,0,36,1,6,43,9.2572
88,48,1779559006301,1779559007842,1779559007850,1779559007864,1779559007864,1779559007856,1779559007876,14,0,14,0,20,34,9.5857
89,49,1779559006301,1779559007876,1779559007884,1779559007898,1779559007898,1779559007891,1779559007911,15,0,14,1,20,35,9.0647
