Time_sec,ExpectedPos,ActualPos
0.0000,2.9416,2.9416
0.0540,2.8416,2.8416
0.0870,2.7916,2.7916
0.1250,2.7416,2.7416
0.1790,2.6916,2.6916
0.2130,2.6416,2.6416
0.2520,2.5916,2.5916
0.3060,2.4916,2.4916
0.3410,2.4416,2.4416
0.3800,2.3916,2.3916
0.4350,2.2916,2.2916
0.4700,2.2416,2.2416
0.5960,2.0916,2.0916
0.6340,2.0416,2.0416
0.6890,1.9416,1.9416
0.7210,1.8916,1.8916
0.7590,1.8416,1.8416
0.8180,1.7916,1.7916
0.8520,1.7416,1.7416
0.8900,1.6916,1.6916
1.0170,1.4916,1.4916
1.0710,1.4416,1.4416
1.1050,1.3916,1.3916
1.1430,1.3416,1.3416
1.1970,1.2416,1.2416
1.2300,1.1916,1.1916
1.2680,1.1416,1.1416
1.3230,1.0916,1.0916
1.3560,1.0416,1.0416
1.3940,0.9416,0.9416
1.4480,0.8916,0.8916
1.4810,0.8416,0.8416
1.6060,0.6916,0.6916
1.6450,0.6416,0.6416
1.6980,0.5416,0.5416
1.7320,0.4916,0.4916
1.7710,0.4416,0.4416
1.8590,0.3416,0.3416
1.8990,0.2416,0.2416
1.9530,0.1916,0.1916
1.9860,0.1416,0.1416
2.0250,0.0916,0.0916
2.1500,-0.0584,-0.0584
2.2040,-0.1584,-0.1584
2.2370,-0.2084,-0.2084
2.2750,-0.2584,-0.2584
2.4030,-0.4084,-0.4084
2.4580,-0.5084,-0.5084
2.5840,-0.6584,-0.6584
2.6180,-0.7084,-0.7084
2.6550,-0.7584,-0.7584
2.7100,-0.8584,-0.8584
2.7440,-0.9084,-0.9084
2.7850,-0.9584,-0.9584
2.8400,-1.0584,-1.0584
2.8740,-1.1084,-1.1084
2.9130,-1.1584,-1.1584
2.9670,-1.2084,-1.2084
3.0000,-1.2584,-1.2584
3.0380,-1.3084,-1.3084
3.0930,-1.4084,-1.4084
3.1270,-1.4584,-1.4584
3.1650,-1.5084,-1.5084
3.2200,-1.5584,-1.5584
3.2530,-1.6084,-1.6084
3.2930,-1.6584,-1.6584
3.3460,-1.7584,-1.7584
3.3790,-1.8084,-1.8084
3.4170,-1.8584,-1.8584
3.4720,-1.9584,-1.9584
3.5050,-2.0084,-2.0084
3.5440,-2.0584,-2.0584
3.5980,-2.1084,-2.1084
3.6320,-2.1584,-2.1584
3.6700,-2.2084,-2.2084
3.7250,-2.2584,-2.2584
3.7580,-2.3084,-2.3084
3.7960,-2.4084,-2.4084
3.8500,-2.4584,-2.4584
3.8830,-2.5084,-2.5084
3.9210,-2.5584,-2.5584
3.9750,-2.6584,-2.6584
4.0090,-2.7084,-2.7084
4.0510,-2.7584,-2.7584
4.1750,-2.9084,-2.9084
4.2290,-3.0084,-3.0084
4.2630,-3.0584,-3.0584
4.3010,-3.1084,-3.1084
4.3550,-3.1584,-3.1584
4.3910,-3.2084,-3.2084
4.4290,-3.2584,-3.2584
4.4830,-3.3084,-3.3084
4.5170,-3.3584,-3.3584
4.5550,-3.4084,-3.4084
4.6090,-3.5084,-3.5084
4.7350,-3.6584,-3.6584
4.7690,-3.7084,-3.7084
4.8070,-3.7584,-3.7584
4.8620,-3.8584,-3.8584
4.8970,-3.9084,-3.9084
4.9350,-3.9584,-3.9584
4.9890,-4.0084,-4.0084
5.0220,-4.0584,-4.0584
