seq,cmd_seq_echo,T0_ms,T1_ms,T3_ns,TQ_ms,T4_ns,T6_ms,T7_ms,RTT_ms,Processing_ns,QueueDelay_ms,Network_ms,RenderDelay_ms,MTP_ms,Jitter_ms
58,4,1779559641363,1779559641363,1779559641372,1779559641402,1779559641402,1779559641393,1779559641435,30,0,30,0,42,72,19.2576
59,6,1779559641441,1779559641441,1779559641450,1779559641456,1779559641456,1779559641447,1779559641475,6,0,6,0,28,34,18.9871
60,7,1779559641474,1779559641474,1779559641484,1779559641488,1779559641488,1779559641480,1779559641509,6,0,4,2,29,35,17.9674
61,8,1779559641509,1779559641509,1779559641519,1779559641526,1779559641526,1779559641518,1779559641544,9,0,7,2,26,35,17.0635
62,9,1779559641544,1779559641544,1779559641553,1779559641580,1779559641580,1779559641572,1779559641578,28,0,27,1,6,34,17.2563
63,10,1779559641578,1779559641578,1779559641587,1779559641614,1779559641614,1779559641606,1779559641612,28,0,27,1,6,34,16.2358
64,11,1779559641612,1779559641612,1779559641622,1779559641653,1779559641654,1779559641645,1779559641646,33,1,31,1,1,34,15.5957
65,13,1779559641681,1779559641681,1779559641691,1779559641708,1779559641708,1779559641699,1779559641715,18,0,17,1,16,34,15.5452
66,14,1779559641715,1779559641715,1779559641725,1779559641742,1779559641742,1779559641734,1779559641750,19,0,17,2,16,35,14.6032
67,15,1779559641750,1779559641750,1779559641759,1779559641781,1779559641781,1779559641773,1779559641784,23,0,22,1,11,34,13.9173
68,17,1779559641820,1779559641820,1779559641829,1779559641836,1779559641836,1779559641828,1779559641854,8,0,7,1,26,34,13.8843
69,18,1779559641854,1779559641854,1779559641863,1779559641872,1779559641872,1779559641863,1779559641897,9,0,9,0,34,43,13.5352
72,21,1779559641975,1779559641975,1779559641985,1779559641998,1779559641998,1779559641989,1779559642009,14,0,13,1,20,34,16.6845
73,22,1779559642009,1779559642009,1779559642019,1779559642036,1779559642036,1779559642027,1779559642044,18,0,17,1,17,35,15.8569
74,24,1779559642078,1779559642078,1779559642087,1779559642090,1779559642090,1779559642082,1779559642113,4,0,3,1,31,35,15.7997
75,25,1779559642113,1779559642113,1779559642122,1779559642123,1779559642123,1779559642114,1779559642147,1,0,1,0,33,34,14.8714
76,26,1779559642147,1779559642147,1779559642156,1779559642161,1779559642161,1779559642152,1779559642181,5,0,5,0,29,34,14.1603
77,27,1779559642181,1779559642181,1779559642191,1779559642220,1779559642220,1779559642211,1779559642215,30,0,29,1,4,34,14.8302
