utc_iso,unix_ms,seq,cmd_seq_echo,t0_echo,t1_echo,t3_recv,tq_dequeue,t4_physics,t5_send,t6_unity
2026-05-23T18:07:19.0244630Z,1779559639024,1,0,0,0,0,0,1779559639009,1779559639009,1779559639001
2026-05-23T18:07:19.0577970Z,1779559639057,2,0,0,0,0,0,1779559639063,1779559639064,1779559639055
2026-05-23T18:07:19.0928540Z,1779559639092,3,0,0,0,0,0,1779559639097,1779559639097,1779559639088
2026-05-23T18:07:19.1990520Z,1779559639199,4,0,0,0,0,0,1779559639135,1779559639135,1779559639181
2026-05-23T18:07:19.1991220Z,1779559639199,5,0,0,0,0,0,1779559639190,1779559639190,1779559639181
2026-05-23T18:07:19.2368910Z,1779559639236,6,0,0,0,0,0,1779559639222,1779559639223,1779559639214
2026-05-23T18:07:19.2727690Z,1779559639272,7,0,0,0,0,0,1779559639260,1779559639260,1779559639252
2026-05-23T18:07:19.3186890Z,1779559639318,8,0,0,0,0,0,1779559639314,1779559639315,1779559639306
2026-05-23T18:07:19.3894240Z,1779559639389,9,0,0,0,0,0,1779559639348,1779559639348,1779559639378
2026-05-23T18:07:19.3894960Z,1779559639389,10,0,0,0,0,0,1779559639386,1779559639386,1779559639378
2026-05-23T18:07:19.4627060Z,1779559639462,11,0,0,0,0,0,1779559639441,1779559639441,1779559639432
2026-05-23T18:07:19.5369370Z,1779559639536,12,0,0,0,0,0,1779559639474,1779559639474,1779559639503
2026-05-23T18:07:19.5370110Z,1779559639537,13,0,0,0,0,0,1779559639512,1779559639512,1779559639503
2026-05-23T18:07:19.5749960Z,1779559639574,14,0,0,0,0,0,1779559639565,1779559639565,1779559639557
2026-05-23T18:07:19.6089660Z,1779559639608,15,0,0,0,0,0,1779559639600,1779559639600,1779559639591
2026-05-23T18:07:19.6432130Z,1779559639643,16,0,0,0,0,0,1779559639638,1779559639638,1779559639630
2026-05-23T18:07:19.7118610Z,1779559639711,17,0,0,0,0,0,1779559639694,1779559639694,1779559639685
2026-05-23T18:07:19.7461560Z,1779559639746,18,0,0,0,0,0,1779559639727,1779559639727,1779559639718
2026-05-23T18:07:19.7808710Z,1779559639780,19,0,0,0,0,0,1779559639766,1779559639766,1779559639757
2026-05-23T18:07:19.8164820Z,1779559639816,20,0,0,0,0,0,1779559639820,1779559639820,1779559639811
2026-05-23T18:07:19.8590670Z,1779559639859,21,0,0,0,0,0,1779559639854,1779559639854,1779559639845
2026-05-23T18:07:19.9316530Z,1779559639931,22,0,0,0,0,0,1779559639892,1779559639892,1779559639883
2026-05-23T18:07:19.9699400Z,1779559639969,23,0,0,0,0,0,1779559639946,1779559639946,1779559639938
2026-05-23T18:07:20.0046170Z,1779559640004,24,0,0,0,0,0,1779559639979,1779559639979,1779559639970
2026-05-23T18:07:20.0379770Z,1779559640037,25,0,0,0,0,0,1779559640017,1779559640017,1779559640008
2026-05-23T18:07:20.0727200Z,1779559640072,26,0,0,0,0,0,1779559640071,1779559640071,1779559640062
2026-05-23T18:07:20.1065460Z,1779559640106,27,0,0,0,0,0,1779559640104,1779559640104,1779559640096
2026-05-23T18:07:20.1417210Z,1779559640141,28,0,0,0,0,0,1779559640141,1779559640142,1779559640133
2026-05-23T18:07:20.2100700Z,1779559640210,29,0,0,0,0,0,1779559640196,1779559640196,1779559640188
2026-05-23T18:07:20.2447130Z,1779559640244,30,0,0,0,0,0,1779559640230,1779559640231,1779559640222
2026-05-23T18:07:20.2794990Z,1779559640279,31,0,0,0,0,0,1779559640269,1779559640269,1779559640260
2026-05-23T18:07:20.3559960Z,1779559640355,32,0,0,0,0,0,1779559640323,1779559640324,1779559640347
2026-05-23T18:07:20.3560710Z,1779559640356,33,0,0,0,0,0,1779559640356,1779559640356,1779559640347
2026-05-23T18:07:20.4350330Z,1779559640435,34,0,0,0,0,0,1779559640394,1779559640394,1779559640385
2026-05-23T18:07:20.4730330Z,1779559640473,35,0,0,0,0,0,1779559640447,1779559640447,1779559640471
2026-05-23T18:07:20.4731090Z,1779559640473,36,0,0,0,0,0,1779559640480,1779559640480,1779559640471
2026-05-23T18:07:20.5416990Z,1779559640541,37,0,0,0,0,0,1779559640518,1779559640518,1779559640509
2026-05-23T18:07:20.5754350Z,1779559640575,38,0,0,0,0,0,1779559640571,1779559640571,1779559640563
