Time_sec,ExpectedPos,ActualPos
0.0000,3.0416,3.0416
0.0330,2.9916,2.9916
0.0720,2.9416,2.9416
0.1250,2.8416,2.8416
0.1580,2.7916,2.7916
0.1960,2.7416,2.7416
0.2490,2.6916,2.6916
0.4460,2.3916,2.3916
0.5000,2.3416,2.3416
0.5370,2.2916,2.2916
0.5740,2.2416,2.2416
0.6280,2.1416,2.1416
0.6610,2.0916,2.0916
0.6990,2.0416,2.0416
0.7530,1.9416,1.9416
0.8250,1.8916,1.8916
0.8790,1.7916,1.7916
1.0040,1.6416,1.6416
1.0380,1.5916,1.5916
1.0760,1.5416,1.5416
1.1290,1.4416,1.4416
1.1620,1.3916,1.3916
1.2000,1.3416,1.3416
1.2550,1.2916,1.2916
1.2870,1.2416,1.2416
1.3250,1.1916,1.1916
1.4490,0.9916,0.9916
1.5030,0.9416,0.9416
1.5360,0.8916,0.8916
1.5730,0.8416,0.8416
1.6280,0.7916,0.7916
1.6610,0.7416,0.7416
1.6980,0.6916,0.6916
1.7530,0.5916,0.5916
1.8780,0.4416,0.4416
1.9110,0.3916,0.3916
1.9490,0.3416,0.3416
2.0020,0.2916,0.2916
2.0350,0.2416,0.2416
2.0730,0.1916,0.1916
2.1270,0.0916,0.0916
2.1600,0.0416,0.0416
2.1980,-0.0084,-0.0084
2.2510,-0.1084,-0.1084
2.3220,-0.2084,-0.2084
2.3760,-0.2584,-0.2584
2.4100,-0.3084,-0.3084
2.4480,-0.3584,-0.3584
2.5020,-0.4084,-0.4084
2.5350,-0.4584,-0.4584
2.5730,-0.5584,-0.5584
2.6270,-0.6084,-0.6084
2.6600,-0.6584,-0.6584
2.6980,-0.7084,-0.7084
2.7510,-0.8084,-0.8084
2.7850,-0.8584,-0.8584
2.8790,-0.9584,-0.9584
2.9110,-1.0084,-1.0084
2.9490,-1.0584,-1.0584
3.0030,-1.1584,-1.1584
3.0370,-1.2084,-1.2084
3.0740,-1.2584,-1.2584
3.1290,-1.3084,-1.3084
3.1610,-1.3584,-1.3584
3.1990,-1.4084,-1.4084
3.2520,-1.5084,-1.5084
3.2860,-1.5584,-1.5584
3.3240,-1.6084,-1.6084
3.3780,-1.6584,-1.6584
3.5050,-1.8584,-1.8584
3.5390,-1.9084,-1.9084
3.5760,-1.9584,-1.9584
3.6310,-2.0084,-2.0084
3.6630,-2.0584,-2.0584
3.7010,-2.1084,-2.1084
3.7550,-2.2084,-2.2084
3.7890,-2.2584,-2.2584
3.8280,-2.3084,-2.3084
3.8830,-2.4084,-2.4084
3.9540,-2.4584,-2.4584
4.0080,-2.5584,-2.5584
4.0410,-2.6084,-2.6084
4.0790,-2.6584,-2.6584
4.1340,-2.7584,-2.7584
4.1660,-2.8084,-2.8084
4.2050,-2.8584,-2.8584
4.2580,-2.9084,-2.9084
4.2920,-2.9584,-2.9584
4.3310,-3.0084,-3.0084
4.3900,-3.0584,-3.0584
4.4230,-3.1584,-3.1584
4.4610,-3.2084,-3.2084
4.5160,-3.2584,-3.2584
4.5490,-3.3084,-3.3084
4.5870,-3.3584,-3.3584
4.6410,-3.4584,-3.4584
4.6740,-3.5084,-3.5084
4.7110,-3.5584,-3.5584
4.7970,-3.6584,-3.6584
4.8350,-3.7584,-3.7584
4.8890,-3.8084,-3.8084
4.9220,-3.8584,-3.8584
4.9600,-3.9084,-3.9084
5.0140,-3.9584,-3.9584
5.0460,-4.0084,-4.0084
5.0840,-4.0584,-4.0584
5.1370,-4.1584,-4.1584
5.1700,-4.2084,-4.2084
5.2080,-4.2584,-4.2584
5.2950,-4.3584,-4.3584
5.3320,-4.4584,-4.4584
5.3860,-4.5084,-4.5084
5.4190,-4.5584,-4.5584
5.4570,-4.6084,-4.6084
5.5120,-4.6584,-4.6584
5.5480,-4.7084,-4.7084
5.5860,-4.8084,-4.8084
5.6410,-4.8584,-4.8584
5.6740,-4.9084,-4.9084
5.7120,-4.9584,-4.9584
5.7650,-5.0584,-5.0584
5.7980,-5.1084,-5.1084
5.8360,-5.1584,-5.1584
5.8890,-5.2084,-5.2084
5.9220,-5.2584,-5.2584
5.9590,-5.3084,-5.3084
6.0130,-5.4084,-5.4084
6.0450,-5.4584,-5.4584
6.0820,-5.5084,-5.5084
6.1360,-5.5584,-5.5584
6.1690,-5.6084,-5.6084
6.2060,-5.6584,-5.6584
6.2610,-5.7584,-5.7584
6.2930,-5.8084,-5.8084
6.3340,-5.8584,-5.8584
6.3870,-5.9584,-5.9584
6.4580,-6.0084,-6.0084
6.5130,-6.1084,-6.1084
6.5460,-6.1584,-6.1584
6.5840,-6.2084,-6.2084
6.6370,-6.2584,-6.2584
6.6710,-6.3084,-6.3084
6.7100,-6.3584,-6.3584
6.7630,-6.4584,-6.4584
6.7970,-6.5084,-6.5084
6.8350,-6.5584,-6.5584
6.8890,-6.6584,-6.6584
6.9220,-6.7084,-6.7084
6.9610,-6.7584,-6.7584
7.0910,-6.9084,-6.9084
7.1470,-7.0084,-7.0084
7.1800,-7.0584,-7.0584
7.2200,-7.1084,-7.1084
7.2730,-7.1584,-7.1584
7.3060,-7.2084,-7.2084
7.3450,-7.2584,-7.2584
7.4000,-7.3584,-7.3584
7.4330,-7.4084,-7.4084
7.4710,-7.4584,-7.4584
7.5250,-7.5084,-7.5084
7.5580,-7.5584,-7.5584
7.6030,-7.6084,-7.6084
7.6580,-7.7084,-7.7084
7.6920,-7.7584,-7.7584
7.7290,-7.8084,-7.8084
7.7820,-7.9084,-7.9084
7.8150,-7.9584,-7.9584
7.8530,-8.0084,-8.0084
7.9060,-8.0584,-8.0584
7.9400,-8.1084,-8.1084
7.9770,-8.1584,-8.1584
8.0310,-8.2584,-8.2584
8.0650,-8.3084,-8.3084
8.1040,-8.3584,-8.3584
8.1560,-8.4084,-8.4084
8.1890,-8.4584,-8.4584
8.2270,-8.5084,-8.5084
8.2800,-8.6084,-8.6084
8.3130,-8.6584,-8.6584
