seq,cmd_seq_echo,T0_ms,T1_ms,T3_ns,TQ_ms,T4_ns,T6_ms,T7_ms,RTT_ms,Processing_ns,QueueDelay_ms,Network_ms,RenderDelay_ms,MTP_ms,Jitter_ms
68,2,1779559390576,1779559390576,1779559390584,1779559390605,1779559390605,1779559390597,1779559390609,21,0,21,0,12,33,16.4303
69,3,1779559390609,1779559390609,1779559390618,1779559390638,1779559390638,1779559390630,1779559390644,21,0,20,1,14,35,15.5154
70,4,1779559390644,1779559390644,1779559390653,1779559390677,1779559390677,1779559390669,1779559390677,25,0,24,1,8,33,14.8844
71,6,1779559390711,1779559390711,1779559390720,1779559390730,1779559390730,1779559390722,1779559390746,11,0,10,1,24,35,14.9205
72,7,1779559390746,1779559390746,1779559390755,1779559390763,1779559390763,1779559390755,1779559390780,9,0,8,1,25,34,14.0648
73,8,1779559390780,1779559390780,1779559390789,1779559390801,1779559390801,1779559390793,1779559390815,13,0,12,1,22,35,13.4042
74,9,1779559390814,1779559390814,1779559390823,1779559390854,1779559390854,1779559390846,1779559390849,32,0,31,1,3,35,13.7282
79,15,1779559391039,1779559391039,1779559391048,1779559391051,1779559391051,1779559391043,1779559391074,4,0,3,1,31,35,19.4229
80,16,1779559391074,1779559391074,1779559391083,1779559391105,1779559391105,1779559391097,1779559391109,23,0,22,1,12,35,19.4369
81,17,1779559391109,1779559391109,1779559391117,1779559391140,1779559391140,1779559391134,1779559391144,25,0,23,2,10,35,18.2822
82,18,1779559391144,1779559391144,1779559391153,1779559391179,1779559391179,1779559391171,1779559391177,27,0,26,1,6,33,17.4283
83,20,1779559391211,1779559391211,1779559391220,1779559391233,1779559391233,1779559391225,1779559391246,14,0,13,1,21,35,17.2588
84,21,1779559391246,1779559391246,1779559391254,1779559391266,1779559391266,1779559391258,1779559391280,12,0,12,0,22,34,16.2584
85,22,1779559391280,1779559391280,1779559391289,1779559391304,1779559391304,1779559391296,1779559391315,16,0,15,1,19,35,15.4598
86,24,1779559391349,1779559391349,1779559391358,1779559391358,1779559391358,1779559391350,1779559391385,1,0,0,1,35,36,15.4761
88,25,1779559391384,1779559391384,1779559391394,1779559391430,1779559391430,1779559391422,1779559391428,38,0,36,2,6,44,16.6402
89,27,1779559391461,1779559391461,1779559391471,1779559391484,1779559391484,1779559391476,1779559391505,15,0,13,2,29,44,17.0731
92,30,1779559391582,1779559391582,1779559391591,1779559391609,1779559391609,1779559391601,1779559391616,19,0,18,1,15,34,19.4980
93,31,1779559391616,1779559391616,1779559391625,1779559391642,1779559391642,1779559391635,1779559391650,19,0,17,2,15,34,18.3066
94,32,1779559391650,1779559391650,1779559391659,1779559391680,1779559391680,1779559391673,1779559391685,23,0,21,2,12,35,17.2818
95,34,1779559391719,1779559391719,1779559391728,1779559391734,1779559391734,1779559391726,1779559391754,7,0,6,1,28,35,17.1056
96,35,1779559391754,1779559391754,1779559391763,1779559391767,1779559391767,1779559391759,1779559391788,5,0,4,1,29,34,16.1080
97,36,1779559391788,1779559391788,1779559391797,1779559391805,1779559391805,1779559391797,1779559391822,9,0,8,1,25,34,15.3195
98,37,1779559391822,1779559391822,1779559391831,1779559391859,1779559391859,1779559391852,1779559391858,30,0,28,2,6,36,15.5263
99,38,1779559391858,1779559391858,1779559391866,1779559391892,1779559391892,1779559391884,1779559391892,26,0,26,0,8,34,14.6211
100,39,1779559391892,1779559391892,1779559391901,1779559391930,1779559391930,1779559391922,1779559391935,30,0,29,1,13,43,14.0629
103,43,1779559392044,1779559392044,1779559392053,1779559392054,1779559392054,1779559392046,1779559392080,2,0,1,1,34,36,16.6951
104,44,1779559392080,1779559392080,1779559392089,1779559392107,1779559392107,1779559392100,1779559392119,20,0,18,2,19,39,16.5999
105,45,1779559392119,1779559392119,1779559392128,1779559392140,1779559392140,1779559392133,1779559392157,14,0,12,2,24,38,15.9519
106,46,1779559392157,1779559392157,1779559392166,1779559392177,1779559392177,1779559392170,1779559392197,13,0,11,2,27,40,15.0546
107,47,1779559392197,1779559392197,1779559392205,1779559392232,1779559392232,1779559392225,1779559392235,28,0,27,1,10,38,15.1748
108,48,1779559392235,1779559392235,1779559392244,1779559392265,1779559392265,1779559392258,1779559392273,23,0,21,2,15,38,14.5548
109,49,1779559392273,1779559392273,1779559392282,1779559392303,1779559392303,1779559392295,1779559392312,22,0,21,1,17,39,13.7570
110,51,1779559392346,1779559392346,1779559392356,1779559392358,1779559392358,1779559392350,1779559392381,4,0,2,2,31,35,13.7824
113,54,1779559392461,1779559392461,1779559392470,1779559392483,1779559392483,1779559392475,1779559392496,14,0,13,1,21,35,16.9206
114,55,1779559392496,1779559392496,1779559392505,1779559392516,1779559392516,1779559392508,1779559392538,12,0,11,1,30,42,16.4122
115,56,1779559392537,1779559392537,1779559392547,1779559392553,1779559392553,1779559392546,1779559392571,9,0,6,3,25,34,15.6352
116,57,1779559392570,1779559392570,1779559392579,1779559392607,1779559392607,1779559392599,1779559392605,29,0,28,1,6,35,15.8532
117,58,1779559392605,1779559392605,1779559392614,1779559392640,1779559392640,1779559392632,1779559392640,27,0,26,1,8,35,14.9352
118,59,1779559392640,1779559392640,1779559392648,1779559392678,1779559392678,1779559392670,1779559392674,30,0,30,0,4,34,14.2272
119,61,1779559392709,1779559392709,1779559392718,1779559392731,1779559392731,1779559392724,1779559392743,15,0,13,2,19,34,14.2861
120,62,1779559392743,1779559392743,1779559392752,1779559392764,1779559392764,1779559392757,1779559392777,14,0,12,2,20,34,13.4343
121,63,1779559392777,1779559392777,1779559392786,1779559392803,1779559392803,1779559392795,1779559392811,18,0,17,1,16,34,12.8146
