Time_sec,ExpectedPos,ActualPos
0.0000,3.0416,3.0416
0.0420,2.9416,2.9416
0.0940,2.8416,2.8416
0.1280,2.7916,2.7916
0.1680,2.7416,2.7416
0.2210,2.6916,2.6916
0.2540,2.6416,2.6416
0.2950,2.5416,2.5416
0.3480,2.4916,2.4916
0.3820,2.4416,2.4416
0.4220,2.3916,2.3916
0.5130,2.2916,2.2916
0.5500,2.1916,2.1916
0.6060,2.1416,2.1416
0.6420,2.0916,2.0916
0.6830,2.0416,2.0416
0.7360,1.9416,1.9416
0.7690,1.8916,1.8916
0.8090,1.8416,1.8416
0.8640,1.7416,1.7416
0.9000,1.6916,1.6916
0.9400,1.6416,1.6416
0.9940,1.5916,1.5916
1.0680,1.5416,1.5416
1.1210,1.4416,1.4416
1.1560,1.3916,1.3916
1.1980,1.3416,1.3416
1.2510,1.2416,1.2416
1.2830,1.1916,1.1916
1.3230,1.1416,1.1416
1.3760,1.0916,1.0916
1.4090,1.0416,1.0416
1.4480,0.9916,0.9916
1.5020,0.8916,0.8916
1.5740,0.8416,0.8416
1.6270,0.7416,0.7416
1.6600,0.6916,0.6916
1.7000,0.6416,0.6416
1.7540,0.5416,0.5416
1.7870,0.4916,0.4916
1.8270,0.4416,0.4416
1.8810,0.3916,0.3916
1.9140,0.3416,0.3416
1.9530,0.2916,0.2916
2.0390,0.1916,0.1916
2.0790,0.1416,0.1416
2.1320,0.0416,0.0416
2.1660,-0.0084,-0.0084
2.2060,-0.0584,-0.0584
2.2590,-0.1584,-0.1584
2.2920,-0.2084,-0.2084
2.3320,-0.2584,-0.2584
2.3840,-0.3084,-0.3084
2.4180,-0.3584,-0.3584
2.4570,-0.4084,-0.4084
2.5100,-0.5084,-0.5084
2.5840,-0.5584,-0.5584
2.6360,-0.6584,-0.6584
2.6710,-0.7084,-0.7084
2.7100,-0.7584,-0.7584
2.7640,-0.8584,-0.8584
2.7980,-0.9084,-0.9084
2.8370,-0.9584,-0.9584
2.8900,-1.0084,-1.0084
2.9240,-1.0584,-1.0584
3.0190,-1.1584,-1.1584
3.0570,-1.2584,-1.2584
3.1480,-1.3084,-1.3084
3.1820,-1.4084,-1.4084
3.2230,-1.5084,-1.5084
3.2750,-1.5584,-1.5584
3.3090,-1.6084,-1.6084
3.3490,-1.6584,-1.6584
3.4020,-1.7584,-1.7584
3.4360,-1.8084,-1.8084
3.4760,-1.8584,-1.8584
3.5630,-1.9084,-1.9084
3.6050,-2.0084,-2.0084
3.6590,-2.1084,-2.1084
3.6920,-2.1584,-2.1584
3.7330,-2.2084,-2.2084
3.7860,-2.2584,-2.2584
3.8210,-2.3084,-2.3084
3.8600,-2.4084,-2.4084
3.9130,-2.4584,-2.4584
3.9460,-2.5084,-2.5084
3.9860,-2.5584,-2.5584
4.0390,-2.6584,-2.6584
4.1130,-2.7584,-2.7584
4.1660,-2.8084,-2.8084
4.2050,-2.8584,-2.8584
4.2390,-2.9084,-2.9084
4.2920,-3.0084,-3.0084
4.3260,-3.0584,-3.0584
4.3650,-3.1084,-3.1084
4.4180,-3.1584,-3.1584
4.4520,-3.2084,-3.2084
4.4910,-3.3084,-3.3084
4.5440,-3.3584,-3.3584
4.5800,-3.4084,-3.4084
4.6200,-3.4584,-3.4584
4.6730,-3.5084,-3.5084
4.7080,-3.5584,-3.5584
4.7470,-3.6584,-3.6584
4.8000,-3.7084,-3.7084
4.8350,-3.7584,-3.7584
4.8750,-3.8084,-3.8084
4.9280,-3.9084,-3.9084
4.9650,-3.9584,-3.9584
5.0060,-4.0084,-4.0084
5.0940,-4.1084,-4.1084
5.1330,-4.1584,-4.1584
5.1860,-4.2584,-4.2584
5.2200,-4.3084,-4.3084
5.2610,-4.3584,-4.3584
5.3150,-4.4584,-4.4584
5.3490,-4.5084,-4.5084
5.3910,-4.5584,-4.5584
5.4440,-4.6084,-4.6084
5.4840,-4.6584,-4.6584
5.5760,-4.7584,-4.7584
5.6090,-4.8584,-4.8584
5.6490,-4.9084,-4.9084
5.7010,-4.9584,-4.9584
5.7370,-5.0084,-5.0084
