utc_iso,unix_ms,seq,cmd_seq_echo,t0_echo,t1_echo,t3_recv,tq_dequeue,t4_physics,t5_send,t6_unity
2026-05-23T16:37:56.4968610Z,1779554276496,1,0,0,0,1779554276461,1779554276468,1779554276468,1779554276468,1779554276466
2026-05-23T16:37:56.5305780Z,1779554276530,2,0,0,0,1779554276461,1779554276468,1779554276521,1779554276521,1779554276518
2026-05-23T16:37:56.5653830Z,1779554276565,3,0,0,0,1779554276461,1779554276468,1779554276559,1779554276559,1779554276556
2026-05-23T16:37:56.6006080Z,1779554276600,4,0,0,0,1779554276461,1779554276468,1779554276598,1779554276598,1779554276595
2026-05-23T16:37:56.7892710Z,1779554276789,5,0,0,0,1779554276461,1779554276468,1779554276650,1779554276650,1779554276773
2026-05-23T16:37:56.7893460Z,1779554276789,6,0,0,0,1779554276461,1779554276468,1779554276684,1779554276684,1779554276773
2026-05-23T16:37:56.7894110Z,1779554276789,7,0,0,0,1779554276461,1779554276468,1779554276723,1779554276723,1779554276773
2026-05-23T16:37:56.7894720Z,1779554276789,8,0,0,0,1779554276461,1779554276468,1779554276776,1779554276776,1779554276773
2026-05-23T16:37:56.8275070Z,1779554276827,9,0,0,0,1779554276461,1779554276468,1779554276809,1779554276809,1779554276806
2026-05-23T16:37:56.8620090Z,1779554276862,10,0,0,0,1779554276461,1779554276468,1779554276848,1779554276848,1779554276845
2026-05-23T16:37:56.9305380Z,1779554276930,11,0,0,0,1779554276461,1779554276468,1779554276901,1779554276901,1779554276898
2026-05-23T16:37:56.9670320Z,1779554276967,12,0,0,0,1779554276461,1779554276468,1779554276935,1779554276935,1779554276932
2026-05-23T16:37:56.9992460Z,1779554276999,13,0,0,0,1779554276461,1779554276468,1779554276975,1779554276975,1779554276972
2026-05-23T16:37:57.0335840Z,1779554277033,14,0,0,0,1779554276461,1779554276468,1779554277028,1779554277028,1779554277025
2026-05-23T16:37:57.0686120Z,1779554277068,15,0,0,0,1779554276461,1779554276468,1779554277061,1779554277061,1779554277058
2026-05-23T16:37:57.1443220Z,1779554277144,16,0,0,0,1779554276461,1779554276468,1779554277102,1779554277102,1779554277099
2026-05-23T16:37:57.1834730Z,1779554277183,17,0,0,0,1779554276461,1779554276468,1779554277155,1779554277155,1779554277152
2026-05-23T16:37:57.2229380Z,1779554277222,18,0,0,0,1779554276461,1779554276468,1779554277187,1779554277187,1779554277184
2026-05-23T16:37:57.2959810Z,1779554277295,19,0,0,0,1779554276461,1779554276468,1779554277226,1779554277226,1779554277276
2026-05-23T16:37:57.2960540Z,1779554277296,20,0,0,0,1779554276461,1779554276468,1779554277279,1779554277279,1779554277276
2026-05-23T16:37:57.3346750Z,1779554277334,21,0,0,0,1779554276461,1779554276468,1779554277312,1779554277312,1779554277310
2026-05-23T16:37:57.3688330Z,1779554277368,22,0,0,0,1779554276461,1779554276468,1779554277353,1779554277353,1779554277350
2026-05-23T16:37:57.4374090Z,1779554277437,23,0,0,0,1779554276461,1779554276468,1779554277406,1779554277406,1779554277403
2026-05-23T16:37:57.4729840Z,1779554277472,24,0,0,0,1779554276461,1779554276468,1779554277440,1779554277440,1779554277437
2026-05-23T16:37:57.5058500Z,1779554277505,25,0,0,0,1779554276461,1779554276468,1779554277479,1779554277479,1779554277476
2026-05-23T16:37:57.5400930Z,1779554277540,26,0,0,0,1779554276461,1779554276468,1779554277532,1779554277532,1779554277529
2026-05-23T16:37:57.5744440Z,1779554277574,27,0,0,0,1779554276461,1779554276468,1779554277565,1779554277565,1779554277562
2026-05-23T16:37:57.6095860Z,1779554277609,28,0,0,0,1779554276461,1779554276468,1779554277605,1779554277605,1779554277602
2026-05-23T16:37:57.7267150Z,1779554277726,29,0,0,0,1779554276461,1779554276468,1779554277658,1779554277658,1779554277689
2026-05-23T16:37:57.7267920Z,1779554277726,30,0,0,0,1779554276461,1779554276468,1779554277691,1779554277691,1779554277689
2026-05-23T16:37:57.7305920Z,1779554277730,31,0,0,0,1779554276461,1779554276468,1779554277731,1779554277731,1779554277728
2026-05-23T16:37:57.8062320Z,1779554277806,32,0,0,0,1779554276461,1779554276468,1779554277784,1779554277784,1779554277781
2026-05-23T16:37:57.8393460Z,1779554277839,33,0,0,0,1779554276461,1779554276468,1779554277818,1779554277818,1779554277815
2026-05-23T16:37:57.8731580Z,1779554277873,34,0,0,0,1779554276461,1779554276468,1779554277858,1779554277858,1779554277855
2026-05-23T16:37:57.9433290Z,1779554277943,35,0,0,0,1779554276461,1779554276468,1779554277913,1779554277913,1779554277910
2026-05-23T16:37:57.9478920Z,1779554277947,36,0,0,0,1779554276461,1779554276468,1779554277947,1779554277947,1779554277944
2026-05-23T16:37:58.0162220Z,1779554278016,37,0,0,0,1779554276461,1779554276468,1779554277986,1779554277986,1779554277983
2026-05-23T16:37:58.0501430Z,1779554278050,38,0,0,0,1779554276461,1779554276468,1779554278039,1779554278039,1779554278036
2026-05-23T16:37:58.1218030Z,1779554278121,39,0,0,0,1779554276461,1779554276468,1779554278076,1779554278076,1779554278114
2026-05-23T16:37:58.1218860Z,1779554278121,40,0,0,0,1779554276461,1779554276468,1779554278117,1779554278117,1779554278114
2026-05-23T16:37:58.2015800Z,1779554278201,41,2,1779554278126,1779554278126,1779554278129,1779554278169,1779554278169,1779554278169,1779554278199
2026-05-23T16:37:58.2018080Z,1779554278201,42,2,1779554278126,1779554278126,1779554278129,1779554278169,1779554278202,1779554278202,1779554278199
2026-05-23T16:37:58.2416350Z,1779554278241,43,4,1779554278207,1779554278207,1779554278211,1779554278243,1779554278243,1779554278244,1779554278241
2026-05-23T16:37:58.3177280Z,1779554278317,44,6,1779554278285,1779554278285,1779554278289,1779554278296,1779554278296,1779554278296,1779554278293
2026-05-23T16:37:58.3518560Z,1779554278351,45,7,1779554278317,1779554278317,1779554278321,1779554278329,1779554278330,1779554278330,1779554278327
2026-05-23T16:37:58.3865810Z,1779554278386,46,8,1779554278351,1779554278351,1779554278355,1779554278369,1779554278370,1779554278370,1779554278367
2026-05-23T16:37:58.4210450Z,1779554278421,47,9,1779554278386,1779554278386,1779554278390,1779554278422,1779554278422,1779554278423,1779554278420
2026-05-23T16:37:58.4553490Z,1779554278455,48,10,1779554278421,1779554278421,1779554278425,1779554278456,1779554278456,1779554278456,1779554278453
2026-05-23T16:37:58.5238640Z,1779554278523,49,12,1779554278489,1779554278489,1779554278494,1779554278497,1779554278497,1779554278497,1779554278494
2026-05-23T16:37:58.5588680Z,1779554278558,50,13,1779554278523,1779554278523,1779554278527,1779554278549,1779554278550,1779554278550,1779554278547
2026-05-23T16:37:58.5929190Z,1779554278592,51,14,1779554278559,1779554278559,1779554278562,1779554278584,1779554278584,1779554278584,1779554278581
2026-05-23T16:37:58.6276420Z,1779554278627,52,15,1779554278593,1779554278593,1779554278596,1779554278623,1779554278623,1779554278623,1779554278621
2026-05-23T16:37:58.7442540Z,1779554278744,53,17,1779554278671,1779554278671,1779554278675,1779554278676,1779554278677,1779554278677,1779554278712
2026-05-23T16:37:58.7443270Z,1779554278744,54,17,1779554278671,1779554278671,1779554278675,1779554278676,1779554278714,1779554278714,1779554278712
2026-05-23T16:37:58.7821770Z,1779554278782,55,19,1779554278748,1779554278748,1779554278752,1779554278752,1779554278752,1779554278752,1779554278749
2026-05-23T16:37:58.8169060Z,1779554278816,56,20,1779554278782,1779554278782,1779554278786,1779554278808,1779554278808,1779554278808,1779554278805
2026-05-23T16:37:58.8511980Z,1779554278851,57,21,1779554278816,1779554278816,1779554278820,1779554278844,1779554278844,1779554278844,1779554278841
2026-05-23T16:37:58.8851040Z,1779554278885,58,22,1779554278851,1779554278851,1779554278855,1779554278885,1779554278885,1779554278885,1779554278882
2026-05-23T16:37:58.9536990Z,1779554278953,59,24,1779554278919,1779554278919,1779554278923,1779554278937,1779554278938,1779554278938,1779554278935
2026-05-23T16:37:58.9884230Z,1779554278988,60,25,1779554278953,1779554278953,1779554278958,1779554278971,1779554278971,1779554278971,1779554278968
2026-05-23T16:37:59.0226270Z,1779554279022,61,26,1779554278988,1779554278988,1779554278992,1779554279011,1779554279011,1779554279011,1779554279008
2026-05-23T16:37:59.0915900Z,1779554279091,62,28,1779554279057,1779554279057,1779554279061,1779554279066,1779554279066,1779554279066,1779554279063
2026-05-23T16:37:59.1267790Z,1779554279126,63,29,1779554279091,1779554279091,1779554279095,1779554279101,1779554279102,1779554279102,1779554279099
2026-05-23T16:37:59.1613320Z,1779554279161,64,30,1779554279126,1779554279126,1779554279130,1779554279142,1779554279142,1779554279142,1779554279139
2026-05-23T16:37:59.2064340Z,1779554279206,65,31,1779554279161,1779554279161,1779554279165,1779554279195,1779554279196,1779554279196,1779554279193
2026-05-23T16:37:59.2800880Z,1779554279280,66,32,1779554279206,1779554279206,1779554279210,1779554279229,1779554279229,1779554279229,1779554279267
2026-05-23T16:37:59.2801690Z,1779554279280,67,32,1779554279206,1779554279206,1779554279210,1779554279229,1779554279269,1779554279269,1779554279267
2026-05-23T16:37:59.3243800Z,1779554279324,68,34,1779554279284,1779554279284,1779554279289,1779554279323,1779554279323,1779554279323,1779554279320
2026-05-23T16:37:59.3627250Z,1779554279362,69,35,1779554279324,1779554279324,1779554279327,1779554279358,1779554279358,1779554279358,1779554279355
2026-05-23T16:37:59.4023790Z,1779554279402,70,36,1779554279362,1779554279362,1779554279367,1779554279400,1779554279400,1779554279400,1779554279397
2026-05-23T16:37:59.4798600Z,1779554279479,71,38,1779554279440,1779554279440,1779554279444,1779554279452,1779554279452,1779554279452,1779554279450
