utc_iso,unix_ms,received_queue_size
2026-05-23T17:32:53.5136870Z,1779557573513,0
2026-05-23T17:32:54.4019660Z,1779557574401,0
2026-05-23T17:32:54.4540320Z,1779557574454,1
2026-05-23T17:32:54.4970390Z,1779557574497,1
2026-05-23T17:32:54.5074950Z,1779557574507,1
2026-05-23T17:32:54.5424870Z,1779557574542,0
2026-05-23T17:32:54.5855460Z,1779557574585,1
2026-05-23T17:32:54.6540350Z,1779557574654,2
2026-05-23T17:32:54.6575240Z,1779557574657,0
2026-05-23T17:32:54.6933500Z,1779557574693,1
2026-05-23T17:32:54.7283090Z,1779557574728,1
2026-05-23T17:32:54.7653230Z,1779557574765,1
2026-05-23T17:32:54.7978870Z,1779557574797,1
2026-05-23T17:32:54.8326810Z,1779557574832,0
2026-05-23T17:32:54.8668920Z,1779557574866,1
2026-05-23T17:32:54.9012420Z,1779557574901,1
2026-05-23T17:32:54.9358520Z,1779557574935,1
2026-05-23T17:32:54.9699170Z,1779557574969,0
2026-05-23T17:32:55.0456280Z,1779557575045,2
2026-05-23T17:32:55.0490400Z,1779557575049,0
2026-05-23T17:32:55.1225560Z,1779557575122,2
2026-05-23T17:32:55.1265690Z,1779557575126,0
2026-05-23T17:32:55.1994710Z,1779557575199,2
2026-05-23T17:32:55.2028810Z,1779557575202,0
2026-05-23T17:32:55.2376110Z,1779557575237,1
2026-05-23T17:32:55.2718160Z,1779557575271,1
2026-05-23T17:32:55.3062650Z,1779557575306,1
2026-05-23T17:32:55.3403720Z,1779557575340,0
2026-05-23T17:32:55.3755090Z,1779557575375,1
2026-05-23T17:32:55.4096810Z,1779557575409,1
2026-05-23T17:32:55.4445640Z,1779557575444,1
2026-05-23T17:32:55.4786500Z,1779557575478,0
2026-05-23T17:32:55.5545120Z,1779557575554,2
2026-05-23T17:32:55.5599360Z,1779557575559,1
2026-05-23T17:32:55.6333470Z,1779557575633,1
2026-05-23T17:32:55.6376780Z,1779557575637,0
2026-05-23T17:32:55.6714650Z,1779557575671,1
2026-05-23T17:32:55.7059070Z,1779557575705,1
2026-05-23T17:32:55.7399930Z,1779557575739,1
2026-05-23T17:32:55.7745420Z,1779557575774,1
2026-05-23T17:32:55.8084840Z,1779557575808,0
2026-05-23T17:32:55.8429040Z,1779557575842,1
2026-05-23T17:32:55.8775890Z,1779557575877,1
2026-05-23T17:32:55.9110340Z,1779557575911,1
2026-05-23T17:32:55.9456650Z,1779557575945,1
2026-05-23T17:32:55.9799280Z,1779557575979,0
2026-05-23T17:32:56.0146500Z,1779557576014,1
2026-05-23T17:32:56.0497860Z,1779557576049,1
2026-05-23T17:32:56.0923470Z,1779557576092,1
2026-05-23T17:32:56.1252120Z,1779557576125,1
2026-05-23T17:32:56.1675130Z,1779557576167,1
2026-05-23T17:32:56.2004990Z,1779557576200,1
2026-05-23T17:32:56.2349220Z,1779557576234,0
2026-05-23T17:32:56.2694750Z,1779557576269,1
2026-05-23T17:32:56.3037660Z,1779557576303,1
2026-05-23T17:32:56.3735640Z,1779557576373,2
2026-05-23T17:32:56.3782430Z,1779557576378,0
2026-05-23T17:32:56.4125390Z,1779557576412,1
2026-05-23T17:32:56.4461960Z,1779557576446,1
2026-05-23T17:32:56.5172410Z,1779557576517,1
2026-05-23T17:32:56.5211880Z,1779557576521,0
2026-05-23T17:32:56.5566980Z,1779557576556,1
2026-05-23T17:32:56.5987540Z,1779557576598,1
2026-05-23T17:32:56.6715990Z,1779557576671,2
2026-05-23T17:32:56.6755670Z,1779557576675,0
2026-05-23T17:32:56.7090110Z,1779557576709,1
2026-05-23T17:32:56.7435070Z,1779557576743,0
2026-05-23T17:32:56.7780250Z,1779557576778,1
2026-05-23T17:32:56.8127930Z,1779557576812,1
2026-05-23T17:32:56.8469090Z,1779557576846,1
2026-05-23T17:32:56.8810920Z,1779557576881,0
2026-05-23T17:32:56.9158500Z,1779557576915,1
2026-05-23T17:32:56.9497390Z,1779557576949,1
2026-05-23T17:32:56.9836470Z,1779557576983,1
2026-05-23T17:32:57.0186620Z,1779557577018,1
2026-05-23T17:32:57.0939840Z,1779557577093,2
2026-05-23T17:32:57.0979180Z,1779557577097,0
2026-05-23T17:32:57.1324550Z,1779557577132,0
2026-05-23T17:32:57.1752710Z,1779557577175,2
2026-05-23T17:32:57.2081460Z,1779557577208,0
2026-05-23T17:32:57.2424120Z,1779557577242,1
2026-05-23T17:32:57.2774840Z,1779557577277,1
2026-05-23T17:32:57.3109570Z,1779557577310,1
2026-05-23T17:32:57.3454720Z,1779557577345,1
2026-05-23T17:32:57.3795560Z,1779557577379,0
2026-05-23T17:32:57.4143500Z,1779557577414,1
2026-05-23T17:32:57.4493490Z,1779557577449,1
2026-05-23T17:32:57.4845970Z,1779557577484,1
2026-05-23T17:32:57.5175220Z,1779557577517,1
2026-05-23T17:32:57.5519850Z,1779557577551,1
2026-05-23T17:32:57.5968300Z,1779557577596,1
2026-05-23T17:32:57.6294530Z,1779557577629,0
2026-05-23T17:32:57.6729240Z,1779557577672,1
2026-05-23T17:32:57.7061540Z,1779557577706,1
2026-05-23T17:32:57.7403480Z,1779557577740,1
2026-05-23T17:32:57.7748740Z,1779557577774,1
2026-05-23T17:32:57.8090630Z,1779557577809,1
2026-05-23T17:32:57.8433140Z,1779557577843,0
2026-05-23T17:32:57.8782550Z,1779557577878,1
2026-05-23T17:32:57.9129180Z,1779557577912,1
2026-05-23T17:32:57.9476550Z,1779557577947,1
2026-05-23T17:32:57.9814330Z,1779557577981,1
2026-05-23T17:32:58.0162140Z,1779557578016,0
2026-05-23T17:32:58.0508410Z,1779557578050,1
2026-05-23T17:32:58.0862720Z,1779557578086,1
2026-05-23T17:32:58.1290500Z,1779557578129,1
2026-05-23T17:32:58.1622750Z,1779557578162,1
2026-05-23T17:32:58.2054870Z,1779557578205,1
2026-05-23T17:32:58.2382270Z,1779557578238,1
2026-05-23T17:32:58.2726300Z,1779557578272,0
2026-05-23T17:32:58.3072980Z,1779557578307,1
2026-05-23T17:32:58.3417020Z,1779557578341,1
2026-05-23T17:32:58.3763420Z,1779557578376,1
2026-05-23T17:32:58.4105850Z,1779557578410,0
2026-05-23T17:32:58.4461750Z,1779557578446,2
2026-05-23T17:32:58.4795650Z,1779557578479,0
2026-05-23T17:32:58.5152950Z,1779557578515,1
2026-05-23T17:32:58.5578080Z,1779557578557,1
2026-05-23T17:32:58.5914260Z,1779557578591,1
2026-05-23T17:32:58.6339560Z,1779557578633,1
2026-05-23T17:32:58.7083810Z,1779557578708,2
2026-05-23T17:32:58.7119660Z,1779557578711,0
2026-05-23T17:32:58.7460610Z,1779557578746,1
2026-05-23T17:32:58.7804010Z,1779557578780,0
2026-05-23T17:32:58.8147950Z,1779557578814,1
2026-05-23T17:32:58.8486750Z,1779557578848,1
2026-05-23T17:32:58.8832890Z,1779557578883,1
2026-05-23T17:32:58.9177310Z,1779557578917,0
2026-05-23T17:32:58.9518620Z,1779557578951,1
2026-05-23T17:32:58.9864940Z,1779557578986,1
2026-05-23T17:32:59.0205310Z,1779557579020,1
2026-05-23T17:32:59.0556800Z,1779557579055,1
2026-05-23T17:32:59.1306630Z,1779557579130,1
2026-05-23T17:32:59.1346080Z,1779557579134,1
2026-05-23T17:32:59.1681880Z,1779557579168,0
2026-05-23T17:32:59.2028740Z,1779557579202,1
2026-05-23T17:32:59.2371380Z,1779557579237,1
2026-05-23T17:32:59.2711940Z,1779557579271,1
2026-05-23T17:32:59.3065740Z,1779557579306,0
2026-05-23T17:32:59.3432300Z,1779557579343,1
2026-05-23T17:32:59.3828650Z,1779557579382,1
2026-05-23T17:32:59.4218390Z,1779557579421,1
2026-05-23T17:32:59.4603340Z,1779557579460,1
2026-05-23T17:32:59.4998510Z,1779557579499,1
2026-05-23T17:32:59.5384890Z,1779557579538,1
2026-05-23T17:32:59.5759450Z,1779557579575,1
2026-05-23T17:32:59.6510010Z,1779557579651,2
2026-05-23T17:32:59.6553490Z,1779557579655,0
2026-05-23T17:32:59.7379080Z,1779557579737,2
2026-05-23T17:32:59.7445120Z,1779557579744,0
2026-05-23T17:32:59.7827020Z,1779557579782,1
2026-05-23T17:32:59.8203340Z,1779557579820,0
2026-05-23T17:32:59.8575210Z,1779557579857,2
2026-05-23T17:32:59.8969080Z,1779557579896,1
2026-05-23T17:32:59.9344360Z,1779557579934,0
2026-05-23T17:32:59.9707290Z,1779557579970,1
2026-05-23T17:33:00.0081090Z,1779557580008,1
2026-05-23T17:33:00.0446340Z,1779557580044,1
2026-05-23T17:33:00.0823490Z,1779557580082,1
2026-05-23T17:33:00.1283630Z,1779557580128,1
2026-05-23T17:33:00.1605000Z,1779557580160,1
2026-05-23T17:33:00.1955490Z,1779557580195,0
2026-05-23T17:33:00.2379440Z,1779557580237,1
2026-05-23T17:33:00.2712960Z,1779557580271,1
