timestamp_utc,channel_label,channel_state,bytesSent,bytesReceived,messagesSent,messagesReceived,delta_bytesSent,delta_bytesReceived,delta_msgsSent,delta_msgsRecv,throughput_send_kbps,throughput_recv_kbps,transport_bytesSent,transport_bytesRecv,transport_throughput_send_kbps,transport_throughput_recv_kbps,ice_rtt_ms,ice_availableOutBitrate_kbps
2026-05-23T09:55:38.1349810Z,commands,open,0,0,0,0,0,0,0,0,0.00,0.00,0,0,N/A,N/A,0.00,0.00
2026-05-23T09:55:38.1349810Z,robot_state,open,0,4083,0,22,0,4083,0,22,0.00,32.66,0,0,N/A,N/A,0.00,0.00
2026-05-23T09:55:39.2305840Z,commands,open,0,0,0,0,0,0,0,0,0.00,0.00,0,0,N/A,N/A,0.00,0.00
2026-05-23T09:55:39.2305840Z,robot_state,open,0,8361,0,45,0,4278,0,23,0.00,34.22,0,0,N/A,N/A,0.00,0.00
2026-05-23T09:55:40.3288470Z,commands,open,0,0,0,0,0,0,0,0,0.00,0.00,0,0,N/A,N/A,1.00,0.00
2026-05-23T09:55:40.3288470Z,robot_state,open,0,12825,0,69,0,4464,0,24,0.00,35.71,0,0,N/A,N/A,1.00,0.00
2026-05-23T09:55:41.4190130Z,commands,open,0,0,0,0,0,0,0,0,0.00,0.00,0,0,N/A,N/A,1.00,0.00
2026-05-23T09:55:41.4190130Z,robot_state,open,0,16917,0,91,0,4092,0,22,0.00,32.74,0,0,N/A,N/A,1.00,0.00
2026-05-23T09:55:42.4538510Z,commands,open,0,0,0,0,0,0,0,0,0.00,0.00,0,0,N/A,N/A,0.00,0.00
2026-05-23T09:55:42.4538510Z,robot_state,open,0,21397,0,115,0,4480,0,24,0.00,35.84,0,0,N/A,N/A,0.00,0.00
2026-05-23T09:55:43.5465800Z,commands,open,0,0,0,0,0,0,0,0,0.00,0.00,0,0,N/A,N/A,0.00,0.00
2026-05-23T09:55:43.5465800Z,robot_state,open,0,25511,0,137,0,4114,0,22,0.00,32.91,0,0,N/A,N/A,0.00,0.00
2026-05-23T09:55:44.6380390Z,commands,open,1854,0,27,0,1854,0,27,0,14.83,0.00,0,0,N/A,N/A,1.00,0.00
2026-05-23T09:55:44.6380390Z,robot_state,open,0,30880,0,160,0,5369,0,23,0.00,42.95,0,0,N/A,N/A,1.00,0.00
2026-05-23T09:55:45.7241480Z,commands,open,4062,0,59,0,2208,0,32,0,17.66,0.00,0,0,N/A,N/A,1.00,0.00
2026-05-23T09:55:45.7241480Z,robot_state,open,0,36800,0,184,0,5920,0,24,0.00,47.36,0,0,N/A,N/A,1.00,0.00
2026-05-23T09:55:46.7991530Z,commands,open,6270,0,91,0,2208,0,32,0,17.66,0.00,0,0,N/A,N/A,1.00,0.00
2026-05-23T09:55:46.7991530Z,robot_state,open,0,42231,0,206,0,5431,0,22,0.00,43.45,0,0,N/A,N/A,1.00,0.00
