Time_sec,ExpectedPos,ActualPos
0.0000,3.0416,3.0416
0.0330,2.9916,2.9916
0.0660,2.9416,2.9416
0.1320,2.8416,2.8416
0.1650,2.7916,2.7916
0.2060,2.7416,2.7416
0.2760,2.6916,2.6916
0.3150,2.6416,2.6416
0.3530,2.5416,2.5416
0.4190,2.4416,2.4416
0.4520,2.3916,2.3916
0.4850,2.3416,2.3416
0.5500,2.2416,2.2416
0.5830,2.1916,2.1916
0.6150,2.1416,2.1416
0.6820,2.0416,2.0416
0.7220,1.9916,1.9916
0.7550,1.9416,1.9416
0.8250,1.8416,1.8416
0.8590,1.7916,1.7916
0.8910,1.7416,1.7416
0.9560,1.6416,1.6416
0.9890,1.5916,1.5916
1.0630,1.5416,1.5416
1.0960,1.4416,1.4416
1.1270,1.3916,1.3916
1.2020,1.3416,1.3416
1.2340,1.2416,1.2416
1.2750,1.1916,1.1916
1.3070,1.1416,1.1416
1.4090,1.0416,1.0416
1.4460,0.9416,0.9416
1.5130,0.8416,0.8416
1.5450,0.7916,0.7916
1.5780,0.7416,0.7416
1.6440,0.6416,0.6416
1.6770,0.5916,0.5916
1.7180,0.5416,0.5416
1.7880,0.4916,0.4916
1.8250,0.3916,0.3916
1.8570,0.3416,0.3416
1.9230,0.2416,0.2416
1.9550,0.1916,0.1916
1.9880,0.1416,0.1416
2.0530,0.0416,0.0416
2.0860,-0.0084,-0.0084
2.1510,-0.1084,-0.1084
2.2180,-0.1584,-0.1584
2.2580,-0.2084,-0.2084
2.2900,-0.2584,-0.2584
2.3310,-0.3584,-0.3584
2.3620,-0.4084,-0.4084
2.4270,-0.4584,-0.4584
2.4970,-0.5584,-0.5584
2.5680,-0.6584,-0.6584
2.6010,-0.7584,-0.7584
2.6340,-0.8084,-0.8084
2.7000,-0.9084,-0.9084
2.7710,-0.9584,-0.9584
2.8090,-1.0584,-1.0584
2.8510,-1.1084,-1.1084
2.9130,-1.2084,-1.2084
2.9450,-1.2584,-1.2584
2.9780,-1.3084,-1.3084
3.0440,-1.4084,-1.4084
3.0760,-1.4584,-1.4584
3.1420,-1.5584,-1.5584
3.2070,-1.6584,-1.6584
3.2810,-1.7084,-1.7084
3.3580,-1.8584,-1.8584
3.4220,-1.9584,-1.9584
3.4870,-2.0584,-2.0584
3.5190,-2.1084,-2.1084
3.5520,-2.1584,-2.1584
3.6170,-2.2584,-2.2584
3.6500,-2.3084,-2.3084
3.6830,-2.3584,-2.3584
3.7940,-2.4584,-2.4584
3.8320,-2.5584,-2.5584
3.9040,-2.6584,-2.6584
3.9370,-2.7084,-2.7084
3.9700,-2.7584,-2.7584
4.0750,-2.8584,-2.8584
4.1150,-2.9584,-2.9584
4.1800,-3.0584,-3.0584
4.2130,-3.1084,-3.1084
4.2460,-3.1584,-3.1584
4.3200,-3.2584,-3.2584
4.3600,-3.3084,-3.3084
4.3930,-3.3584,-3.3584
4.4560,-3.4584,-3.4584
4.4900,-3.5084,-3.5084
4.5220,-3.5584,-3.5584
4.5870,-3.6584,-3.6584
4.6550,-3.7084,-3.7084
4.7280,-3.8584,-3.8584
4.8010,-3.9084,-3.9084
4.8780,-4.0584,-4.0584
4.9090,-4.1084,-4.1084
4.9420,-4.1584,-4.1584
5.0070,-4.2584,-4.2584
5.0400,-4.3084,-4.3084
5.0730,-4.3584,-4.3584
5.1380,-4.4584,-4.4584
5.1700,-4.5084,-4.5084
5.2360,-4.5584,-4.5584
5.3080,-4.6584,-4.6584
5.3870,-4.7584,-4.7584
5.4180,-4.8584,-4.8584
5.4510,-4.9084,-4.9084
5.5170,-4.9584,-4.9584
5.5500,-5.0584,-5.0584
5.5830,-5.1084,-5.1084
5.6480,-5.2084,-5.2084
5.7500,-5.3084,-5.3084
5.7870,-5.4084,-5.4084
5.8300,-5.4584,-5.4584
5.9000,-5.5084,-5.5084
5.9690,-5.6584,-5.6584
6.0010,-5.7084,-5.7084
6.0670,-5.8084,-5.8084
6.1320,-5.8584,-5.8584
6.1650,-5.9584,-5.9584
6.1980,-6.0084,-6.0084
6.2640,-6.1084,-6.1084
6.2970,-6.1584,-6.1584
6.3390,-6.2084,-6.2084
6.4100,-6.3084,-6.3084
6.4410,-6.3584,-6.3584
6.4740,-6.4084,-6.4084
6.5390,-6.5084,-6.5084
6.5720,-6.5584,-6.5584
6.6040,-6.6084,-6.6084
6.6700,-6.7084,-6.7084
6.7030,-6.7584,-6.7584
6.7680,-6.8084,-6.8084
6.8450,-6.9084,-6.9084
6.8830,-7.0084,-7.0084
6.9500,-7.1084,-7.1084
6.9820,-7.1584,-7.1584
7.0150,-7.2084,-7.2084
7.0790,-7.3084,-7.3084
7.1450,-7.3584,-7.3584
7.1780,-7.4584,-7.4584
7.2430,-7.5584,-7.5584
7.2760,-7.6084,-7.6084
7.3090,-7.6584,-7.6584
7.3810,-7.7584,-7.7584
7.4140,-7.8084,-7.8084
7.4550,-7.8584,-7.8584
7.5190,-7.9584,-7.9584
7.5550,-8.0084,-8.0084
7.5910,-8.0584,-8.0584
7.6640,-8.1084,-8.1084
7.7000,-8.2084,-8.2084
7.7400,-8.2584,-8.2584
7.7740,-8.3084,-8.3084
7.8070,-8.3584,-8.3584
7.9210,-8.4584,-8.4584
7.9580,-8.5584,-8.5584
7.9920,-8.6084,-8.6084
8.0580,-8.7084,-8.7084
8.0900,-8.7584,-8.7584
8.1550,-8.8584,-8.8584
8.2210,-8.9084,-8.9084
8.2540,-9.0084,-9.0084
8.2860,-9.0584,-9.0584
8.3520,-9.1584,-9.1584
8.3930,-9.2084,-9.2084
8.4240,-9.2584,-9.2584
8.4970,-9.3084,-9.3084
8.5280,-9.4084,-9.4084
8.5610,-9.4584,-9.4584
8.6260,-9.5584,-9.5584
8.6590,-9.6084,-9.6084
8.6920,-9.6584,-9.6584
8.7570,-9.7584,-9.7584
8.7900,-9.8084,-9.8084
8.8230,-9.8584,-9.8584
8.8970,-9.9584,-9.9584
