seq,cmd_seq_echo,T0_ms,T1_ms,T3_ms,TQ_ms,T4_ms,T6_ms,T7_ms,RTT_ms,Processing_ms,QueueDelay_ms,Network_ms,RenderDelay_ms,MTP_ms,Jitter_ms
67,2,1779530886449,1779530886449,1779530886453,1779530886471,1779530886471,1779530886481,1779530886514,32,0,18,14,33,65,16.7372
68,3,1779530886481,1779530886481,1779530886485,1779530886505,1779530886505,1779530886514,1779530886547,33,0,20,13,33,66,15.9369
69,4,1779530886514,1779530886514,1779530886518,1779530886546,1779530886546,1779530886547,1779530886579,33,0,28,5,32,65,15.2511
70,6,1779530886579,1779530886579,1779530886583,1779530886607,1779530886607,1779530886613,1779530886646,34,0,24,10,33,67,14.4509
71,7,1779530886613,1779530886613,1779530886617,1779530886640,1779530886640,1779530886646,1779530886687,33,0,23,10,41,74,14.1211
72,8,1779530886645,1779530886645,1779530886649,1779530886683,1779530886684,1779530886687,1779530886757,42,1,34,7,70,112,14.9264
73,9,1779530886686,1779530886687,1779530886691,1779530886745,1779530886745,1779530886757,1779530886796,70,0,54,16,39,109,15.4879
74,10,1779530886756,1779530886757,1779530886761,1779530886779,1779530886779,1779530886796,1779530886801,39,0,18,21,5,44,16.2700
75,12,1779530886801,1779530886801,1779530886805,1779530886820,1779530886820,1779530886834,1779530886867,33,0,15,18,33,66,16.7775
76,14,1779530886867,1779530886867,1779530886871,1779530886881,1779530886881,1779530886900,1779530886933,33,0,10,23,33,66,16.1045
77,15,1779530886900,1779530886900,1779530886904,1779530886915,1779530886916,1779530886933,1779530886966,33,1,11,21,33,66,15.3833
78,16,1779530886933,1779530886933,1779530886937,1779530886956,1779530886956,1779530886966,1779530886998,33,0,19,14,32,65,14.6409
79,18,1779530886998,1779530886998,1779530887002,1779530887018,1779530887018,1779530887031,1779530887064,33,0,16,17,33,66,13.8805
80,19,1779530887030,1779530887030,1779530887034,1779530887055,1779530887055,1779530887064,1779530887096,34,0,21,13,32,66,13.2815
81,20,1779530887063,1779530887063,1779530887068,1779530887094,1779530887094,1779530887096,1779530887129,33,0,26,7,33,66,13.0260
82,22,1779530887129,1779530887129,1779530887133,1779530887155,1779530887155,1779530887163,1779530887203,34,0,22,12,40,74,13.2703
83,23,1779530887163,1779530887163,1779530887167,1779530887189,1779530887190,1779530887203,1779530887236,40,1,22,17,33,73,12.6912
84,24,1779530887203,1779530887203,1779530887207,1779530887231,1779530887231,1779530887236,1779530887276,33,0,24,9,40,73,11.9921
85,26,1779530887275,1779530887275,1779530887280,1779530887292,1779530887292,1779530887306,1779530887340,31,0,12,19,34,65,11.2770
86,27,1779530887306,1779530887306,1779530887311,1779530887328,1779530887328,1779530887340,1779530887372,34,0,17,17,32,66,10.8335
87,28,1779530887339,1779530887340,1779530887344,1779530887369,1779530887370,1779530887372,1779530887405,32,1,25,6,33,65,10.4169
88,30,1779530887405,1779530887405,1779530887409,1779530887432,1779530887432,1779530887437,1779530887470,32,0,23,9,33,65,9.8018
89,31,1779530887437,1779530887437,1779530887441,1779530887466,1779530887466,1779530887470,1779530887504,33,0,25,8,34,67,9.3663
90,32,1779530887470,1779530887470,1779530887474,1779530887507,1779530887507,1779530887544,1779530887577,74,0,33,41,33,107,10.5785
91,34,1779530887544,1779530887544,1779530887549,1779530887568,1779530887568,1779530887577,1779530887608,33,0,19,14,31,64,11.5916
92,35,1779530887576,1779530887576,1779530887580,1779530887603,1779530887603,1779530887608,1779530887641,32,0,23,9,33,65,11.0425
93,36,1779530887608,1779530887608,1779530887612,1779530887644,1779530887644,1779530887683,1779530887715,75,0,32,43,32,107,12.3259
94,38,1779530887682,1779530887682,1779530887689,1779530887705,1779530887706,1779530887715,1779530887756,33,1,16,16,41,74,12.6694
95,39,1779530887715,1779530887715,1779530887719,1779530887740,1779530887740,1779530887756,1779530887788,41,0,21,20,32,73,12.2521
96,40,1779530887756,1779530887756,1779530887760,1779530887781,1779530887781,1779530887788,1779530887820,32,0,21,11,32,64,12.0754
98,42,1779530887819,1779530887819,1779530887824,1779530887842,1779530887878,1779530887890,1779530887894,71,36,18,17,4,75,12.6676
99,44,1779530887894,1779530887894,1779530887898,1779530887919,1779530887919,1779530887927,1779530887960,33,0,21,12,33,66,13.3484
100,46,1779530887960,1779530887960,1779530887964,1779530887980,1779530887980,1779530887994,1779530888026,34,0,16,18,32,66,13.0648
101,47,1779530887994,1779530887994,1779530887998,1779530888015,1779530888015,1779530888026,1779530888059,32,0,17,15,33,65,12.5072
102,48,1779530888026,1779530888026,1779530888030,1779530888057,1779530888057,1779530888059,1779530888092,33,0,27,6,33,66,12.2489
103,50,1779530888092,1779530888092,1779530888096,1779530888118,1779530888118,1779530888125,1779530888158,33,0,22,11,33,66,11.7414
104,51,1779530888125,1779530888125,1779530888129,1779530888151,1779530888151,1779530888158,1779530888199,33,0,22,11,41,74,11.5563
105,52,1779530888158,1779530888158,1779530888162,1779530888192,1779530888192,1779530888199,1779530888269,41,0,30,11,70,111,12.6772
106,53,1779530888198,1779530888199,1779530888203,1779530888253,1779530888253,1779530888269,1779530888273,70,0,50,20,4,74,15.5758
107,55,1779530888273,1779530888273,1779530888277,1779530888288,1779530888288,1779530888306,1779530888338,33,0,11,22,32,65,16.3557
108,56,1779530888306,1779530888306,1779530888310,1779530888330,1779530888330,1779530888338,1779530888371,32,0,20,12,33,65,15.5797
109,58,1779530888371,1779530888371,1779530888375,1779530888393,1779530888393,1779530888404,1779530888436,33,0,18,15,32,65,14.6240
110,59,1779530888403,1779530888403,1779530888408,1779530888428,1779530888428,1779530888436,1779530888469,33,0,20,13,33,66,13.9777
111,60,1779530888436,1779530888436,1779530888440,1779530888469,1779530888469,1779530888469,1779530888501,33,0,29,4,32,65,13.3767
112,62,1779530888501,1779530888501,1779530888505,1779530888531,1779530888531,1779530888534,1779530888567,33,0,26,7,33,66,12.6508
113,63,1779530888534,1779530888534,1779530888538,1779530888565,1779530888565,1779530888567,1779530888600,33,0,27,6,33,66,11.8613
