utc_iso,unix_ms,seq,cmd_seq_echo,t0_echo,t1_echo,t3_recv,tq_dequeue,t4_physics,t5_send,t6_unity
2026-05-23T10:08:03.5047130Z,1779530883504,1,-1,0,0,0,0,1779530883461,1779530883463,1779530883471
2026-05-23T10:08:03.5852920Z,1779530883585,2,-1,0,0,0,0,1779530883495,1779530883499,1779530883505
2026-05-23T10:08:03.5922010Z,1779530883592,3,-1,0,0,0,0,1779530883536,1779530883536,1779530883585
2026-05-23T10:08:03.6615010Z,1779530883661,4,-1,0,0,0,0,1779530883597,1779530883600,1779530883625
2026-05-23T10:08:03.6930740Z,1779530883693,5,-1,0,0,0,0,1779530883632,1779530883636,1779530883661
2026-05-23T10:08:03.7264570Z,1779530883726,6,-1,0,0,0,0,1779530883675,1779530883677,1779530883693
2026-05-23T10:08:03.7995720Z,1779530883799,8,-1,0,0,0,0,1779530883772,1779530883772,1779530883796
2026-05-23T10:08:03.8664940Z,1779530883866,9,-1,0,0,0,0,1779530883813,1779530883814,1779530883832
2026-05-23T10:08:03.9323990Z,1779530883932,10,-1,0,0,0,0,1779530883873,1779530883876,1779530883899
2026-05-23T10:08:03.9650780Z,1779530883965,11,-1,0,0,0,0,1779530883907,1779530883912,1779530883932
2026-05-23T10:08:03.9978760Z,1779530883997,12,-1,0,0,0,0,1779530883948,1779530883954,1779530883965
2026-05-23T10:08:04.0701760Z,1779530884070,13,-1,0,0,0,0,1779530884009,1779530884011,1779530884033
2026-05-23T10:08:04.1067960Z,1779530884106,14,-1,0,0,0,0,1779530884045,1779530884047,1779530884070
2026-05-23T10:08:04.1476670Z,1779530884147,15,-1,0,0,0,0,1779530884087,1779530884089,1779530884106
2026-05-23T10:08:04.1841680Z,1779530884184,16,-1,0,0,0,0,1779530884147,1779530884147,1779530884147
2026-05-23T10:08:04.2246090Z,1779530884224,17,-1,0,0,0,0,1779530884182,1779530884184,1779530884184
2026-05-23T10:08:04.2602380Z,1779530884260,18,-1,0,0,0,0,1779530884223,1779530884225,1779530884224
2026-05-23T10:08:04.3264100Z,1779530884326,19,-1,0,0,0,0,1779530884284,1779530884287,1779530884294
2026-05-23T10:08:04.3592160Z,1779530884359,20,-1,0,0,0,0,1779530884319,1779530884324,1779530884326
2026-05-23T10:08:04.3920440Z,1779530884392,21,-1,0,0,0,0,1779530884359,1779530884361,1779530884359
2026-05-23T10:08:04.4581880Z,1779530884458,22,-1,0,0,0,0,1779530884420,1779530884423,1779530884424
2026-05-23T10:08:04.4909830Z,1779530884490,23,-1,0,0,0,0,1779530884453,1779530884455,1779530884460
2026-05-23T10:08:04.5322490Z,1779530884532,24,-1,0,0,0,0,1779530884494,1779530884496,1779530884496
2026-05-23T10:08:04.6495500Z,1779530884649,25,-1,0,0,0,0,1779530884555,1779530884558,1779530884566
2026-05-23T10:08:04.6529620Z,1779530884652,27,-1,0,0,0,0,1779530884630,1779530884632,1779530884649
2026-05-23T10:08:04.7526620Z,1779530884752,28,-1,0,0,0,0,1779530884691,1779530884693,1779530884719
