Time_sec,ExpectedPos,ActualPos
0.0000,3.0416,3.0416
0.0340,2.9416,2.9416
0.0650,2.8916,2.8916
0.1300,2.7916,2.7916
0.2000,2.7416,2.7416
0.2740,2.5916,2.5916
0.3450,2.5416,2.5416
0.4220,2.3916,2.3916
0.4860,2.2916,2.2916
0.5510,2.2416,2.2416
0.5860,2.1416,2.1416
0.6160,2.0916,2.0916
0.6820,1.9916,1.9916
0.7150,1.9416,1.9416
0.7480,1.8916,1.8916
0.8530,1.7916,1.7916
0.8910,1.6916,1.6916
0.9620,1.5916,1.5916
0.9950,1.5416,1.5416
1.0270,1.4916,1.4916
1.0940,1.3916,1.3916
1.1260,1.3416,1.3416
1.1600,1.2916,1.2916
1.2240,1.1916,1.1916
1.2940,1.1416,1.1416
1.3760,0.9916,0.9916
1.4470,0.9416,0.9416
1.4840,0.8416,0.8416
1.5490,0.7916,0.7916
1.5820,0.6916,0.6916
1.6500,0.5916,0.5916
1.6810,0.5416,0.5416
1.7130,0.4916,0.4916
1.7780,0.3916,0.3916
1.8120,0.3416,0.3416
1.8450,0.2916,0.2916
1.9190,0.1916,0.1916
1.9600,0.1416,0.1416
1.9910,0.0916,0.0916
2.0560,-0.0084,-0.0084
2.0890,-0.0584,-0.0584
2.1220,-0.1084,-0.1084
2.1870,-0.2084,-0.2084
2.2200,-0.2584,-0.2584
2.2860,-0.3084,-0.3084
2.3180,-0.4084,-0.4084
2.3970,-0.4584,-0.4584
2.4800,-0.6084,-0.6084
2.5150,-0.6584,-0.6584
2.5520,-0.7084,-0.7084
2.6260,-0.8084,-0.8084
2.6990,-0.9084,-0.9084
2.7650,-0.9584,-0.9584
2.7970,-1.0084,-1.0084
2.8320,-1.1084,-1.1084
2.9030,-1.1584,-1.1584
2.9400,-1.2584,-1.2584
2.9810,-1.3084,-1.3084
3.0450,-1.3584,-1.3584
3.0780,-1.4584,-1.4584
3.1110,-1.5084,-1.5084
3.1760,-1.6084,-1.6084
3.2080,-1.6584,-1.6584
3.2410,-1.7084,-1.7084
3.3070,-1.8084,-1.8084
3.3390,-1.8584,-1.8584
3.4120,-1.9084,-1.9084
3.4480,-2.0084,-2.0084
3.5200,-2.0584,-2.0584
3.5890,-2.2084,-2.2084
3.6210,-2.2584,-2.2584
3.6910,-2.3084,-2.3084
3.7290,-2.4084,-2.4084
3.7630,-2.4584,-2.4584
3.7960,-2.5084,-2.5084
3.8610,-2.6084,-2.6084
3.8950,-2.6584,-2.6584
3.9350,-2.7084,-2.7084
4.0060,-2.8084,-2.8084
4.0370,-2.8584,-2.8584
4.0700,-2.9084,-2.9084
4.1350,-3.0084,-3.0084
4.1680,-3.0584,-3.0584
4.2340,-3.1084,-3.1084
4.2650,-3.2084,-3.2084
4.2980,-3.2584,-3.2584
4.3640,-3.3584,-3.3584
4.3970,-3.4084,-3.4084
4.4380,-3.4584,-3.4584
4.4710,-3.5084,-3.5084
4.5410,-3.6084,-3.6084
4.5730,-3.6584,-3.6584
4.6380,-3.7584,-3.7584
4.7390,-3.8584,-3.8584
4.7760,-3.9584,-3.9584
4.8420,-4.0584,-4.0584
4.8750,-4.1084,-4.1084
4.9480,-4.1584,-4.1584
4.9840,-4.2084,-4.2084
5.0250,-4.3084,-4.3084
5.0560,-4.3584,-4.3584
5.1220,-4.4584,-4.4584
5.1540,-4.5084,-4.5084
5.1870,-4.5584,-4.5584
5.2520,-4.6584,-4.6584
5.2850,-4.7084,-4.7084
5.3500,-4.7584,-4.7584
5.3830,-4.8584,-4.8584
5.4570,-4.9084,-4.9084
5.5340,-5.0584,-5.0584
5.5660,-5.1084,-5.1084
5.5990,-5.1584,-5.1584
5.6640,-5.2584,-5.2584
5.6970,-5.3084,-5.3084
5.7620,-5.4084,-5.4084
5.8310,-5.4584,-5.4584
5.8680,-5.5584,-5.5584
5.9020,-5.6084,-5.6084
5.9740,-5.6584,-5.6584
6.0110,-5.7584,-5.7584
6.0520,-5.8084,-5.8084
6.1160,-5.9084,-5.9084
6.1490,-5.9584,-5.9584
6.1820,-6.0084,-6.0084
6.2460,-6.1084,-6.1084
6.2790,-6.1584,-6.1584
6.3120,-6.2084,-6.2084
6.3780,-6.3084,-6.3084
6.4190,-6.3584,-6.3584
6.4540,-6.4084,-6.4084
6.5610,-6.5084,-6.5084
6.5970,-6.6084,-6.6084
6.6630,-6.6584,-6.6584
6.6960,-6.7584,-6.7584
6.7280,-6.8084,-6.8084
6.7960,-6.9084,-6.9084
6.8260,-6.9584,-6.9584
6.8580,-7.0084,-7.0084
6.9280,-7.0584,-7.0584
6.9650,-7.1584,-7.1584
7.0060,-7.2084,-7.2084
7.0770,-7.2584,-7.2584
7.1460,-7.3584,-7.3584
7.1780,-7.4584,-7.4584
7.2110,-7.5084,-7.5084
7.2770,-7.6084,-7.6084
7.3420,-7.6584,-7.6584
7.3750,-7.7084,-7.7084
7.4070,-7.8084,-7.8084
7.4730,-7.9084,-7.9084
7.5150,-7.9584,-7.9584
7.5870,-8.0584,-8.0584
7.6180,-8.1084,-8.1084
7.6830,-8.1584,-8.1584
7.7160,-8.2584,-8.2584
7.7480,-8.3084,-8.3084
7.8140,-8.4084,-8.4084
7.8470,-8.4584,-8.4584
7.9110,-8.5584,-8.5584
7.9450,-8.6084,-8.6084
8.0200,-8.6584,-8.6584
8.1000,-8.7584,-8.7584
8.1300,-8.8584,-8.8584
8.1640,-8.9084,-8.9084
8.2280,-9.0084,-9.0084
8.2940,-9.0584,-9.0584
8.3260,-9.1084,-9.1084
8.3590,-9.2084,-9.2084
8.4240,-9.3084,-9.3084
8.4570,-9.3584,-9.3584
8.4910,-9.4084,-9.4084
8.5630,-9.4584,-9.4584
8.6030,-9.5584,-9.5584
8.6340,-9.6084,-9.6084
8.6990,-9.6584,-9.6584
8.7320,-9.7084,-9.7084
8.7640,-9.8084,-9.8084
8.8300,-9.9084,-9.9084
8.8630,-9.9584,-9.9584
8.8950,-10.0084,-10.0084
8.9610,-10.1084,-10.1084
8.9940,-10.1584,-10.1584
9.0350,-10.2084,-10.2084
9.1110,-10.2584,-10.2584
9.1810,-10.3584,-10.3584
9.2150,-10.4584,-10.4584
9.2470,-10.5084,-10.5084
9.3130,-10.6084,-10.6084
9.3780,-10.7084,-10.7084
9.4430,-10.8084,-10.8084
9.4760,-10.8584,-10.8584
9.5530,-10.9584,-10.9584
9.6250,-11.0584,-11.0584
9.6570,-11.1084,-11.1084
9.6900,-11.1584,-11.1584
9.7550,-11.2584,-11.2584
9.7880,-11.3084,-11.3084
