seq,cmd_seq_echo,T0_ms,T1_ms,T3_ms,TQ_ms,T4_ms,T6_ms,T7_ms,RTT_ms,Processing_ms,QueueDelay_ms,Network_ms,RenderDelay_ms,MTP_ms,Jitter_ms
69,2,1779531492062,1779531492062,1779531492062,1779531492094,1779531492094,1779531492127,1779531492161,65,0,32,33,34,99,18.1738
70,4,1779531492126,1779531492126,1779531492127,1779531492127,1779531492127,1779531492161,1779531492192,35,0,0,35,31,66,17.2729
71,5,1779531492159,1779531492159,1779531492160,1779531492169,1779531492170,1779531492192,1779531492225,33,1,9,23,33,66,16.7170
72,7,1779531492224,1779531492224,1779531492225,1779531492230,1779531492230,1779531492257,1779531492327,33,0,5,28,70,103,18.4761
74,8,1779531492257,1779531492257,1779531492257,1779531492265,1779531492306,1779531492327,1779531492335,70,41,8,21,8,78,21.8073
75,11,1779531492366,1779531492366,1779531492366,1779531492368,1779531492368,1779531492401,1779531492472,35,0,2,33,71,106,25.1057
77,12,1779531492400,1779531492400,1779531492401,1779531492402,1779531492443,1779531492472,1779531492477,72,41,1,30,5,77,27.7419
79,15,1779531492509,1779531492509,1779531492510,1779531492543,1779531492543,1779531492549,1779531492580,40,0,33,7,31,71,26.2361
80,17,1779531492580,1779531492580,1779531492580,1779531492584,1779531492584,1779531492613,1779531492646,33,0,4,29,33,66,25.9810
81,18,1779531492613,1779531492613,1779531492613,1779531492645,1779531492646,1779531492678,1779531492713,65,1,32,32,35,100,24.5765
82,20,1779531492678,1779531492678,1779531492679,1779531492680,1779531492680,1779531492713,1779531492743,35,0,1,34,30,65,23.0634
83,21,1779531492711,1779531492711,1779531492713,1779531492720,1779531492721,1779531492743,1779531492776,32,1,7,24,33,65,22.2873
84,23,1779531492776,1779531492776,1779531492776,1779531492782,1779531492783,1779531492809,1779531492843,33,1,6,26,34,67,21.1109
85,24,1779531492808,1779531492808,1779531492809,1779531492817,1779531492817,1779531492842,1779531492875,34,0,8,26,33,67,19.8999
86,25,1779531492841,1779531492841,1779531492843,1779531492861,1779531492861,1779531492875,1779531492907,34,0,18,16,32,66,19.2766
88,27,1779531492907,1779531492907,1779531492907,1779531492922,1779531492957,1779531492980,1779531492986,73,35,15,23,6,79,19.4943
89,29,1779531492984,1779531492985,1779531492986,1779531492999,1779531492999,1779531493018,1779531493058,33,0,13,20,40,73,20.1937
90,31,1779531493058,1779531493058,1779531493058,1779531493061,1779531493061,1779531493089,1779531493122,31,0,3,28,33,64,19.3200
91,32,1779531493089,1779531493089,1779531493090,1779531493096,1779531493096,1779531493122,1779531493154,33,0,6,27,32,65,18.3452
92,33,1779531493122,1779531493122,1779531493123,1779531493137,1779531493137,1779531493154,1779531493188,32,0,14,18,34,66,17.7273
93,35,1779531493188,1779531493188,1779531493188,1779531493198,1779531493198,1779531493221,1779531493253,33,0,10,23,32,65,16.7464
94,36,1779531493220,1779531493220,1779531493221,1779531493233,1779531493233,1779531493253,1779531493287,33,0,12,21,34,67,15.7778
95,37,1779531493253,1779531493253,1779531493253,1779531493274,1779531493274,1779531493287,1779531493319,34,0,21,13,32,66,15.3222
96,39,1779531493319,1779531493319,1779531493319,1779531493335,1779531493335,1779531493351,1779531493422,32,0,16,16,71,103,16.8404
98,40,1779531493351,1779531493351,1779531493351,1779531493368,1779531493409,1779531493421,1779531493426,70,41,17,12,5,75,20.0797
99,43,1779531493459,1779531493459,1779531493459,1779531493470,1779531493470,1779531493503,1779531493574,44,0,11,33,71,115,24.3832
101,44,1779531493503,1779531493503,1779531493504,1779531493506,1779531493546,1779531493574,1779531493579,71,40,2,29,5,76,27.3767
102,46,1779531493579,1779531493579,1779531493579,1779531493606,1779531493606,1779531493611,1779531493643,32,0,27,5,32,64,26.0399
103,47,1779531493610,1779531493610,1779531493611,1779531493641,1779531493641,1779531493676,1779531493710,66,0,30,36,34,100,26.2902
104,49,1779531493676,1779531493676,1779531493676,1779531493682,1779531493683,1779531493709,1779531493742,33,1,6,26,33,66,25.2565
105,51,1779531493741,1779531493742,1779531493742,1779531493744,1779531493744,1779531493777,1779531493808,35,0,2,33,31,66,23.9441
106,52,1779531493775,1779531493775,1779531493777,1779531493779,1779531493779,1779531493808,1779531493840,33,0,2,31,32,65,22.6772
107,53,1779531493808,1779531493808,1779531493808,1779531493820,1779531493820,1779531493840,1779531493873,32,0,12,20,33,65,21.8273
108,55,1779531493873,1779531493873,1779531493873,1779531493881,1779531493881,1779531493905,1779531493939,32,0,8,24,34,66,21.0163
109,56,1779531493905,1779531493905,1779531493905,1779531493915,1779531493915,1779531493939,1779531493972,34,0,10,24,33,67,19.9022
110,57,1779531493939,1779531493939,1779531493939,1779531493956,1779531493956,1779531493972,1779531494014,33,0,17,16,42,75,18.6781
111,59,1779531494014,1779531494014,1779531494014,1779531494017,1779531494017,1779531494046,1779531494087,32,0,3,29,41,73,18.1706
112,60,1779531494046,1779531494046,1779531494046,1779531494051,1779531494052,1779531494087,1779531494118,41,1,5,35,31,72,17.0642
113,61,1779531494087,1779531494087,1779531494087,1779531494094,1779531494094,1779531494118,1779531494151,31,0,7,24,33,64,16.5972
114,63,1779531494150,1779531494151,1779531494151,1779531494156,1779531494156,1779531494183,1779531494216,32,0,5,27,33,65,15.6977
115,64,1779531494183,1779531494183,1779531494183,1779531494191,1779531494191,1779531494216,1779531494249,33,0,8,25,33,66,14.9359
116,65,1779531494216,1779531494216,1779531494216,1779531494240,1779531494240,1779531494249,1779531494282,33,0,24,9,33,66,14.9427
117,67,1779531494281,1779531494281,1779531494282,1779531494302,1779531494302,1779531494314,1779531494347,33,0,20,13,33,66,14.1826
118,68,1779531494314,1779531494314,1779531494314,1779531494339,1779531494340,1779531494347,1779531494380,33,1,25,7,33,66,13.5654
119,69,1779531494347,1779531494347,1779531494347,1779531494378,1779531494379,1779531494413,1779531494445,66,1,31,34,32,98,14.4255
120,71,1779531494412,1779531494412,1779531494412,1779531494440,1779531494440,1779531494445,1779531494524,33,0,28,5,79,112,14.4526
122,72,1779531494445,1779531494445,1779531494445,1779531494475,1779531494517,1779531494524,1779531494528,79,42,30,7,4,83,17.8339
123,75,1779531494562,1779531494562,1779531494563,1779531494579,1779531494579,1779531494607,1779531494642,45,0,16,29,35,80,19.8482
124,76,1779531494606,1779531494606,1779531494607,1779531494614,1779531494614,1779531494642,1779531494679,36,0,7,29,37,73,18.6643
125,77,1779531494641,1779531494641,1779531494642,1779531494654,1779531494655,1779531494679,1779531494716,38,1,12,25,37,75,17.8218
126,79,1779531494716,1779531494716,1779531494716,1779531494717,1779531494717,1779531494753,1779531494789,37,0,1,36,36,73,17.6489
128,81,1779531494789,1779531494789,1779531494790,1779531494794,1779531494794,1779531494826,1779531494859,37,0,4,33,33,70,16.0631
129,82,1779531494825,1779531494825,1779531494826,1779531494855,1779531494855,1779531494892,1779531494924,67,0,29,38,32,99,15.2557
130,83,1779531494859,1779531494859,1779531494859,1779531494891,1779531494892,1779531494924,1779531494959,65,1,32,32,35,100,14.4960
131,85,1779531494924,1779531494924,1779531494925,1779531494937,1779531494937,1779531494959,1779531495030,35,0,12,23,71,106,15.4617
132,86,1779531494958,1779531494958,1779531494959,1779531495000,1779531495000,1779531495030,1779531495034,72,0,41,31,4,76,18.2439
