Time_sec,ExpectedPos,ActualPos
0.0000,2.9916,2.9916
0.0320,2.9416,2.9416
0.0650,2.8916,2.8916
0.1300,2.7916,2.7916
0.1630,2.7416,2.7416
0.1960,2.6916,2.6916
0.2610,2.5916,2.5916
0.2940,2.5416,2.5416
0.3280,2.4916,2.4916
0.4030,2.4416,2.4416
0.4780,2.3416,2.3416
0.5140,2.2416,2.2416
0.5470,2.1916,2.1916
0.5790,2.1416,2.1416
0.6440,2.0416,2.0416
0.6770,1.9916,1.9916
0.7460,1.9416,1.9416
0.7830,1.8416,1.8416
0.8160,1.7916,1.7916
0.8500,1.7416,1.7416
0.9240,1.6416,1.6416
0.9950,1.5916,1.5916
1.0310,1.4916,1.4916
1.0640,1.4416,1.4416
1.1300,1.3416,1.3416
1.1630,1.2916,1.2916
1.1950,1.2416,1.2416
1.2600,1.1416,1.1416
1.2930,1.0916,1.0916
1.3590,1.0416,1.0416
1.3930,0.9416,0.9416
1.4340,0.8916,0.8916
1.4660,0.8416,0.8416
1.5070,0.7916,0.7916
1.5700,0.6916,0.6916
1.6030,0.6416,0.6416
1.6360,0.5916,0.5916
1.7020,0.4916,0.4916
1.7340,0.4416,0.4416
1.8350,0.3416,0.3416
1.8730,0.2416,0.2416
1.9850,0.1416,0.1416
2.0210,0.0416,0.0416
2.0860,-0.0584,-0.0584
2.1190,-0.1084,-0.1084
2.1520,-0.1584,-0.1584
2.2170,-0.2584,-0.2584
2.2820,-0.3584,-0.3584
2.3150,-0.4084,-0.4084
2.3500,-0.4584,-0.4584
2.4560,-0.5584,-0.5584
2.4920,-0.6584,-0.6584
2.5330,-0.7084,-0.7084
2.5630,-0.7584,-0.7584
2.6290,-0.8084,-0.8084
2.6940,-0.9084,-0.9084
2.7280,-0.9584,-0.9584
2.7600,-1.0584,-1.0584
2.8250,-1.1584,-1.1584
2.8580,-1.2084,-1.2084
2.8900,-1.2584,-1.2584
2.9670,-1.3084,-1.3084
3.0370,-1.4584,-1.4584
3.1020,-1.5084,-1.5084
3.1350,-1.5584,-1.5584
3.1680,-1.6584,-1.6584
3.2320,-1.7584,-1.7584
3.2650,-1.8084,-1.8084
3.2980,-1.8584,-1.8584
3.3640,-1.9584,-1.9584
3.3960,-2.0084,-2.0084
3.4290,-2.0584,-2.0584
3.5010,-2.1584,-2.1584
3.5430,-2.2084,-2.2084
3.5740,-2.2584,-2.2584
3.6390,-2.3584,-2.3584
3.6720,-2.4084,-2.4084
3.7040,-2.4584,-2.4584
3.7700,-2.5584,-2.5584
3.8030,-2.6084,-2.6084
3.8680,-2.6584,-2.6584
3.9340,-2.7584,-2.7584
3.9740,-2.8584,-2.8584
4.0500,-2.9084,-2.9084
4.0870,-3.0084,-3.0084
4.1200,-3.0584,-3.0584
4.1860,-3.1584,-3.1584
4.2190,-3.2084,-3.2084
4.2520,-3.2584,-3.2584
4.3170,-3.3584,-3.3584
4.3530,-3.4084,-3.4084
4.4190,-3.4584,-3.4584
4.4520,-3.5584,-3.5584
4.4930,-3.6084,-3.6084
4.5250,-3.6584,-3.6584
4.5960,-3.7584,-3.7584
4.6290,-3.8084,-3.8084
4.6610,-3.8584,-3.8584
4.7270,-3.9584,-3.9584
4.7600,-4.0084,-4.0084
4.8250,-4.0584,-4.0584
4.8580,-4.1584,-4.1584
4.9230,-4.2084,-4.2084
4.9560,-4.3084,-4.3084
4.9980,-4.3584,-4.3584
5.0290,-4.4084,-4.4084
5.0710,-4.4584,-4.4584
5.1380,-4.5084,-4.5084
5.1760,-4.6084,-4.6084
5.2090,-4.6584,-4.6584
5.2740,-4.7584,-4.7584
5.3070,-4.8084,-4.8084
5.3400,-4.8584,-4.8584
5.4060,-4.9584,-4.9584
5.4390,-5.0084,-5.0084
5.5130,-5.1084,-5.1084
5.5450,-5.1584,-5.1584
5.5860,-5.2084,-5.2084
5.6180,-5.2584,-5.2584
5.6830,-5.3584,-5.3584
5.7160,-5.4084,-5.4084
5.7810,-5.4584,-5.4584
5.8160,-5.5584,-5.5584
5.8510,-5.6084,-5.6084
5.8900,-5.6584,-5.6584
5.9640,-5.7584,-5.7584
6.0000,-5.8084,-5.8084
6.0420,-5.8584,-5.8584
6.1160,-5.9084,-5.9084
6.2210,-6.0584,-6.0584
6.2900,-6.1584,-6.1584
6.3250,-6.2584,-6.2584
6.3600,-6.3084,-6.3084
6.3920,-6.3584,-6.3584
6.4570,-6.4584,-6.4584
6.4900,-6.5084,-6.5084
6.5320,-6.5584,-6.5584
6.6060,-6.6584,-6.6584
6.6360,-6.7084,-6.7084
6.6680,-6.7584,-6.7584
6.7010,-6.8084,-6.8084
6.7660,-6.9084,-6.9084
6.7990,-6.9584,-6.9584
6.8640,-7.0584,-7.0584
6.9290,-7.1084,-7.1084
6.9620,-7.2084,-7.2084
6.9950,-7.2584,-7.2584
7.0360,-7.3084,-7.3084
7.1090,-7.3584,-7.3584
7.1400,-7.4084,-7.4084
7.1720,-7.5084,-7.5084
7.2740,-7.6084,-7.6084
7.3110,-7.7084,-7.7084
7.3450,-7.7584,-7.7584
7.4110,-7.8084,-7.8084
7.4760,-7.9084,-7.9084
7.5100,-8.0084,-8.0084
7.5420,-8.0584,-8.0584
7.5830,-8.1084,-8.1084
7.6530,-8.1584,-8.1584
7.6890,-8.2084,-8.2084
7.7210,-8.3084,-8.3084
7.7540,-8.3584,-8.3584
7.8200,-8.4584,-8.4584
7.8840,-8.5084,-8.5084
7.9170,-8.6084,-8.6084
7.9520,-8.6584,-8.6584
8.0160,-8.7584,-8.7584
8.0490,-8.8084,-8.8084
8.0900,-8.8584,-8.8584
8.1620,-8.9584,-8.9584
8.2260,-9.0584,-9.0584
8.2910,-9.1084,-9.1084
8.3640,-9.2084,-9.2084
8.4010,-9.3084,-9.3084
8.4350,-9.3584,-9.3584
8.5000,-9.4584,-9.4584
8.5670,-9.5084,-9.5084
8.6070,-9.5584,-9.5584
8.6390,-9.6084,-9.6084
8.6790,-9.7084,-9.7084
8.7110,-9.7584,-9.7584
8.7750,-9.8084,-9.8084
8.8080,-9.9084,-9.9084
8.8410,-9.9584,-9.9584
8.9060,-10.0584,-10.0584
8.9720,-10.1084,-10.1084
9.0050,-10.1584,-10.1584
9.0380,-10.2584,-10.2584
9.1120,-10.3584,-10.3584
9.1840,-10.4584,-10.4584
9.2150,-10.5084,-10.5084
9.2800,-10.5584,-10.5584
9.3130,-10.6584,-10.6584
9.3460,-10.7084,-10.7084
9.4150,-10.7584,-10.7584
9.4520,-10.8584,-10.8584
9.4860,-10.9084,-10.9084
9.5190,-10.9584,-10.9584
9.5960,-11.0584,-11.0584
9.6280,-11.1084,-11.1084
9.6680,-11.1584,-11.1584
9.6990,-11.2084,-11.2084
9.7650,-11.3084,-11.3084
9.7980,-11.3584,-11.3584
9.8630,-11.4084,-11.4084
9.8960,-11.5084,-11.5084
9.9290,-11.5584,-11.5584
9.9940,-11.6084,-11.6084
10.0270,-11.7084,-11.7084
10.1330,-11.8084,-11.8084
10.1700,-11.9084,-11.9084
10.2120,-11.9584,-11.9584
10.2430,-12.0084,-12.0084
10.3090,-12.1084,-12.1084
10.3440,-12.1584,-12.1584
10.3770,-12.2084,-12.2084
10.4420,-12.3084,-12.3084
10.5110,-12.3584,-12.3584
10.5820,-12.5084,-12.5084
10.6560,-12.5584,-12.5584
10.7340,-12.7084,-12.7084
10.7650,-12.7584,-12.7584
10.7980,-12.8084,-12.8084
10.8630,-12.9084,-12.9084
10.8950,-12.9584,-12.9584
10.9290,-13.0084,-13.0084
10.9940,-13.1084,-13.1084
11.0260,-13.1584,-13.1584
11.0590,-13.2084,-13.2084
11.1640,-13.3084,-13.3084
11.2010,-13.4084,-13.4084
11.2730,-13.5084,-13.5084
11.3060,-13.5584,-13.5584
11.3390,-13.6084,-13.6084
11.4040,-13.7084,-13.7084
11.4370,-13.7584,-13.7584
11.4700,-13.8084,-13.8084
11.5350,-13.9084,-13.9084
11.6100,-13.9584,-13.9584
11.6820,-14.1084,-14.1084
11.7540,-14.1584,-14.1584
11.8230,-14.3084,-14.3084
11.8550,-14.3584,-14.3584
11.8880,-14.4084,-14.4084
11.9530,-14.5084,-14.5084
11.9860,-14.5584,-14.5584
12.0190,-14.6084,-14.6084
12.0840,-14.7084,-14.7084
12.1170,-14.7584,-14.7584
12.1590,-14.8084,-14.8084
12.2240,-14.9084,-14.9084
12.2650,-14.9584,-14.9584
12.2960,-15.0084,-15.0084
12.3650,-15.1085,-15.1084
12.3970,-15.1585,-15.1584
12.4290,-15.2085,-15.2084
12.4940,-15.3085,-15.3084
12.5280,-15.3585,-15.3584
12.5600,-15.4085,-15.4084
12.6260,-15.5085,-15.5084
12.6990,-15.5585,-15.5584
12.7780,-15.7085,-15.7084
12.8090,-15.7585,-15.7584
12.8780,-15.8085,-15.8084
12.8820,-15.8585,-15.8584
12.9490,-15.9085,-15.9084
12.9820,-16.0085,-16.0084
13.0480,-16.1085,-16.1084
13.0800,-16.1585,-16.1584
13.1130,-16.2084,-16.2084
13.1810,-16.3084,-16.3084
13.2200,-16.3584,-16.3584
13.2900,-16.4084,-16.4084
13.3580,-16.5084,-16.5084
13.3910,-16.6084,-16.6084
13.4560,-16.7084,-16.7084
13.4890,-16.7584,-16.7584
13.5210,-16.8084,-16.8084
13.5870,-16.9084,-16.9084
13.6210,-16.9584,-16.9584
13.6530,-17.0084,-17.0084
13.7630,-17.1084,-17.1084
13.7990,-17.2084,-17.2084
13.8650,-17.3084,-17.3084
13.9340,-17.3584,-17.3584
14.0040,-17.5084,-17.5084
14.0380,-17.5584,-17.5584
14.0700,-17.6084,-17.6084
14.1360,-17.7084,-17.7084
14.1700,-17.7584,-17.7584
14.2110,-17.8084,-17.8084
14.2830,-17.9084,-17.9084
14.3140,-17.9584,-17.9584
14.3490,-18.0084,-18.0084
14.4150,-18.1084,-18.1084
14.4480,-18.1584,-18.1584
14.4810,-18.2084,-18.2084
14.5460,-18.3084,-18.3084
14.5800,-18.3584,-18.3584
14.6110,-18.4084,-18.4084
14.6780,-18.5084,-18.5084
14.7110,-18.5584,-18.5584
14.7530,-18.6084,-18.6084
14.8230,-18.6584,-18.6584
14.8590,-18.7084,-18.7084
14.8920,-18.8084,-18.8084
14.9570,-18.8584,-18.8584
15.0270,-18.9584,-18.9584
15.0980,-19.1084,-19.1084
15.1630,-19.2084,-19.2084
15.2390,-19.3084,-19.3084
15.3110,-19.4084,-19.4084
15.3420,-19.4584,-19.4584
15.3740,-19.5084,-19.5084
15.4390,-19.6084,-19.6084
15.4720,-19.6584,-19.6584
