seq,cmd_seq_echo,T0_ms,T1_ms,T3_ms,TQ_ms,T4_ms,T6_ms,T7_ms,RTT_ms,Processing_ms,QueueDelay_ms,Network_ms,RenderDelay_ms,MTP_ms,Jitter_ms
59,3,1779534048746,1779534048746,1779534048740,1779534048741,1779534048741,1779534048779,1779534048811,33,0,1,32,32,65,21.1595
60,4,1779534048779,1779534048779,1779534048773,1779534048774,1779534048774,1779534048811,1779534048844,32,0,1,31,33,65,20.1207
61,5,1779534048811,1779534048811,1779534048805,1779534048814,1779534048814,1779534048844,1779534048877,33,0,9,24,33,66,19.0463
62,7,1779534048877,1779534048877,1779534048871,1779534048873,1779534048873,1779534048909,1779534048942,32,0,2,30,33,65,18.0737
63,8,1779534048909,1779534048909,1779534048904,1779534048908,1779534048908,1779534048942,1779534048975,33,0,4,29,33,66,17.0154
64,9,1779534048942,1779534048942,1779534048937,1779534048947,1779534048947,1779534048975,1779534049008,33,0,10,23,33,66,16.5067
65,11,1779534049008,1779534049008,1779534049003,1779534049006,1779534049006,1779534049040,1779534049073,32,0,3,29,33,65,15.9381
66,12,1779534049040,1779534049040,1779534049034,1779534049040,1779534049040,1779534049073,1779534049107,33,0,6,27,34,67,15.1372
67,13,1779534049073,1779534049073,1779534049067,1779534049080,1779534049080,1779534049107,1779534049182,34,0,13,21,75,109,16.5743
69,14,1779534049107,1779534049107,1779534049101,1779534049138,1779534049171,1779534049182,1779534049187,75,33,37,5,5,80,21.0464
70,16,1779534049187,1779534049187,1779534049181,1779534049211,1779534049211,1779534049257,1779534049261,70,0,30,40,4,74,22.0158
71,18,1779534049260,1779534049260,1779534049255,1779534049269,1779534049269,1779534049293,1779534049326,33,0,14,19,33,66,21.0732
72,19,1779534049293,1779534049293,1779534049288,1779534049302,1779534049302,1779534049326,1779534049359,33,0,14,19,33,66,19.9533
73,20,1779534049325,1779534049325,1779534049320,1779534049342,1779534049342,1779534049358,1779534049391,33,0,22,11,33,66,19.0068
74,22,1779534049390,1779534049390,1779534049385,1779534049400,1779534049401,1779534049423,1779534049456,33,1,15,17,33,66,18.3064
75,23,1779534049423,1779534049423,1779534049418,1779534049434,1779534049434,1779534049456,1779534049525,33,0,16,17,69,102,19.1277
76,24,1779534049456,1779534049456,1779534049451,1779534049473,1779534049473,1779534049525,1779534049529,69,0,22,47,4,73,19.9940
77,26,1779534049529,1779534049529,1779534049523,1779534049530,1779534049531,1779534049562,1779534049595,33,1,7,25,33,66,19.2702
78,27,1779534049562,1779534049562,1779534049556,1779534049564,1779534049564,1779534049595,1779534049629,33,0,8,25,34,67,18.2671
79,28,1779534049595,1779534049595,1779534049590,1779534049604,1779534049604,1779534049629,1779534049662,34,0,14,20,33,67,17.6886
80,30,1779534049662,1779534049662,1779534049657,1779534049663,1779534049663,1779534049703,1779534049774,41,0,6,35,71,112,19.9602
82,31,1779534049703,1779534049703,1779534049697,1779534049736,1779534049736,1779534049774,1779534049778,71,0,39,32,4,75,23.2188
83,33,1779534049778,1779534049778,1779534049772,1779534049794,1779534049794,1779534049810,1779534049843,32,0,22,10,33,65,22.1842
84,34,1779534049810,1779534049810,1779534049804,1779534049829,1779534049830,1779534049843,1779534049877,33,1,25,7,34,67,20.9517
85,36,1779534049876,1779534049876,1779534049871,1779534049873,1779534049874,1779534049909,1779534049942,33,1,2,30,33,66,20.9122
86,37,1779534049909,1779534049909,1779534049903,1779534049931,1779534049931,1779534049942,1779534049974,33,0,28,5,32,65,20.8361
87,38,1779534049942,1779534049942,1779534049936,1779534049963,1779534049963,1779534049974,1779534050007,32,0,27,5,33,65,19.7219
88,40,1779534050007,1779534050007,1779534050001,1779534050003,1779534050003,1779534050039,1779534050072,32,0,2,30,33,65,20.2532
89,41,1779534050039,1779534050039,1779534050034,1779534050061,1779534050061,1779534050072,1779534050105,33,0,27,6,33,66,20.5750
90,42,1779534050072,1779534050072,1779534050066,1779534050097,1779534050097,1779534050138,1779534050172,66,0,31,35,34,100,21.0146
