utc_iso,unix_ms,seq,cmd_seq_echo,t0_echo,t1_echo,t3_recv,tq_dequeue,t4_physics,t5_send,t6_unity
2026-05-23T11:00:46.2570830Z,1779534046257,2,-1,0,0,0,0,1779534046219,1779534046223,1779534046251
2026-05-23T11:00:46.3255580Z,1779534046325,3,-1,0,0,0,0,1779534046257,1779534046260,1779534046289
2026-05-23T11:00:46.3616430Z,1779534046361,4,-1,0,0,0,0,1779534046299,1779534046300,1779534046325
2026-05-23T11:00:46.4636360Z,1779534046463,5,-1,0,0,0,0,1779534046357,1779534046362,1779534046394
2026-05-23T11:00:46.4668840Z,1779534046466,7,-1,0,0,0,0,1779534046434,1779534046435,1779534046463
2026-05-23T11:00:46.5329860Z,1779534046532,8,-1,0,0,0,0,1779534046492,1779534046492,1779534046500
2026-05-23T11:00:46.6008410Z,1779534046600,9,-1,0,0,0,0,1779534046526,1779534046529,1779534046566
2026-05-23T11:00:46.6410530Z,1779534046641,10,-1,0,0,0,0,1779534046567,1779534046570,1779534046600
2026-05-23T11:00:46.6720400Z,1779534046672,11,-1,0,0,0,0,1779534046627,1779534046631,1779534046641
2026-05-23T11:00:46.7434480Z,1779534046743,13,-1,0,0,0,0,1779534046702,1779534046705,1779534046712
2026-05-23T11:00:46.8088450Z,1779534046808,14,-1,0,0,0,0,1779534046760,1779534046763,1779534046776
2026-05-23T11:00:46.8414290Z,1779534046841,15,-1,0,0,0,0,1779534046794,1779534046799,1779534046808
2026-05-23T11:00:46.9072870Z,1779534046907,16,-1,0,0,0,0,1779534046834,1779534046836,1779534046874
2026-05-23T11:00:46.9397020Z,1779534046939,17,-1,0,0,0,0,1779534046892,1779534046893,1779534046907
2026-05-23T11:00:46.9724610Z,1779534046972,18,-1,0,0,0,0,1779534046927,1779534046929,1779534046939
2026-05-23T11:00:47.0381570Z,1779534047038,19,-1,0,0,0,0,1779534046967,1779534046971,1779534047004
2026-05-23T11:00:47.0708840Z,1779534047070,20,-1,0,0,0,0,1779534047025,1779534047030,1779534047038
2026-05-23T11:00:47.1045590Z,1779534047104,21,-1,0,0,0,0,1779534047059,1779534047061,1779534047070
2026-05-23T11:00:47.1821830Z,1779534047182,22,-1,0,0,0,0,1779534047100,1779534047102,1779534047150
2026-05-23T11:00:47.2213510Z,1779534047221,23,-1,0,0,0,0,1779534047159,1779534047160,1779534047182
2026-05-23T11:00:47.2527890Z,1779534047252,24,-1,0,0,0,0,1779534047192,1779534047196,1779534047223
2026-05-23T11:00:47.2850080Z,1779534047285,25,-1,0,0,0,0,1779534047232,1779534047237,1779534047258
2026-05-23T11:00:47.3535450Z,1779534047353,26,-1,0,0,0,0,1779534047290,1779534047294,1779534047317
2026-05-23T11:00:47.3887810Z,1779534047388,27,-1,0,0,0,0,1779534047323,1779534047324,1779534047353
2026-05-23T11:00:47.4211370Z,1779534047421,28,-1,0,0,0,0,1779534047363,1779534047366,1779534047388
2026-05-23T11:00:47.5307800Z,1779534047530,29,-1,0,0,0,0,1779534047421,1779534047422,1779534047454
2026-05-23T11:00:47.5338630Z,1779534047533,31,-1,0,0,0,0,1779534047495,1779534047499,1779534047530
2026-05-23T11:00:47.6013600Z,1779534047601,32,-1,0,0,0,0,1779534047553,1779534047557,1779534047567
2026-05-23T11:00:47.6414390Z,1779534047641,33,-1,0,0,0,0,1779534047587,1779534047587,1779534047601
2026-05-23T11:00:47.7080900Z,1779534047708,34,-1,0,0,0,0,1779534047630,1779534047634,1779534047641
2026-05-23T11:00:47.7112990Z,1779534047711,35,-1,0,0,0,0,1779534047686,1779534047690,1779534047708
2026-05-23T11:00:47.7839970Z,1779534047783,36,-1,0,0,0,0,1779534047721,1779534047722,1779534047744
2026-05-23T11:00:47.8151760Z,1779534047815,37,-1,0,0,0,0,1779534047761,1779534047763,1779534047784
2026-05-23T11:00:47.8808880Z,1779534047880,38,-1,0,0,0,0,1779534047819,1779534047820,1779534047847
2026-05-23T11:00:47.9133040Z,1779534047913,39,-1,0,0,0,0,1779534047852,1779534047856,1779534047880
2026-05-23T11:00:47.9461690Z,1779534047946,40,-1,0,0,0,0,1779534047893,1779534047893,1779534047913
2026-05-23T11:00:48.0112560Z,1779534048011,41,-1,0,0,0,0,1779534047950,1779534047955,1779534047978
2026-05-23T11:00:48.0504070Z,1779534048050,42,-1,0,0,0,0,1779534047984,1779534047986,1779534048011
2026-05-23T11:00:48.0774290Z,1779534048077,43,-1,0,0,0,0,1779534048024,1779534048028,1779534048050
2026-05-23T11:00:48.1505190Z,1779534048150,44,-1,0,0,0,0,1779534048082,1779534048085,1779534048109
2026-05-23T11:00:48.1821350Z,1779534048182,45,-1,0,0,0,0,1779534048115,1779534048116,1779534048150
2026-05-23T11:00:48.2153910Z,1779534048215,46,-1,0,0,0,0,1779534048155,1779534048157,1779534048182
2026-05-23T11:00:48.2871430Z,1779534048287,47,-1,0,0,0,0,1779534048212,1779534048214,1779534048255
2026-05-23T11:00:48.3196430Z,1779534048319,48,-1,0,0,0,0,1779534048246,1779534048251,1779534048287
2026-05-23T11:00:48.3522950Z,1779534048352,49,-1,0,0,0,0,1779534048286,1779534048287,1779534048320
2026-05-23T11:00:48.4212930Z,1779534048421,50,-1,0,0,0,0,1779534048344,1779534048344,1779534048352
2026-05-23T11:00:48.4245020Z,1779534048424,51,-1,0,0,0,0,1779534048377,1779534048381,1779534048421
2026-05-23T11:00:48.4917260Z,1779534048491,52,-1,0,0,0,0,1779534048418,1779534048418,1779534048458
2026-05-23T11:00:48.5321670Z,1779534048532,53,-1,0,0,0,0,1779534048476,1779534048480,1779534048491
2026-05-23T11:00:48.5641960Z,1779534048564,54,-1,0,0,0,0,1779534048511,1779534048513,1779534048532
2026-05-23T11:00:48.5988620Z,1779534048598,55,-1,0,0,0,0,1779534048551,1779534048554,1779534048564
2026-05-23T11:00:48.7093770Z,1779534048709,56,-1,0,0,0,0,1779534048609,1779534048612,1779534048629
2026-05-23T11:00:48.7158020Z,1779534048715,58,-1,0,0,0,0,1779534048683,1779534048685,1779534048709
2026-05-23T11:00:48.8116920Z,1779534048811,59,3,1779534048746,1779534048746,1779534048740,1779534048741,1779534048741,1779534048742,1779534048779
2026-05-23T11:00:48.8441530Z,1779534048844,60,4,1779534048779,1779534048779,1779534048773,1779534048774,1779534048774,1779534048779,1779534048811
2026-05-23T11:00:48.8772230Z,1779534048877,61,5,1779534048811,1779534048811,1779534048805,1779534048814,1779534048814,1779534048815,1779534048844
2026-05-23T11:00:48.9426960Z,1779534048942,62,7,1779534048877,1779534048877,1779534048871,1779534048873,1779534048873,1779534048877,1779534048909
2026-05-23T11:00:48.9748490Z,1779534048974,63,8,1779534048909,1779534048909,1779534048904,1779534048908,1779534048908,1779534048908,1779534048942
2026-05-23T11:00:49.0079530Z,1779534049007,64,9,1779534048942,1779534048942,1779534048937,1779534048947,1779534048947,1779534048950,1779534048975
2026-05-23T11:00:49.0733840Z,1779534049073,65,11,1779534049008,1779534049008,1779534049003,1779534049006,1779534049006,1779534049008,1779534049040
2026-05-23T11:00:49.1071530Z,1779534049107,66,12,1779534049040,1779534049040,1779534049034,1779534049040,1779534049040,1779534049045,1779534049073
2026-05-23T11:00:49.1823860Z,1779534049182,67,13,1779534049073,1779534049073,1779534049067,1779534049080,1779534049080,1779534049082,1779534049107
2026-05-23T11:00:49.1872640Z,1779534049187,69,14,1779534049107,1779534049107,1779534049101,1779534049138,1779534049171,1779534049175,1779534049182
2026-05-23T11:00:49.2608090Z,1779534049260,70,16,1779534049187,1779534049187,1779534049181,1779534049211,1779534049211,1779534049212,1779534049257
2026-05-23T11:00:49.3257550Z,1779534049325,71,18,1779534049260,1779534049260,1779534049255,1779534049269,1779534049269,1779534049270,1779534049293
2026-05-23T11:00:49.3585980Z,1779534049358,72,19,1779534049293,1779534049293,1779534049288,1779534049302,1779534049302,1779534049306,1779534049326
2026-05-23T11:00:49.3907760Z,1779534049390,73,20,1779534049325,1779534049325,1779534049320,1779534049342,1779534049342,1779534049343,1779534049358
