timestamp_utc,channel_label,channel_state,bytesSent,bytesReceived,messagesSent,messagesReceived,delta_bytesSent,delta_bytesReceived,delta_msgsSent,delta_msgsRecv,throughput_send_kbps,throughput_recv_kbps,transport_bytesSent,transport_bytesRecv,transport_throughput_send_kbps,transport_throughput_recv_kbps,ice_rtt_ms,ice_availableOutBitrate_kbps
2026-05-23T11:00:47.2534900Z,commands,open,0,0,0,0,0,0,0,0,0.00,0.00,0,0,N/A,N/A,1.00,0.00
2026-05-23T11:00:47.2534900Z,robot_state,open,0,4270,0,23,0,4270,0,23,0.00,34.16,0,0,N/A,N/A,1.00,0.00
2026-05-23T11:00:48.3197000Z,commands,open,0,0,0,0,0,0,0,0,0.00,0.00,0,0,N/A,N/A,1.00,0.00
2026-05-23T11:00:48.3197000Z,robot_state,open,0,8548,0,46,0,4278,0,23,0.00,34.22,0,0,N/A,N/A,1.00,0.00
2026-05-23T11:00:49.3910120Z,commands,open,1371,0,20,0,1371,0,20,0,10.97,0.00,0,0,N/A,N/A,0.00,0.00
2026-05-23T11:00:49.3910120Z,robot_state,open,0,14058,0,71,0,5510,0,25,0.00,44.08,0,0,N/A,N/A,0.00,0.00
2026-05-23T11:00:50.4809130Z,commands,open,3579,0,52,0,2208,0,32,0,17.66,0.00,0,0,N/A,N/A,0.00,0.00
2026-05-23T11:00:50.4809130Z,robot_state,open,0,20182,0,96,0,6124,0,25,0.00,48.99,0,0,N/A,N/A,0.00,0.00
2026-05-23T11:00:51.5716690Z,commands,open,5787,0,84,0,2208,0,32,0,17.66,0.00,0,0,N/A,N/A,1.00,0.00
2026-05-23T11:00:51.5716690Z,robot_state,open,0,25846,0,119,0,5664,0,23,0.00,45.31,0,0,N/A,N/A,1.00,0.00
2026-05-23T11:00:52.6473440Z,commands,open,8012,0,116,0,2225,0,32,0,17.80,0.00,0,0,N/A,N/A,1.00,0.00
2026-05-23T11:00:52.6473440Z,robot_state,open,0,31793,0,143,0,5947,0,24,0.00,47.58,0,0,N/A,N/A,1.00,0.00
2026-05-23T11:00:53.7352330Z,commands,open,10252,0,148,0,2240,0,32,0,17.92,0.00,0,0,N/A,N/A,0.00,0.00
2026-05-23T11:00:53.7352330Z,robot_state,open,0,37488,0,166,0,5695,0,23,0.00,45.56,0,0,N/A,N/A,0.00,0.00
2026-05-23T11:00:54.8210400Z,commands,open,12422,0,179,0,2170,0,31,0,17.36,0.00,0,0,N/A,N/A,0.00,0.00
