seq,cmd_seq_echo,T0_ms,T1_ms,T3_ms,TQ_ms,T4_ms,T6_ms,T7_ms,RTT_ms,Processing_ms,QueueDelay_ms,Network_ms,RenderDelay_ms,MTP_ms,Jitter_ms
66,2,1779532554518,1779532554519,1779532554520,1779532554529,1779532554530,1779532554548,1779532554583,29,1,9,19,35,64,26.0247
67,3,1779532554548,1779532554548,1779532554548,1779532554570,1779532554570,1779532554583,1779532554624,35,0,22,13,41,76,24.4112
68,5,1779532554623,1779532554624,1779532554623,1779532554628,1779532554629,1779532554653,1779532554690,29,1,5,23,37,66,23.3663
69,6,1779532554653,1779532554653,1779532554652,1779532554662,1779532554662,1779532554690,1779532554727,37,0,10,27,37,74,22.3143
70,7,1779532554690,1779532554690,1779532554690,1779532554702,1779532554703,1779532554727,1779532554765,37,1,12,24,38,75,21.2679
71,8,1779532554727,1779532554727,1779532554726,1779532554760,1779532554760,1779532554765,1779532554802,38,0,34,4,37,75,21.2157
72,9,1779532554763,1779532554764,1779532554764,1779532554794,1779532554794,1779532554802,1779532554837,38,0,30,8,35,73,19.8991
73,10,1779532554800,1779532554801,1779532554801,1779532554834,1779532554834,1779532554837,1779532554871,36,0,33,3,34,70,18.7974
74,12,1779532554871,1779532554871,1779532554870,1779532554893,1779532554893,1779532554913,1779532554981,42,0,23,19,68,110,20.8480
76,13,1779532554911,1779532554911,1779532554911,1779532554926,1779532554966,1779532554981,1779532554985,70,40,15,15,4,74,23.9353
77,16,1779532555017,1779532555017,1779532555016,1779532555024,1779532555024,1779532555050,1779532555119,33,0,8,25,69,102,27.2346
79,17,1779532555049,1779532555049,1779532555049,1779532555058,1779532555100,1779532555119,1779532555123,70,42,9,19,4,74,30.0803
80,20,1779532555156,1779532555156,1779532555156,1779532555160,1779532555160,1779532555189,1779532555224,33,0,4,29,35,68,30.8592
81,21,1779532555189,1779532555189,1779532555189,1779532555193,1779532555193,1779532555224,1779532555256,35,0,4,31,32,67,29.2526
82,22,1779532555223,1779532555223,1779532555223,1779532555233,1779532555234,1779532555255,1779532555288,32,1,10,21,33,65,27.9465
83,24,1779532555288,1779532555288,1779532555288,1779532555292,1779532555292,1779532555321,1779532555354,33,0,4,29,33,66,26.6912
84,25,1779532555320,1779532555320,1779532555320,1779532555325,1779532555326,1779532555354,1779532555387,34,1,5,28,33,67,25.0864
85,26,1779532555354,1779532555354,1779532555356,1779532555367,1779532555367,1779532555387,1779532555428,33,0,11,22,41,74,23.6978
86,27,1779532555387,1779532555387,1779532555387,1779532555426,1779532555426,1779532555460,1779532555501,73,0,39,34,41,114,23.1825
87,29,1779532555460,1779532555460,1779532555459,1779532555460,1779532555460,1779532555501,1779532555532,41,0,1,40,31,72,22.0244
90,32,1779532555564,1779532555564,1779532555564,1779532555594,1779532555594,1779532555599,1779532555631,35,0,30,5,32,67,21.3050
91,34,1779532555630,1779532555630,1779532555631,1779532555635,1779532555636,1779532555664,1779532555696,34,1,4,29,32,66,21.3532
92,36,1779532555695,1779532555695,1779532555695,1779532555696,1779532555696,1779532555728,1779532555761,33,0,1,32,33,66,20.4847
93,37,1779532555728,1779532555728,1779532555728,1779532555731,1779532555731,1779532555761,1779532555794,33,0,3,30,33,66,19.4393
94,38,1779532555761,1779532555761,1779532555761,1779532555771,1779532555771,1779532555794,1779532555827,33,0,10,23,33,66,18.7668
95,40,1779532555826,1779532555826,1779532555826,1779532555832,1779532555832,1779532555860,1779532555893,34,0,6,28,33,67,18.0555
96,41,1779532555860,1779532555860,1779532555860,1779532555868,1779532555868,1779532555893,1779532555936,33,0,8,25,43,76,17.1619
97,42,1779532555893,1779532555893,1779532555893,1779532555909,1779532555909,1779532555936,1779532555966,43,0,16,27,30,73,16.8294
98,44,1779532555966,1779532555966,1779532555965,1779532555967,1779532555968,1779532555999,1779532556031,33,1,2,30,32,65,16.4942
99,45,1779532555998,1779532555998,1779532555998,1779532556000,1779532556000,1779532556031,1779532556065,33,0,2,31,34,67,15.6306
100,46,1779532556031,1779532556031,1779532556031,1779532556040,1779532556040,1779532556065,1779532556097,34,0,9,25,32,66,15.0066
102,48,1779532556097,1779532556097,1779532556097,1779532556099,1779532556132,1779532556166,1779532556170,69,33,2,34,4,73,15.4063
103,50,1779532556169,1779532556170,1779532556169,1779532556171,1779532556171,1779532556203,1779532556237,33,0,2,31,34,67,16.2724
104,51,1779532556203,1779532556203,1779532556203,1779532556229,1779532556229,1779532556237,1779532556270,34,0,26,8,33,67,16.8134
105,52,1779532556237,1779532556237,1779532556236,1779532556263,1779532556263,1779532556270,1779532556303,33,0,27,6,33,66,15.8122
106,54,1779532556303,1779532556303,1779532556303,1779532556304,1779532556304,1779532556335,1779532556368,32,0,1,31,33,65,16.2198
107,55,1779532556335,1779532556335,1779532556335,1779532556362,1779532556362,1779532556368,1779532556440,33,0,27,6,72,105,16.2023
109,56,1779532556368,1779532556368,1779532556367,1779532556395,1779532556436,1779532556440,1779532556444,72,41,28,3,4,76,19.5576
111,59,1779532556476,1779532556476,1779532556476,1779532556494,1779532556527,1779532556548,1779532556552,72,33,18,21,4,76,19.4714
112,61,1779532556552,1779532556552,1779532556552,1779532556571,1779532556571,1779532556584,1779532556617,32,0,19,13,33,65,19.4829
113,63,1779532556617,1779532556617,1779532556616,1779532556631,1779532556631,1779532556650,1779532556683,33,0,15,18,33,66,18.4617
114,64,1779532556649,1779532556650,1779532556649,1779532556668,1779532556668,1779532556683,1779532556715,33,0,19,14,32,65,17.6258
115,65,1779532556683,1779532556683,1779532556683,1779532556709,1779532556709,1779532556748,1779532556781,65,0,26,39,33,98,18.0062
116,67,1779532556748,1779532556748,1779532556748,1779532556768,1779532556768,1779532556781,1779532556814,33,0,20,13,33,66,18.3275
117,68,1779532556781,1779532556781,1779532556780,1779532556801,1779532556801,1779532556814,1779532556846,33,0,21,12,32,65,17.3915
118,69,1779532556813,1779532556813,1779532556813,1779532556842,1779532556842,1779532556846,1779532556879,33,0,29,4,33,66,16.5693
119,71,1779532556879,1779532556879,1779532556879,1779532556901,1779532556901,1779532556912,1779532556953,33,0,22,11,41,74,16.3300
120,72,1779532556912,1779532556912,1779532556912,1779532556935,1779532556935,1779532556953,1779532557023,41,0,23,18,70,111,17.6774
121,73,1779532556953,1779532556953,1779532556952,1779532556975,1779532556975,1779532557023,1779532557028,70,0,23,47,5,75,18.8541
122,75,1779532557028,1779532557028,1779532557028,1779532557033,1779532557033,1779532557061,1779532557093,33,0,5,28,32,65,18.1614
123,76,1779532557060,1779532557060,1779532557060,1779532557067,1779532557067,1779532557093,1779532557125,33,0,7,26,32,65,17.2662
124,77,1779532557093,1779532557093,1779532557093,1779532557107,1779532557107,1779532557125,1779532557159,32,0,14,18,34,66,16.4476
126,79,1779532557158,1779532557158,1779532557158,1779532557165,1779532557199,1779532557227,1779532557233,69,34,7,28,6,75,16.6592
127,81,1779532557233,1779532557233,1779532557232,1779532557239,1779532557239,1779532557267,1779532557300,34,0,7,27,33,67,17.4045
128,82,1779532557266,1779532557266,1779532557266,1779532557297,1779532557298,1779532557300,1779532557334,34,1,31,2,34,68,17.7602
129,83,1779532557300,1779532557300,1779532557299,1779532557331,1779532557331,1779532557366,1779532557399,66,0,32,34,33,99,18.4166
130,85,1779532557365,1779532557366,1779532557365,1779532557371,1779532557371,1779532557399,1779532557432,33,0,6,27,33,66,17.4790
132,87,1779532557432,1779532557432,1779532557432,1779532557463,1779532557463,1779532557474,1779532557505,42,0,31,11,31,73,17.6661
133,88,1779532557474,1779532557474,1779532557473,1779532557506,1779532557506,1779532557546,1779532557577,72,0,33,39,31,103,18.3189
134,90,1779532557546,1779532557546,1779532557546,1779532557564,1779532557564,1779532557577,1779532557609,31,0,18,13,32,63,18.7136
