timestamp_utc,seq,cmd_seq_echo,has_cmd,server_ts_ms,T0_input_ns,T1_send_ns,T3_isaac_recv_ns,T4_physics_ns,T5_isaac_send_ns,T6_unity_recv_ns,T7_rendered_ns,RTT_ms,Processing_ms,Network_est_ms,RenderDelay_ms,MTP_ms,Jitter_ms,NOTE_clocks
2026-05-23T10:35:51.7391820Z,1,-1,0,1779532551675,0,0,0,1779532551673000000,1779532551675000000,1779532551702000000,1779532551738000000,N/A,N/A,N/A,36.0000,N/A,0.00,T3-T5 on Isaac clock; Network_est approximate
2026-05-23T10:35:51.7742070Z,2,-1,0,1779532551735,0,0,0,1779532551731000000,1779532551735000000,1779532551738000000,1779532551774000000,N/A,N/A,N/A,36.0000,N/A,1.53,T3-T5 on Isaac clock; Network_est approximate
2026-05-23T10:35:51.8507250Z,3,-1,0,1779532551767,0,0,0,1779532551764000000,1779532551767000000,1779532551774000000,1779532551850000000,N/A,N/A,N/A,76.0000,N/A,4.22,T3-T5 on Isaac clock; Network_est approximate
2026-05-23T10:35:51.8556840Z,4,-1,0,1779532551808,0,0,0,1779532551804000000,1779532551808000000,1779532551850000000,1779532551855000000,N/A,N/A,N/A,5.0000,N/A,6.20,T3-T5 on Isaac clock; Network_est approximate
2026-05-23T10:35:51.9283830Z,5,-1,0,1779532551865,0,0,0,1779532551861000000,1779532551865000000,1779532551894000000,1779532551928000000,N/A,N/A,N/A,34.0000,N/A,6.81,T3-T5 on Isaac clock; Network_est approximate
2026-05-23T10:35:51.9661510Z,6,-1,0,1779532551900,0,0,0,1779532551896000000,1779532551900000000,1779532551928000000,1779532551966000000,N/A,N/A,N/A,38.0000,N/A,6.55,T3-T5 on Isaac clock; Network_est approximate
2026-05-23T10:35:51.9970250Z,7,-1,0,1779532551942,0,0,0,1779532551937000000,1779532551942000000,1779532551966000000,1779532551997000000,N/A,N/A,N/A,31.0000,N/A,6.84,T3-T5 on Isaac clock; Network_est approximate
2026-05-23T10:35:52.0701890Z,9,-1,0,1779532552031,0,0,0,1779532552031000000,1779532552031000000,1779532552066000000,1779532552070000000,N/A,N/A,N/A,4.0000,N/A,7.40,T3-T5 on Isaac clock; Network_est approximate
2026-05-23T10:35:52.1373740Z,10,-1,0,1779532552073,0,0,0,1779532552070000000,1779532552073000000,1779532552104000000,1779532552137000000,N/A,N/A,N/A,33.0000,N/A,8.51,T3-T5 on Isaac clock; Network_est approximate
2026-05-23T10:35:52.1703320Z,11,-1,0,1779532552130,0,0,0,1779532552129000000,1779532552130000000,1779532552137000000,1779532552170000000,N/A,N/A,N/A,33.0000,N/A,9.48,T3-T5 on Isaac clock; Network_est approximate
2026-05-23T10:35:52.2032970Z,12,-1,0,1779532552166,0,0,0,1779532552162000000,1779532552166000000,1779532552170000000,1779532552203000000,N/A,N/A,N/A,33.0000,N/A,9.08,T3-T5 on Isaac clock; Network_est approximate
2026-05-23T10:35:52.2683030Z,13,-1,0,1779532552207,0,0,0,1779532552203000000,1779532552207000000,1779532552235000000,1779532552268000000,N/A,N/A,N/A,33.0000,N/A,10.01,T3-T5 on Isaac clock; Network_est approximate
2026-05-23T10:35:52.3013520Z,14,-1,0,1779532552263,0,0,0,1779532552261000000,1779532552263000000,1779532552268000000,1779532552301000000,N/A,N/A,N/A,33.0000,N/A,10.82,T3-T5 on Isaac clock; Network_est approximate
2026-05-23T10:35:52.3349840Z,15,-1,0,1779532552296,0,0,0,1779532552294000000,1779532552296000000,1779532552301000000,1779532552334000000,N/A,N/A,N/A,33.0000,N/A,10.19,T3-T5 on Isaac clock; Network_est approximate
2026-05-23T10:35:52.4476930Z,16,-1,0,1779532552337,0,0,0,1779532552334000000,1779532552337000000,1779532552376000000,1779532552447000000,N/A,N/A,N/A,71.0000,N/A,14.03,T3-T5 on Isaac clock; Network_est approximate
2026-05-23T10:35:52.4519570Z,18,-1,0,1779532552426,0,0,0,1779532552425000000,1779532552426000000,1779532552447000000,1779532552451000000,N/A,N/A,N/A,4.0000,N/A,18.44,T3-T5 on Isaac clock; Network_est approximate
2026-05-23T10:35:52.5257880Z,19,-1,0,1779532552467,0,0,0,1779532552465000000,1779532552467000000,1779532552484000000,1779532552525000000,N/A,N/A,N/A,41.0000,N/A,19.34,T3-T5 on Isaac clock; Network_est approximate
2026-05-23T10:35:52.5561720Z,20,-1,0,1779532552523,0,0,0,1779532552522000000,1779532552523000000,1779532552525000000,1779532552556000000,N/A,N/A,N/A,31.0000,N/A,19.73,T3-T5 on Isaac clock; Network_est approximate
2026-05-23T10:35:52.6214760Z,21,-1,0,1779532552560,0,0,0,1779532552557000000,1779532552560000000,1779532552588000000,1779532552621000000,N/A,N/A,N/A,33.0000,N/A,20.26,T3-T5 on Isaac clock; Network_est approximate
2026-05-23T10:35:52.6542620Z,22,-1,0,1779532552601,0,0,0,1779532552598000000,1779532552601000000,1779532552621000000,1779532552654000000,N/A,N/A,N/A,33.0000,N/A,19.51,T3-T5 on Isaac clock; Network_est approximate
2026-05-23T10:35:52.7270910Z,23,-1,0,1779532552659,0,0,0,1779532552656000000,1779532552659000000,1779532552688000000,1779532552727000000,N/A,N/A,N/A,39.0000,N/A,18.79,T3-T5 on Isaac clock; Network_est approximate
2026-05-23T10:35:52.7521990Z,24,-1,0,1779532552691,0,0,0,1779532552689000000,1779532552691000000,1779532552727000000,1779532552752000000,N/A,N/A,N/A,25.0000,N/A,17.63,T3-T5 on Isaac clock; Network_est approximate
2026-05-23T10:35:52.7859920Z,25,-1,0,1779532552732,0,0,0,1779532552728000000,1779532552732000000,1779532552752000000,1779532552785000000,N/A,N/A,N/A,33.0000,N/A,16.98,T3-T5 on Isaac clock; Network_est approximate
