Time_sec,ExpectedPos,ActualPos
0.0000,3.0416,3.0416
0.0390,2.9916,2.9916
0.1030,2.8916,2.8916
0.1360,2.8416,2.8416
0.1680,2.7916,2.7916
0.2340,2.6916,2.6916
0.2670,2.6416,2.6416
0.2990,2.5916,2.5916
0.3640,2.4916,2.4916
0.3970,2.4416,2.4416
0.4300,2.3916,2.3916
0.5020,2.2916,2.2916
0.5430,2.2416,2.2416
0.5740,2.1916,2.1916
0.6400,2.0916,2.0916
0.6720,2.0416,2.0416
0.7050,1.9916,1.9916
0.7700,1.8916,1.8916
0.8030,1.8416,1.8416
0.8370,1.7916,1.7916
0.9040,1.7416,1.7416
0.9820,1.6416,1.6416
1.0600,1.4916,1.4916
1.1250,1.3916,1.3916
1.1890,1.3416,1.3416
1.2220,1.2916,1.2916
1.2540,1.1916,1.1916
1.3200,1.1416,1.1416
1.3520,1.0916,1.0916
1.3850,0.9916,0.9916
1.4910,0.8916,0.8916
1.4950,0.8416,0.8416
1.5730,0.7416,0.7416
1.6020,0.6916,0.6916
1.6340,0.6416,0.6416
1.6990,0.5416,0.5416
1.7320,0.4916,0.4916
1.7640,0.4416,0.4416
1.8310,0.3416,0.3416
1.8620,0.2916,0.2916
1.8950,0.2416,0.2416
2.0060,0.1416,0.1416
2.0470,0.0416,0.0416
2.0870,-0.0084,-0.0084
2.1520,-0.1084,-0.1084
2.1850,-0.1584,-0.1584
2.2510,-0.2584,-0.2584
2.2820,-0.3084,-0.3084
2.3160,-0.3584,-0.3584
2.3800,-0.4584,-0.4584
2.4140,-0.5084,-0.5084
2.4470,-0.5584,-0.5584
2.5210,-0.6584,-0.6584
2.5940,-0.7584,-0.7584
2.6250,-0.8084,-0.8084
2.6570,-0.8584,-0.8584
2.7230,-0.9584,-0.9584
2.7560,-1.0084,-1.0084
2.8210,-1.1084,-1.1084
2.8540,-1.1584,-1.1584
2.9190,-1.2584,-1.2584
2.9520,-1.3084,-1.3084
2.9850,-1.3584,-1.3584
3.1040,-1.4584,-1.4584
3.1770,-1.6084,-1.6084
3.2100,-1.6584,-1.6584
3.2440,-1.7084,-1.7084
3.3080,-1.8084,-1.8084
3.3410,-1.8584,-1.8584
3.3730,-1.9084,-1.9084
3.4380,-2.0084,-2.0084
3.4710,-2.0584,-2.0584
3.5050,-2.1084,-2.1084
3.5770,-2.2084,-2.2084
3.6180,-2.2584,-2.2584
3.6500,-2.3084,-2.3084
3.7160,-2.4084,-2.4084
3.7470,-2.4584,-2.4584
3.7800,-2.5084,-2.5084
3.8460,-2.6084,-2.6084
3.8790,-2.6584,-2.6584
3.9120,-2.7084,-2.7084
3.9760,-2.8084,-2.8084
4.0090,-2.8584,-2.8584
4.0510,-2.9084,-2.9084
4.1240,-3.0084,-3.0084
4.1920,-3.0584,-3.0584
4.2630,-3.2084,-3.2084
4.2960,-3.2584,-3.2584
4.3280,-3.3084,-3.3084
4.3940,-3.4084,-3.4084
4.4270,-3.4584,-3.4584
4.4590,-3.5084,-3.5084
4.5260,-3.6084,-3.6084
4.5670,-3.6584,-3.6584
4.5980,-3.7084,-3.7084
4.6390,-3.7584,-3.7584
4.6710,-3.8084,-3.8084
4.7370,-3.9084,-3.9084
4.8030,-4.0084,-4.0084
4.8670,-4.1084,-4.1084
4.9330,-4.1584,-4.1584
4.9660,-4.2084,-4.2084
4.9990,-4.3084,-4.3084
5.0730,-4.4084,-4.4084
5.1380,-4.5084,-4.5084
5.1780,-4.5584,-4.5584
5.2090,-4.6084,-4.6084
5.2790,-4.6584,-4.6584
5.3150,-4.7584,-4.7584
5.3490,-4.8084,-4.8084
5.3820,-4.8584,-4.8584
5.4470,-4.9584,-4.9584
5.4800,-5.0084,-5.0084
5.5130,-5.0584,-5.0584
5.5870,-5.1584,-5.1584
5.6580,-5.2084,-5.2084
5.7260,-5.3584,-5.3584
5.7590,-5.4084,-5.4084
5.7910,-5.4584,-5.4584
5.8570,-5.5584,-5.5584
5.8890,-5.6084,-5.6084
5.9220,-5.6584,-5.6584
5.9880,-5.7584,-5.7584
6.0200,-5.8084,-5.8084
6.0540,-5.8584,-5.8584
6.0950,-5.9084,-5.9084
6.1670,-5.9584,-5.9584
6.1970,-6.0084,-6.0084
6.2300,-6.1084,-6.1084
6.2630,-6.1584,-6.1584
6.3650,-6.2584,-6.2584
6.4020,-6.3584,-6.3584
6.4350,-6.4084,-6.4084
6.5010,-6.5084,-6.5084
6.5350,-6.5584,-6.5584
6.5680,-6.6084,-6.6084
6.6410,-6.7084,-6.7084
6.6810,-6.7584,-6.7584
6.7130,-6.8084,-6.8084
6.7780,-6.9084,-6.9084
6.8100,-6.9584,-6.9584
6.8430,-7.0084,-7.0084
6.9090,-7.1084,-7.1084
6.9410,-7.1584,-7.1584
6.9740,-7.2084,-7.2084
7.0390,-7.3084,-7.3084
7.0720,-7.3584,-7.3584
7.1430,-7.4084,-7.4084
7.1810,-7.5084,-7.5084
7.2200,-7.5584,-7.5584
7.2520,-7.6084,-7.6084
7.3170,-7.7084,-7.7084
7.3490,-7.7584,-7.7584
7.4180,-7.8084,-7.8084
7.4550,-7.9084,-7.9084
7.4880,-7.9584,-7.9584
7.5210,-8.0084,-8.0084
7.5870,-8.1084,-8.1084
7.6280,-8.1584,-8.1584
7.6590,-8.2084,-8.2084
7.6990,-8.2584,-8.2584
7.7300,-8.3084,-8.3084
7.7960,-8.4084,-8.4084
7.8610,-8.5084,-8.5084
7.9260,-8.6084,-8.6084
7.9910,-8.6584,-8.6584
8.0240,-8.7084,-8.7084
8.0570,-8.8084,-8.8084
8.1290,-8.8584,-8.8584
8.2100,-8.9584,-8.9584
8.2390,-9.0584,-9.0584
8.2720,-9.1084,-9.1084
8.3370,-9.1584,-9.1584
8.3690,-9.2584,-9.2584
8.4020,-9.3084,-9.3084
8.5030,-9.4084,-9.4084
8.5400,-9.5084,-9.5084
8.5730,-9.5584,-9.5584
8.6460,-9.6084,-9.6084
8.6830,-9.7084,-9.7084
8.7240,-9.7584,-9.7584
8.7880,-9.8584,-9.8584
8.8200,-9.9084,-9.9084
8.8530,-9.9584,-9.9584
8.9180,-10.0584,-10.0584
8.9510,-10.1084,-10.1084
8.9840,-10.1584,-10.1584
9.0490,-10.2584,-10.2584
9.0820,-10.3084,-10.3084
9.1540,-10.3584,-10.3584
9.1910,-10.4584,-10.4584
9.2260,-10.5084,-10.5084
9.2620,-10.5584,-10.5584
9.3010,-10.6084,-10.6084
9.3380,-10.6584,-10.6584
9.3740,-10.7084,-10.7084
9.4460,-10.8084,-10.8084
9.4780,-10.8584,-10.8584
9.5110,-10.9084,-10.9084
9.5810,-10.9584,-10.9584
9.6180,-11.0584,-11.0584
9.6520,-11.1084,-11.1084
