seq,cmd_seq_echo,T0_ms,T1_ms,T3_ns,TQ_ms,T4_ns,T6_ms,T7_ms,RTT_ms,Processing_ns,QueueDelay_ms,Network_ms,RenderDelay_ms,MTP_ms,Jitter_ms
243,2,1779562139963,1779562139969,1779562139984,1779562139985,1779562139985,1779562139971,1779562140001,2,0,1,1,30,32,10.9942
244,3,1779562139963,1779562140000,1779562140016,1779562140019,1779562140019,1779562140004,1779562140035,4,0,3,1,31,35,10.3153
245,4,1779562139963,1779562140034,1779562140050,1779562140056,1779562140056,1779562140042,1779562140075,8,0,6,2,33,41,9.8750
248,7,1779562139963,1779562140148,1779562140163,1779562140177,1779562140177,1779562140163,1779562140179,15,0,14,1,16,31,9.6606
249,8,1779562139963,1779562140179,1779562140194,1779562140226,1779562140227,1779562140212,1779562140244,33,1,32,0,32,65,9.9950
250,10,1779562139963,1779562140244,1779562140259,1779562140259,1779562140259,1779562140245,1779562140276,1,0,0,1,31,32,9.4845
251,11,1779562139963,1779562140275,1779562140291,1779562140297,1779562140297,1779562140283,1779562140308,8,0,6,2,25,33,9.1766
252,12,1779562139963,1779562140308,1779562140323,1779562140346,1779562140346,1779562140332,1779562140340,24,0,23,1,8,32,9.6664
253,13,1779562139963,1779562140340,1779562140355,1779562140380,1779562140380,1779562140365,1779562140372,25,0,25,0,7,32,9.1774
254,14,1779562139963,1779562140372,1779562140387,1779562140418,1779562140418,1779562140404,1779562140405,32,0,31,1,1,33,8.9582
255,16,1779562139963,1779562140436,1779562140452,1779562140468,1779562140468,1779562140454,1779562140469,18,0,16,2,15,33,9.2826
256,17,1779562139963,1779562140468,1779562140484,1779562140501,1779562140501,1779562140487,1779562140501,19,0,17,2,14,33,8.7300
257,18,1779562139963,1779562140501,1779562140516,1779562140539,1779562140539,1779562140525,1779562140549,24,0,23,1,24,48,8.8172
258,19,1779562139963,1779562140549,1779562140564,1779562140590,1779562140590,1779562140576,1779562140579,27,0,26,1,3,30,9.5800
259,20,1779562139963,1779562140579,1779562140594,1779562140623,1779562140623,1779562140608,1779562140622,29,0,29,0,14,43,9.5553
260,21,1779562139963,1779562140621,1779562140636,1779562140661,1779562140661,1779562140646,1779562140691,25,0,25,0,45,70,10.9153
263,25,1779562139963,1779562140765,1779562140780,1779562140781,1779562140781,1779562140767,1779562140796,2,0,1,1,29,31,13.6703
264,26,1779562139963,1779562140796,1779562140811,1779562140831,1779562140831,1779562140817,1779562140828,21,0,20,1,11,32,13.8743
265,27,1779562139963,1779562140828,1779562140844,1779562140863,1779562140863,1779562140849,1779562140861,21,0,19,2,12,33,13.0127
266,28,1779562139963,1779562140861,1779562140876,1779562140901,1779562140901,1779562140886,1779562140893,25,0,25,0,7,32,12.5493
267,30,1779562139963,1779562140925,1779562140940,1779562140950,1779562140950,1779562140936,1779562140957,11,0,10,1,21,32,12.7313
268,31,1779562139963,1779562140957,1779562140972,1779562140984,1779562140984,1779562140970,1779562140989,13,0,12,1,19,32,12.0508
269,32,1779562139963,1779562140989,1779562141004,1779562141022,1779562141022,1779562141008,1779562141022,19,0,18,1,14,33,11.6288
272,35,1779562139963,1779562141095,1779562141110,1779562141143,1779562141143,1779562141128,1779562141165,33,0,33,0,37,70,12.7185
