utc_iso,unix_ms,seq,cmd_seq_echo,t0_echo,t1_echo,t3_recv,tq_dequeue,t4_physics,t5_send,t6_unity
2026-05-23T18:56:55.6837910Z,1779562615683,1,0,0,0,0,0,1779562615645,1779562615645,1779562615671
2026-05-23T18:56:55.6838990Z,1779562615683,2,0,0,0,0,0,1779562615686,1779562615686,1779562615671
2026-05-23T18:56:55.8356090Z,1779562615835,3,0,0,0,0,0,1779562615737,1779562615737,1779562615792
2026-05-23T18:56:55.8356870Z,1779562615835,4,0,0,0,0,0,1779562615769,1779562615769,1779562615792
2026-05-23T18:56:55.8357500Z,1779562615835,5,0,0,0,0,0,1779562615807,1779562615807,1779562615792
2026-05-23T18:56:55.8734730Z,1779562615873,6,0,0,0,0,0,1779562615858,1779562615858,1779562615843
2026-05-23T18:56:55.9140200Z,1779562615914,7,0,0,0,0,0,1779562615891,1779562615891,1779562615876
2026-05-23T18:56:55.9425050Z,1779562615942,8,0,0,0,0,0,1779562615928,1779562615928,1779562615914
2026-05-23T18:56:55.9767450Z,1779562615976,9,0,0,0,0,0,1779562615984,1779562615984,1779562615969
2026-05-23T18:56:56.0114960Z,1779562616011,10,0,0,0,0,0,1779562616016,1779562616016,1779562616001
2026-05-23T18:56:56.0451890Z,1779562616045,11,0,0,0,0,0,1779562616055,1779562616055,1779562616040
2026-05-23T18:56:56.1142460Z,1779562616114,12,0,0,0,0,0,1779562616105,1779562616105,1779562616090
2026-05-23T18:56:56.1902950Z,1779562616190,13,0,0,0,0,0,1779562616139,1779562616139,1779562616161
2026-05-23T18:56:56.1903620Z,1779562616190,14,0,0,0,0,0,1779562616176,1779562616176,1779562616161
2026-05-23T18:56:56.2685780Z,1779562616268,15,0,0,0,0,0,1779562616227,1779562616227,1779562616245
2026-05-23T18:56:56.2686590Z,1779562616268,16,0,0,0,0,0,1779562616260,1779562616260,1779562616245
2026-05-23T18:56:56.3068160Z,1779562616306,17,0,0,0,0,0,1779562616297,1779562616297,1779562616282
2026-05-23T18:56:56.3419660Z,1779562616341,18,0,0,0,0,0,1779562616347,1779562616347,1779562616332
2026-05-23T18:56:56.3754300Z,1779562616375,19,0,0,0,0,0,1779562616380,1779562616380,1779562616365
2026-05-23T18:56:56.4097460Z,1779562616409,20,0,0,0,0,0,1779562616418,1779562616418,1779562616403
2026-05-23T18:56:56.4832480Z,1779562616483,21,0,0,0,0,0,1779562616468,1779562616468,1779562616453
2026-05-23T18:56:56.5123460Z,1779562616512,22,0,0,0,0,0,1779562616500,1779562616500,1779562616485
2026-05-23T18:56:56.5499210Z,1779562616549,23,0,0,0,0,0,1779562616538,1779562616538,1779562616523
2026-05-23T18:56:56.5864140Z,1779562616586,24,0,0,0,0,0,1779562616587,1779562616588,1779562616573
2026-05-23T18:56:56.6248530Z,1779562616624,25,0,0,0,0,0,1779562616620,1779562616620,1779562616605
2026-05-23T18:56:56.6704160Z,1779562616670,26,0,0,0,0,0,1779562616658,1779562616659,1779562616644
2026-05-23T18:56:56.7119380Z,1779562616711,27,0,0,0,0,0,1779562616709,1779562616709,1779562616694
2026-05-23T18:56:56.7476900Z,1779562616747,28,0,0,0,0,0,1779562616741,1779562616742,1779562616726
