seq,cmd_seq_echo,T0_ms,T1_ms,T3_ns,TQ_ms,T4_ns,T6_ms,T7_ms,RTT_ms,Processing_ns,QueueDelay_ms,Network_ms,RenderDelay_ms,MTP_ms,Jitter_ms
179,2,1779563055032,1779563055032,1779563055049,1779563055069,1779563055069,1779563055053,1779563055066,21,0,20,1,13,34,18.0257
180,3,1779563055066,1779563055066,1779563055082,1779563055106,1779563055106,1779563055090,1779563055101,24,0,24,0,11,35,17.0230
181,4,1779563055101,1779563055101,1779563055118,1779563055159,1779563055159,1779563055144,1779563055175,43,0,41,2,31,74,17.2841
182,6,1779563055175,1779563055175,1779563055192,1779563055192,1779563055193,1779563055177,1779563055210,2,1,0,1,33,35,16.2540
183,7,1779563055210,1779563055210,1779563055227,1779563055231,1779563055231,1779563055215,1779563055244,5,0,4,1,29,34,15.4825
184,8,1779563055244,1779563055244,1779563055261,1779563055285,1779563055285,1779563055269,1779563055279,25,0,24,1,10,35,15.7361
185,9,1779563055279,1779563055279,1779563055295,1779563055318,1779563055318,1779563055303,1779563055313,24,0,23,1,10,34,14.7570
186,10,1779563055313,1779563055313,1779563055329,1779563055357,1779563055357,1779563055341,1779563055347,28,0,28,0,6,34,14.0461
187,12,1779563055382,1779563055382,1779563055399,1779563055411,1779563055411,1779563055395,1779563055416,13,0,12,1,21,34,14.0778
188,13,1779563055416,1779563055416,1779563055433,1779563055445,1779563055445,1779563055430,1779563055450,14,0,12,2,20,34,13.2316
189,14,1779563055450,1779563055450,1779563055467,1779563055484,1779563055484,1779563055468,1779563055485,18,0,17,1,17,35,12.7051
192,17,1779563055563,1779563055563,1779563055580,1779563055609,1779563055609,1779563055594,1779563055636,31,0,29,2,42,73,15.9238
195,20,1779563055715,1779563055715,1779563055731,1779563055735,1779563055735,1779563055720,1779563055752,5,0,4,1,32,37,16.4747
196,22,1779563055752,1779563055752,1779563055769,1779563055790,1779563055790,1779563055775,1779563055787,23,0,21,2,12,35,16.7237
197,23,1779563055787,1779563055787,1779563055803,1779563055823,1779563055823,1779563055808,1779563055822,21,0,20,1,14,35,15.7362
198,24,1779563055822,1779563055822,1779563055839,1779563055862,1779563055862,1779563055847,1779563055858,25,0,23,2,11,36,14.8641
199,26,1779563055898,1779563055898,1779563055915,1779563055917,1779563055917,1779563055901,1779563055932,3,0,2,1,31,34,15.1395
200,27,1779563055932,1779563055932,1779563055950,1779563055950,1779563055950,1779563055934,1779563055967,2,0,0,2,33,35,14.2710
201,28,1779563055967,1779563055967,1779563055984,1779563055987,1779563055988,1779563055972,1779563056001,5,1,3,1,29,34,13.5995
204,31,1779563056083,1779563056083,1779563056100,1779563056113,1779563056113,1779563056097,1779563056118,14,0,13,1,21,35,14.4431
205,32,1779563056117,1779563056117,1779563056134,1779563056167,1779563056167,1779563056151,1779563056160,34,0,33,1,9,43,14.2162
206,33,1779563056160,1779563056160,1779563056177,1779563056200,1779563056200,1779563056185,1779563056193,25,0,23,2,8,33,13.3544
207,34,1779563056193,1779563056193,1779563056209,1779563056238,1779563056238,1779563056223,1779563056227,30,0,29,1,4,34,12.7396
208,36,1779563056262,1779563056262,1779563056278,1779563056292,1779563056292,1779563056277,1779563056296,15,0,14,1,19,34,12.8498
209,37,1779563056296,1779563056296,1779563056312,1779563056325,1779563056325,1779563056310,1779563056330,14,0,13,1,20,34,12.1383
210,38,1779563056330,1779563056330,1779563056347,1779563056368,1779563056368,1779563056352,1779563056365,22,0,21,1,13,35,11.9017
212,40,1779563056403,1779563056403,1779563056420,1779563056453,1779563056453,1779563056438,1779563056441,35,0,33,2,3,38,13.9576
213,41,1779563056441,1779563056441,1779563056458,1779563056492,1779563056492,1779563056476,1779563056481,35,0,34,1,5,40,13.1338
214,43,1779563056520,1779563056520,1779563056537,1779563056548,1779563056549,1779563056533,1779563056558,13,1,11,1,25,38,13.5367
215,44,1779563056558,1779563056558,1779563056574,1779563056584,1779563056584,1779563056569,1779563056601,11,0,10,1,32,43,13.1565
216,45,1779563056601,1779563056601,1779563056618,1779563056623,1779563056623,1779563056607,1779563056638,6,0,5,1,31,37,12.3986
217,46,1779563056638,1779563056638,1779563056655,1779563056678,1779563056678,1779563056663,1779563056681,25,0,23,2,18,43,12.3863
218,47,1779563056681,1779563056681,1779563056698,1779563056712,1779563056712,1779563056697,1779563056714,16,0,14,2,17,33,11.6750
219,48,1779563056714,1779563056714,1779563056731,1779563056750,1779563056750,1779563056734,1779563056748,20,0,19,1,14,34,11.1870
