utc_iso,unix_ms,received_queue_size
2026-05-23T19:04:05.9261330Z,1779563045926,0
2026-05-23T19:04:06.7712950Z,1779563046771,0
2026-05-23T19:04:06.8335990Z,1779563046833,0
2026-05-23T19:04:06.8804380Z,1779563046880,0
2026-05-23T19:04:06.9197230Z,1779563046919,0
2026-05-23T19:04:06.9598530Z,1779563046959,0
2026-05-23T19:04:06.9989570Z,1779563046998,0
2026-05-23T19:04:07.0376370Z,1779563047037,0
2026-05-23T19:04:07.0767240Z,1779563047076,0
2026-05-23T19:04:07.1154410Z,1779563047115,0
2026-05-23T19:04:07.1544150Z,1779563047154,0
2026-05-23T19:04:07.1933990Z,1779563047193,0
2026-05-23T19:04:07.2326000Z,1779563047232,0
2026-05-23T19:04:07.2715640Z,1779563047271,0
2026-05-23T19:04:07.3104510Z,1779563047310,0
2026-05-23T19:04:07.3673630Z,1779563047367,0
2026-05-23T19:04:07.3716980Z,1779563047371,0
2026-05-23T19:04:07.4086270Z,1779563047408,0
2026-05-23T19:04:07.4481770Z,1779563047448,0
2026-05-23T19:04:07.4814790Z,1779563047481,0
2026-05-23T19:04:07.5693010Z,1779563047569,0
2026-05-23T19:04:07.5735680Z,1779563047573,1
2026-05-23T19:04:07.6092500Z,1779563047609,1
2026-05-23T19:04:07.6770890Z,1779563047677,1
2026-05-23T19:04:07.6801840Z,1779563047680,0
2026-05-23T19:04:07.7159240Z,1779563047715,1
2026-05-23T19:04:07.7511480Z,1779563047751,1
2026-05-23T19:04:07.7857920Z,1779563047785,1
2026-05-23T19:04:07.8207340Z,1779563047820,1
2026-05-23T19:04:07.8553390Z,1779563047855,1
2026-05-23T19:04:07.9359320Z,1779563047935,1
2026-05-23T19:04:07.9775790Z,1779563047977,1
2026-05-23T19:04:07.9813450Z,1779563047981,1
2026-05-23T19:04:08.0157280Z,1779563048015,0
2026-05-23T19:04:08.0500740Z,1779563048050,1
2026-05-23T19:04:08.0843990Z,1779563048084,1
2026-05-23T19:04:08.1245660Z,1779563048124,1
2026-05-23T19:04:08.1562740Z,1779563048156,1
2026-05-23T19:04:08.1926260Z,1779563048192,0
2026-05-23T19:04:08.2319610Z,1779563048231,2
2026-05-23T19:04:08.2663160Z,1779563048266,0
2026-05-23T19:04:08.3050200Z,1779563048305,1
2026-05-23T19:04:08.3376990Z,1779563048337,1
2026-05-23T19:04:08.4146280Z,1779563048414,2
2026-05-23T19:04:08.4183030Z,1779563048418,0
2026-05-23T19:04:08.4537390Z,1779563048453,1
2026-05-23T19:04:08.4952360Z,1779563048495,1
2026-05-23T19:04:08.5297790Z,1779563048529,1
2026-05-23T19:04:08.5637730Z,1779563048563,0
2026-05-23T19:04:08.5983600Z,1779563048598,1
2026-05-23T19:04:08.6325260Z,1779563048632,1
2026-05-23T19:04:08.6677410Z,1779563048667,1
2026-05-23T19:04:08.7036240Z,1779563048703,1
2026-05-23T19:04:08.7389400Z,1779563048738,1
2026-05-23T19:04:08.7737540Z,1779563048773,1
2026-05-23T19:04:08.8113760Z,1779563048811,0
2026-05-23T19:04:08.8462430Z,1779563048846,1
2026-05-23T19:04:08.8822410Z,1779563048882,1
2026-05-23T19:04:08.9617890Z,1779563048961,2
2026-05-23T19:04:08.9670770Z,1779563048967,0
2026-05-23T19:04:09.0114690Z,1779563049011,1
2026-05-23T19:04:09.0553600Z,1779563049055,1
2026-05-23T19:04:09.0972950Z,1779563049097,1
2026-05-23T19:04:09.1372110Z,1779563049137,1
2026-05-23T19:04:09.1728830Z,1779563049172,1
2026-05-23T19:04:09.2088720Z,1779563049208,1
2026-05-23T19:04:09.2439380Z,1779563049243,1
2026-05-23T19:04:09.2797070Z,1779563049279,1
2026-05-23T19:04:09.3167270Z,1779563049316,0
2026-05-23T19:04:09.3637300Z,1779563049363,2
2026-05-23T19:04:09.4119770Z,1779563049411,1
2026-05-23T19:04:09.4991710Z,1779563049499,2
2026-05-23T19:04:09.5029120Z,1779563049502,0
2026-05-23T19:04:09.5457810Z,1779563049545,1
2026-05-23T19:04:09.5860580Z,1779563049586,1
2026-05-23T19:04:09.6231260Z,1779563049623,1
2026-05-23T19:04:09.6577080Z,1779563049657,1
2026-05-23T19:04:09.7037900Z,1779563049703,0
2026-05-23T19:04:09.7524390Z,1779563049752,2
2026-05-23T19:04:09.7991520Z,1779563049799,1
2026-05-23T19:04:09.8319820Z,1779563049831,0
2026-05-23T19:04:09.8662630Z,1779563049866,1
2026-05-23T19:04:09.9062070Z,1779563049906,1
2026-05-23T19:04:09.9474080Z,1779563049947,1
2026-05-23T19:04:09.9800110Z,1779563049980,1
2026-05-23T19:04:10.0132950Z,1779563050013,1
2026-05-23T19:04:10.0467250Z,1779563050046,1
2026-05-23T19:04:10.0799740Z,1779563050079,0
2026-05-23T19:04:10.1133370Z,1779563050113,1
2026-05-23T19:04:10.1464500Z,1779563050146,1
2026-05-23T19:04:10.1800630Z,1779563050180,1
2026-05-23T19:04:10.2133100Z,1779563050213,1
2026-05-23T19:04:10.2464860Z,1779563050246,0
2026-05-23T19:04:10.2800940Z,1779563050280,1
2026-05-23T19:04:10.3134230Z,1779563050313,1
2026-05-23T19:04:10.3465570Z,1779563050346,1
2026-05-23T19:04:10.3803280Z,1779563050380,1
2026-05-23T19:04:10.4548130Z,1779563050454,1
2026-05-23T19:04:10.4587200Z,1779563050458,0
2026-05-23T19:04:10.4924630Z,1779563050492,1
2026-05-23T19:04:10.5338750Z,1779563050533,1
2026-05-23T19:04:10.5812190Z,1779563050581,1
