Time_sec,ExpectedPos,ActualPos
0.0000,3.0416,3.0416
0.0550,2.9416,2.9416
0.0960,2.8916,2.8916
0.1370,2.8416,2.8416
0.2620,2.7416,2.7416
0.3160,2.6416,2.6416
0.3490,2.5416,2.5416
0.3880,2.4916,2.4916
0.4430,2.4416,2.4416
0.4770,2.3916,2.3916
0.5160,2.3416,2.3416
0.5710,2.2416,2.2416
0.6040,2.1916,2.1916
0.6430,2.1416,2.1416
0.7300,2.0416,2.0416
0.7700,1.9916,1.9916
0.8570,1.8916,1.8916
0.8960,1.7916,1.7916
0.9500,1.7416,1.7416
0.9830,1.6916,1.6916
1.0210,1.6416,1.6416
1.0750,1.5416,1.5416
1.1110,1.4916,1.4916
1.1510,1.4416,1.4416
1.2040,1.3916,1.3916
1.2380,1.3416,1.3416
1.2760,1.2916,1.2916
1.3310,1.1916,1.1916
1.3660,1.1416,1.1416
1.4040,1.0916,1.0916
1.4590,1.0416,1.0416
1.4910,0.9916,0.9916
1.5310,0.9416,0.9416
1.5850,0.8416,0.8416
1.6180,0.7916,0.7916
1.6570,0.7416,0.7416
1.7120,0.6416,0.6416
1.7840,0.5916,0.5916
1.8380,0.5416,0.5416
1.8720,0.4416,0.4416
1.9100,0.3916,0.3916
1.9650,0.3416,0.3416
1.9980,0.2916,0.2916
2.0360,0.2416,0.2416
2.0910,0.1416,0.1416
2.1260,0.0916,0.0916
2.1650,0.0416,0.0416
2.2530,-0.0584,-0.0584
2.3470,-0.2084,-0.2084
2.3800,-0.2584,-0.2584
2.4190,-0.3084,-0.3084
2.4740,-0.3584,-0.3584
2.5090,-0.4084,-0.4084
2.5460,-0.5084,-0.5084
2.6000,-0.5584,-0.5584
2.6330,-0.6084,-0.6084
2.6710,-0.6584,-0.6584
2.7260,-0.7584,-0.7584
2.7590,-0.8084,-0.8084
2.7970,-0.8584,-0.8584
2.8530,-0.9084,-0.9084
2.8860,-0.9584,-0.9584
2.9250,-1.0084,-1.0084
2.9780,-1.1084,-1.1084
3.0110,-1.1584,-1.1584
3.0490,-1.2084,-1.2084
3.1060,-1.2584,-1.2584
3.1400,-1.3084,-1.3084
3.1770,-1.3584,-1.3584
3.2320,-1.4084,-1.4084
3.2660,-1.4584,-1.4584
3.3040,-1.5084,-1.5084
3.3580,-1.5584,-1.5584
3.3920,-1.6084,-1.6084
3.4310,-1.6584,-1.6584
3.4850,-1.7584,-1.7584
3.5190,-1.8084,-1.8084
3.6120,-1.9084,-1.9084
3.6840,-1.9584,-1.9584
3.7710,-2.0584,-2.0584
3.8100,-2.1084,-2.1084
3.8970,-2.1584,-2.1584
3.9360,-2.2584,-2.2584
3.9900,-2.3084,-2.3084
4.0230,-2.3584,-2.3584
4.0600,-2.4084,-2.4084
4.1150,-2.4584,-2.4584
4.1520,-2.5084,-2.5084
4.1900,-2.5584,-2.5584
4.2450,-2.6584,-2.6584
4.3160,-2.7084,-2.7084
4.3710,-2.8084,-2.8084
4.4060,-2.8584,-2.8584
4.4450,-2.9084,-2.9084
4.5000,-2.9584,-2.9584
4.5330,-3.0084,-3.0084
4.5710,-3.1084,-3.1084
4.6260,-3.1584,-3.1584
4.6580,-3.2084,-3.2084
4.6970,-3.2584,-3.2584
4.7510,-3.3084,-3.3084
4.8220,-3.3584,-3.3584
4.8770,-3.4584,-3.4584
4.9540,-3.5084,-3.5084
5.0090,-3.6084,-3.6084
5.0810,-3.6584,-3.6584
5.1700,-3.7584,-3.7584
5.2080,-3.8084,-3.8084
5.2620,-3.9084,-3.9084
5.3340,-3.9584,-3.9584
5.3890,-4.0584,-4.0584
5.4230,-4.1084,-4.1084
5.4620,-4.1584,-4.1584
5.5190,-4.2584,-4.2584
5.5530,-4.3084,-4.3084
5.5920,-4.3584,-4.3584
5.6430,-4.4084,-4.4084
5.6760,-4.4584,-4.4584
5.7140,-4.5084,-4.5084
5.7690,-4.5584,-4.5584
5.8030,-4.6084,-4.6084
5.8430,-4.6584,-4.6584
5.9310,-4.7084,-4.7084
5.9700,-4.7584,-4.7584
6.0280,-4.8584,-4.8584
6.0610,-4.9084,-4.9084
6.1000,-4.9584,-4.9584
6.1570,-5.0084,-5.0084
6.1890,-5.0584,-5.0584
6.2270,-5.1084,-5.1084
6.2820,-5.1584,-5.1584
6.3150,-5.2084,-5.2084
6.3530,-5.2584,-5.2584
6.4080,-5.3584,-5.3584
6.4790,-5.4084,-5.4084
6.5340,-5.5084,-5.5084
6.5680,-5.5584,-5.5584
6.6060,-5.6084,-5.6084
6.6610,-5.6584,-5.6584
6.6950,-5.7084,-5.7084
6.7320,-5.7584,-5.7584
6.7870,-5.8084,-5.8084
6.8250,-5.8584,-5.8584
6.8610,-5.9084,-5.9084
6.9160,-5.9584,-5.9584
6.9490,-6.0084,-6.0084
6.9870,-6.0584,-6.0584
7.0410,-6.1084,-6.1084
7.0750,-6.1584,-6.1584
7.1130,-6.2084,-6.2084
7.1680,-6.2584,-6.2584
7.2020,-6.3084,-6.3084
7.2420,-6.3584,-6.3584
7.2950,-6.4084,-6.4084
7.3290,-6.4584,-6.4584
7.3670,-6.5084,-6.5084
7.4580,-6.6084,-6.6084
7.4970,-6.7084,-6.7084
7.5520,-6.7584,-6.7584
7.5850,-6.8084,-6.8084
7.6240,-6.8584,-6.8584
7.7110,-6.9584,-6.9584
7.7490,-7.0084,-7.0084
7.8040,-7.0584,-7.0584
7.8380,-7.1084,-7.1084
7.8770,-7.1584,-7.1584
7.9310,-7.2084,-7.2084
8.0030,-7.2584,-7.2584
8.0580,-7.3584,-7.3584
8.0960,-7.4084,-7.4084
8.1330,-7.4584,-7.4584
8.1910,-7.5084,-7.5084
8.2260,-7.5584,-7.5584
8.2640,-7.6084,-7.6084
8.3190,-7.7084,-7.7084
8.3530,-7.7584,-7.7584
8.3910,-7.8084,-7.8084
8.4450,-7.8584,-7.8584
8.4790,-7.9084,-7.9084
8.5170,-7.9584,-7.9584
8.5730,-8.0584,-8.0584
8.6050,-8.1084,-8.1084
8.6440,-8.1584,-8.1584
8.6980,-8.2084,-8.2084
8.7320,-8.2584,-8.2584
8.7700,-8.3084,-8.3084
8.8240,-8.3584,-8.3584
8.8570,-8.4084,-8.4084
8.9490,-8.4584,-8.4584
9.0210,-8.5584,-8.5584
9.0760,-8.6584,-8.6584
9.1500,-8.7084,-8.7084
9.2050,-8.8084,-8.8084
9.2390,-8.8584,-8.8584
9.2780,-8.9084,-8.9084
9.3340,-8.9584,-8.9584
9.3680,-9.0084,-9.0084
9.4060,-9.0584,-9.0584
9.4620,-9.1584,-9.1584
9.4980,-9.2084,-9.2084
9.5360,-9.2584,-9.2584
9.5910,-9.3084,-9.3084
9.6240,-9.3584,-9.3584
9.6620,-9.4084,-9.4084
9.7540,-9.5084,-9.5084
9.7920,-9.5584,-9.5584
9.8490,-9.6084,-9.6084
9.8820,-9.6584,-9.6584
9.9220,-9.7084,-9.7084
9.9770,-9.7584,-9.7584
10.0100,-9.8084,-9.8084
10.0490,-9.8584,-9.8584
10.1040,-9.9084,-9.9084
10.1380,-9.9584,-9.9584
10.1790,-10.0084,-10.0084
10.2340,-10.0584,-10.0584
10.2700,-10.1084,-10.1084
10.3070,-10.1584,-10.1584
10.3610,-10.2584,-10.2584
10.3960,-10.3084,-10.3084
10.4360,-10.3584,-10.3584
10.4890,-10.4084,-10.4084
10.5220,-10.4584,-10.4584
10.5600,-10.5084,-10.5084
10.6150,-10.6084,-10.6084
10.6470,-10.6584,-10.6584
10.6850,-10.7084,-10.7084
10.7400,-10.7584,-10.7584
10.7760,-10.8084,-10.8084
10.8130,-10.8584,-10.8584
10.8680,-10.9084,-10.9084
10.9390,-10.9584,-10.9584
10.9930,-11.0084,-11.0084
11.0260,-11.0584,-11.0584
11.0650,-11.1084,-11.1084
11.1520,-11.2084,-11.2084
11.1910,-11.2584,-11.2584
11.2460,-11.3084,-11.3084
11.2800,-11.3584,-11.3584
11.3180,-11.4084,-11.4084
11.3720,-11.5084,-11.5084
11.4050,-11.5584,-11.5584
11.4980,-11.6084,-11.6084
11.5320,-11.7084,-11.7084
11.5710,-11.7584,-11.7584
11.6250,-11.8584,-11.8584
11.6580,-11.9084,-11.9084
11.6960,-11.9584,-11.9584
11.7510,-12.0084,-12.0084
11.8230,-12.0584,-12.0584
11.9130,-12.1584,-12.1584
11.9520,-12.2084,-12.2084
12.0410,-12.3084,-12.3084
12.0810,-12.3584,-12.3584
12.1700,-12.4584,-12.4584
12.2090,-12.5084,-12.5084
