Time_sec,ExpectedPos,ActualPos
0.0000,3.0416,3.0416
0.0400,2.9916,2.9916
0.0810,2.9416,2.9416
0.1500,2.8416,2.8416
0.1820,2.7916,2.7916
0.2140,2.7416,2.7416
0.2800,2.6416,2.6416
0.3130,2.5916,2.5916
0.3540,2.5416,2.5416
0.3860,2.4916,2.4916
0.4270,2.4416,2.4416
0.4600,2.3916,2.3916
0.5240,2.2916,2.2916
0.5640,2.2416,2.2416
0.6040,2.1916,2.1916
0.6870,2.0916,2.0916
0.7720,2.0416,2.0416
0.8580,1.9416,1.9416
0.9460,1.7916,1.7916
0.9850,1.7416,1.7416
1.0690,1.6416,1.6416
1.1130,1.5916,1.5916
1.1810,1.4916,1.4916
1.2140,1.4416,1.4416
1.2460,1.3916,1.3916
1.3510,1.2916,1.2916
1.3880,1.1916,1.1916
1.4320,1.1416,1.1416
1.4670,1.0916,1.0916
1.5040,1.0416,1.0416
1.5960,0.9416,0.9416
1.6390,0.8916,0.8916
1.7210,0.7916,0.7916
1.7640,0.7416,0.7416
1.8870,0.6416,0.6416
1.9700,0.5416,0.5416
2.0140,0.4416,0.4416
2.0560,0.3916,0.3916
2.0970,0.3416,0.3416
2.1380,0.2916,0.2916
2.1730,0.2416,0.2416
2.2050,0.1916,0.1916
2.2700,0.1416,0.1416
2.3030,0.0416,0.0416
2.3690,-0.0584,-0.0584
2.4120,-0.1084,-0.1084
2.4840,-0.2084,-0.2084
2.5160,-0.2584,-0.2584
2.5490,-0.3084,-0.3084
2.6280,-0.4084,-0.4084
2.6680,-0.4584,-0.4584
2.7100,-0.5084,-0.5084
2.7510,-0.5584,-0.5584
2.7930,-0.6084,-0.6084
2.8340,-0.6584,-0.6584
2.9120,-0.7084,-0.7084
2.9660,-0.7584,-0.7584
3.0140,-0.8584,-0.8584
3.0540,-0.9084,-0.9084
3.0960,-0.9584,-0.9584
3.1370,-1.0084,-1.0084
3.1720,-1.0584,-1.0584
3.2040,-1.1084,-1.1084
3.2700,-1.2084,-1.2084
3.3020,-1.2584,-1.2584
3.3360,-1.3084,-1.3084
3.4070,-1.3584,-1.3584
3.4440,-1.4584,-1.4584
3.5160,-1.5084,-1.5084
3.5200,-1.5584,-1.5584
3.5880,-1.6584,-1.6584
3.6300,-1.7084,-1.7084
3.6690,-1.7584,-1.7584
3.7110,-1.8084,-1.8084
3.7510,-1.8584,-1.8584
3.7940,-1.9084,-1.9084
3.8340,-1.9584,-1.9584
3.8770,-2.0084,-2.0084
3.9220,-2.0584,-2.0584
4.0000,-2.1084,-2.1084
4.0450,-2.2084,-2.2084
4.1310,-2.2584,-2.2584
