timestamp_utc,channel_label,channel_state,bytesSent,bytesReceived,messagesSent,messagesReceived,delta_bytesSent,delta_bytesReceived,delta_msgsSent,delta_msgsRecv,throughput_send_kbps,throughput_recv_kbps,transport_bytesSent,transport_bytesRecv,transport_throughput_send_kbps,transport_throughput_recv_kbps,ice_rtt_ms,ice_availableOutBitrate_kbps
2026-05-23T21:30:06.5127400Z,commands,open,0,0,0,0,0,0,0,0,0.00,0.00,0,0,N/A,N/A,1.00,0.00
2026-05-23T21:30:06.5127400Z,robot_state,open,0,4642,0,25,0,4642,0,25,0.00,37.14,0,0,N/A,N/A,1.00,0.00
2026-05-23T21:30:07.6112200Z,commands,open,0,0,0,0,0,0,0,0,0.00,0.00,0,0,N/A,N/A,0.00,0.00
2026-05-23T21:30:07.6112200Z,robot_state,open,0,9292,0,50,0,4650,0,25,0.00,37.20,0,0,N/A,N/A,0.00,0.00
2026-05-23T21:30:08.6996080Z,commands,open,0,0,0,0,0,0,0,0,0.00,0.00,0,0,N/A,N/A,1.00,0.00
2026-05-23T21:30:08.6996080Z,robot_state,open,0,14128,0,76,0,4836,0,26,0.00,38.69,0,0,N/A,N/A,1.00,0.00
2026-05-23T21:30:09.7659170Z,commands,open,0,0,0,0,0,0,0,0,0.00,0.00,0,0,N/A,N/A,1.00,0.00
2026-05-23T21:30:09.7659170Z,robot_state,open,0,18781,0,101,0,4653,0,25,0.00,37.22,0,0,N/A,N/A,1.00,0.00
2026-05-23T21:30:10.8514060Z,commands,open,0,0,0,0,0,0,0,0,0.00,0.00,0,0,N/A,N/A,1.00,0.00
2026-05-23T21:30:10.8514060Z,robot_state,open,0,23456,0,126,0,4675,0,25,0.00,37.40,0,0,N/A,N/A,1.00,0.00
2026-05-23T21:30:11.9150020Z,commands,open,0,0,0,0,0,0,0,0,0.00,0.00,0,0,N/A,N/A,1.00,0.00
2026-05-23T21:30:11.9150020Z,robot_state,open,0,27757,0,149,0,4301,0,23,0.00,34.41,0,0,N/A,N/A,1.00,0.00
2026-05-23T21:30:13.0973220Z,commands,open,0,0,0,0,0,0,0,0,0.00,0.00,0,0,N/A,N/A,1.00,0.00
2026-05-23T21:30:13.0973220Z,robot_state,open,0,32619,0,175,0,4862,0,26,0.00,38.90,0,0,N/A,N/A,1.00,0.00
2026-05-23T21:30:14.1822270Z,commands,open,0,0,0,0,0,0,0,0,0.00,0.00,0,0,N/A,N/A,1.00,0.00
2026-05-23T21:30:14.1822270Z,robot_state,open,0,37294,0,200,0,4675,0,25,0.00,37.40,0,0,N/A,N/A,1.00,0.00
2026-05-23T21:30:15.2628710Z,commands,open,0,0,0,0,0,0,0,0,0.00,0.00,0,0,N/A,N/A,1.00,0.00
2026-05-23T21:30:15.2628710Z,robot_state,open,0,41969,0,225,0,4675,0,25,0.00,37.40,0,0,N/A,N/A,1.00,0.00
2026-05-23T21:30:16.4112970Z,commands,open,0,0,0,0,0,0,0,0,0.00,0.00,0,0,N/A,N/A,1.00,0.00
2026-05-23T21:30:16.4112970Z,robot_state,open,0,46831,0,251,0,4862,0,26,0.00,38.90,0,0,N/A,N/A,1.00,0.00
2026-05-23T21:30:17.4625940Z,commands,open,0,0,0,0,0,0,0,0,0.00,0.00,0,0,N/A,N/A,1.00,0.00
2026-05-23T21:30:17.4625940Z,robot_state,open,0,51693,0,277,0,4862,0,26,0.00,38.90,0,0,N/A,N/A,1.00,0.00
2026-05-23T21:30:18.5523310Z,commands,open,1095,0,16,0,1095,0,16,0,8.76,0.00,0,0,N/A,N/A,1.00,0.00
2026-05-23T21:30:18.5523310Z,robot_state,open,0,57091,0,302,0,5398,0,25,0.00,43.18,0,0,N/A,N/A,1.00,0.00
2026-05-23T21:30:19.6668010Z,commands,open,3027,0,44,0,1932,0,28,0,15.46,0.00,0,0,N/A,N/A,1.00,0.00
2026-05-23T21:30:19.6668010Z,robot_state,open,0,63008,0,326,0,5917,0,24,0.00,47.34,0,0,N/A,N/A,1.00,0.00
2026-05-23T21:30:20.7790330Z,commands,open,5028,0,73,0,2001,0,29,0,16.01,0.00,0,0,N/A,N/A,1.00,0.00
2026-05-23T21:30:20.7790330Z,robot_state,open,0,69412,0,352,0,6404,0,26,0.00,51.23,0,0,N/A,N/A,1.00,0.00
2026-05-23T21:30:21.8624070Z,commands,open,6962,0,101,0,1934,0,28,0,15.47,0.00,0,0,N/A,N/A,1.00,0.00
2026-05-23T21:30:21.8624070Z,robot_state,open,0,75574,0,377,0,6162,0,25,0.00,49.30,0,0,N/A,N/A,1.00,0.00
2026-05-23T21:30:22.9449750Z,commands,open,8922,0,129,0,1960,0,28,0,15.68,0.00,0,0,N/A,N/A,0.00,0.00
2026-05-23T21:30:22.9449750Z,robot_state,open,0,81758,0,402,0,6184,0,25,0.00,49.47,0,0,N/A,N/A,0.00,0.00
2026-05-23T21:30:24.1003530Z,commands,open,10952,0,158,0,2030,0,29,0,16.24,0.00,0,0,N/A,N/A,0.00,0.00
2026-05-23T21:30:24.1003530Z,robot_state,open,0,87953,0,427,0,6195,0,25,0.00,49.56,0,0,N/A,N/A,0.00,0.00
2026-05-23T21:30:25.1816710Z,commands,open,12982,0,187,0,2030,0,29,0,16.24,0.00,0,0,N/A,N/A,0.00,0.00
2026-05-23T21:30:25.1816710Z,robot_state,open,0,94398,0,453,0,6445,0,26,0.00,51.56,0,0,N/A,N/A,0.00,0.00
2026-05-23T21:30:26.2791710Z,commands,open,15012,0,216,0,2030,0,29,0,16.24,0.00,0,0,N/A,N/A,0.00,0.00
2026-05-23T21:30:26.2791710Z,robot_state,open,0,100819,0,479,0,6421,0,26,0.00,51.37,0,0,N/A,N/A,0.00,0.00
2026-05-23T21:30:27.3738130Z,commands,open,17042,0,245,0,2030,0,29,0,16.24,0.00,0,0,N/A,N/A,0.00,0.00
2026-05-23T21:30:27.3738130Z,robot_state,open,0,107013,0,504,0,6194,0,25,0.00,49.55,0,0,N/A,N/A,0.00,0.00
2026-05-23T21:30:28.4693120Z,commands,open,19072,0,274,0,2030,0,29,0,16.24,0.00,0,0,N/A,N/A,1.00,0.00
2026-05-23T21:30:28.4693120Z,robot_state,open,0,113234,0,529,0,6221,0,25,0.00,49.77,0,0,N/A,N/A,1.00,0.00
2026-05-23T21:30:29.5615550Z,commands,open,21032,0,302,0,1960,0,28,0,15.68,0.00,0,0,N/A,N/A,1.00,0.00
2026-05-23T21:30:29.5615550Z,robot_state,open,0,119400,0,554,0,6166,0,25,0.00,49.33,0,0,N/A,N/A,1.00,0.00
2026-05-23T21:30:30.6485340Z,commands,open,22992,0,330,0,1960,0,28,0,15.68,0.00,0,0,N/A,N/A,1.00,0.00
2026-05-23T21:30:30.6485340Z,robot_state,open,0,125622,0,579,0,6222,0,25,0.00,49.78,0,0,N/A,N/A,1.00,0.00
2026-05-23T21:30:31.7555050Z,commands,open,25022,0,359,0,2030,0,29,0,16.24,0.00,0,0,N/A,N/A,1.00,0.00
2026-05-23T21:30:31.7555050Z,robot_state,open,0,132094,0,605,0,6472,0,26,0.00,51.78,0,0,N/A,N/A,1.00,0.00
2026-05-23T21:30:32.8651270Z,commands,open,27052,0,388,0,2030,0,29,0,16.24,0.00,0,0,N/A,N/A,1.00,0.00
2026-05-23T21:30:32.8651270Z,robot_state,open,0,138036,0,629,0,5942,0,24,0.00,47.54,0,0,N/A,N/A,1.00,0.00
2026-05-23T21:30:33.9826770Z,commands,open,29082,0,417,0,2030,0,29,0,16.24,0.00,0,0,N/A,N/A,0.00,0.00
2026-05-23T21:30:33.9826770Z,robot_state,open,0,144495,0,655,0,6459,0,26,0.00,51.67,0,0,N/A,N/A,0.00,0.00
2026-05-23T21:30:35.0972190Z,commands,open,31042,0,445,0,1960,0,28,0,15.68,0.00,0,0,N/A,N/A,0.00,0.00
2026-05-23T21:30:35.0972190Z,robot_state,open,0,150703,0,680,0,6208,0,25,0.00,49.66,0,0,N/A,N/A,0.00,0.00
2026-05-23T21:30:36.2201800Z,commands,open,33072,0,474,0,2030,0,29,0,16.24,0.00,0,0,N/A,N/A,1.00,0.00
2026-05-23T21:30:36.2201800Z,robot_state,open,0,157399,0,707,0,6696,0,27,0.00,53.57,0,0,N/A,N/A,1.00,0.00
2026-05-23T21:30:37.3335640Z,commands,open,35102,0,503,0,2030,0,29,0,16.24,0.00,0,0,N/A,N/A,1.00,0.00
2026-05-23T21:30:37.3335640Z,robot_state,open,0,163606,0,732,0,6207,0,25,0.00,49.66,0,0,N/A,N/A,1.00,0.00
2026-05-23T21:30:38.4039030Z,commands,open,37062,0,531,0,1960,0,28,0,15.68,0.00,0,0,N/A,N/A,1.00,0.00
2026-05-23T21:30:38.4039030Z,robot_state,open,0,169772,0,757,0,6166,0,25,0.00,49.33,0,0,N/A,N/A,1.00,0.00
2026-05-23T21:30:39.5152280Z,commands,open,39092,0,560,0,2030,0,29,0,16.24,0.00,0,0,N/A,N/A,1.00,0.00
2026-05-23T21:30:39.5152280Z,robot_state,open,0,176258,0,783,0,6486,0,26,0.00,51.89,0,0,N/A,N/A,1.00,0.00
2026-05-23T21:30:40.5958020Z,commands,open,41052,0,588,0,1960,0,28,0,15.68,0.00,0,0,N/A,N/A,0.00,0.00
2026-05-23T21:30:40.5958020Z,robot_state,open,0,182229,0,807,0,5971,0,24,0.00,47.77,0,0,N/A,N/A,0.00,0.00
2026-05-23T21:30:41.6927840Z,commands,open,43082,0,617,0,2030,0,29,0,16.24,0.00,0,0,N/A,N/A,0.00,0.00
2026-05-23T21:30:41.6927840Z,robot_state,open,0,188674,0,833,0,6445,0,26,0.00,51.56,0,0,N/A,N/A,0.00,0.00
2026-05-23T21:30:42.7756570Z,commands,open,45112,0,646,0,2030,0,29,0,16.24,0.00,0,0,N/A,N/A,0.00,0.00
2026-05-23T21:30:42.7756570Z,robot_state,open,0,194642,0,857,0,5968,0,24,0.00,47.74,0,0,N/A,N/A,0.00,0.00
2026-05-23T21:30:43.8683520Z,commands,open,47142,0,675,0,2030,0,29,0,16.24,0.00,0,0,N/A,N/A,1.00,0.00
