seq,cmd_seq_echo,T0_ms,T1_ms,T3_ms,TQ_ms,T4_ms,T6_ms,T7_ms,RTT_ms,Processing_ms,QueueDelay_ms,Network_ms,RenderDelay_ms,MTP_ms,Jitter_ms
134,1,1779574296456,1779574296457,1779574296471,1779574296495,1779574296495,1779574296506,1779574296511,49,0,24,25,5,54,27.3635
135,3,1779574296511,1779574296511,1779574296523,1779574296526,1779574296526,1779574296544,1779574296579,33,0,3,30,35,68,27.8556
136,4,1779574296544,1779574296544,1779574296556,1779574296564,1779574296564,1779574296578,1779574296610,34,0,8,26,32,66,26.4160
137,5,1779574296578,1779574296578,1779574296591,1779574296621,1779574296621,1779574296610,1779574296645,32,0,30,2,35,67,26.1238
138,6,1779574296610,1779574296610,1779574296622,1779574296653,1779574296653,1779574296676,1779574296711,66,0,31,35,35,101,26.3148
139,8,1779574296676,1779574296676,1779574296688,1779574296692,1779574296692,1779574296711,1779574296781,35,0,4,31,70,105,26.7949
141,9,1779574296711,1779574296711,1779574296723,1779574296748,1779574296783,1779574296781,1779574296785,70,35,25,10,4,74,30.6668
142,11,1779574296785,1779574296785,1779574296797,1779574296821,1779574296821,1779574296857,1779574296862,72,0,24,48,5,77,31.2598
143,13,1779574296862,1779574296862,1779574296875,1779574296876,1779574296876,1779574296894,1779574296928,32,0,1,31,34,66,30.0789
144,14,1779574296893,1779574296893,1779574296906,1779574296907,1779574296908,1779574296928,1779574296960,35,1,1,33,32,67,28.2404
145,15,1779574296927,1779574296927,1779574296940,1779574296945,1779574296946,1779574296960,1779574297000,33,1,5,27,40,73,26.5324
146,16,1779574296960,1779574296960,1779574296972,1779574297001,1779574297001,1779574297000,1779574297032,40,0,29,11,32,72,26.1264
147,17,1779574297000,1779574297000,1779574297012,1779574297032,1779574297032,1779574297032,1779574297065,32,0,20,12,33,65,24.6058
148,18,1779574297032,1779574297032,1779574297044,1779574297069,1779574297069,1779574297065,1779574297099,33,0,25,8,34,67,23.3627
149,20,1779574297097,1779574297097,1779574297112,1779574297125,1779574297125,1779574297130,1779574297163,33,0,13,20,33,66,22.3152
150,21,1779574297130,1779574297130,1779574297142,1779574297158,1779574297158,1779574297163,1779574297200,33,0,16,17,37,70,21.3132
151,22,1779574297163,1779574297163,1779574297175,1779574297197,1779574297197,1779574297200,1779574297233,37,0,22,15,33,70,20.2563
152,24,1779574297233,1779574297233,1779574297245,1779574297253,1779574297253,1779574297266,1779574297306,33,0,8,25,40,73,20.0259
