Time_sec,ExpectedPos,ActualPos
0.0000,3.0416,3.0416
0.0420,2.9916,2.9916
0.0850,2.9416,2.9416
0.1250,2.8916,2.8916
0.1690,2.8416,2.8416
0.2440,2.7916,2.7916
0.2900,2.6916,2.6916
0.3310,2.6416,2.6416
0.3720,2.5916,2.5916
0.4120,2.5416,2.5416
0.4930,2.4416,2.4416
0.5360,2.3916,2.3916
0.6090,2.2916,2.2916
0.6440,2.2416,2.2416
0.6780,2.1916,2.1916
0.7510,2.0916,2.0916
0.7980,2.0416,2.0416
0.8730,1.9416,1.9416
0.9040,1.8916,1.8916
0.9370,1.8416,1.8416
1.0190,1.7916,1.7916
1.0690,1.6916,1.6916
1.1100,1.6416,1.6416
1.1540,1.5916,1.5916
1.1930,1.5416,1.5416
1.2370,1.4916,1.4916
1.2820,1.4416,1.4416
1.3590,1.3916,1.3916
1.4030,1.2916,1.2916
1.4440,1.2416,1.2416
1.4860,1.1916,1.1916
1.5260,1.1416,1.1416
1.5700,1.0916,1.0916
1.6420,1.0416,1.0416
1.6750,0.9416,0.9416
1.7080,0.8916,0.8916
1.7850,0.7916,0.7916
1.8170,0.7416,0.7416
1.8870,0.6416,0.6416
1.9210,0.5916,0.5916
1.9530,0.5416,0.5416
2.0720,0.4416,0.4416
2.1630,0.2916,0.2916
2.2080,0.2416,0.2416
2.2860,0.1416,0.1416
2.3280,0.0916,0.0916
2.4080,-0.0084,-0.0084
2.4510,-0.0584,-0.0584
2.4890,-0.1084,-0.1084
2.5340,-0.1584,-0.1584
2.5730,-0.2084,-0.2084
2.6050,-0.2584,-0.2584
2.6700,-0.3084,-0.3084
2.7030,-0.3584,-0.3584
2.7380,-0.4584,-0.4584
2.7690,-0.5084,-0.5084
2.8100,-0.5584,-0.5584
2.8420,-0.6084,-0.6084
2.9150,-0.7084,-0.7084
2.9470,-0.7584,-0.7584
2.9790,-0.8084,-0.8084
3.0540,-0.9084,-0.9084
3.1410,-0.9584,-0.9584
3.1870,-1.0584,-1.0584
3.2280,-1.1084,-1.1084
3.3250,-1.2084,-1.2084
3.3570,-1.2584,-1.2584
3.4400,-1.3584,-1.3584
3.4840,-1.4084,-1.4084
3.5660,-1.5084,-1.5084
3.6060,-1.5584,-1.5584
3.6380,-1.6084,-1.6084
3.6710,-1.6584,-1.6584
3.7030,-1.7084,-1.7084
3.7680,-1.8084,-1.8084
3.8400,-1.8584,-1.8584
3.8770,-1.9584,-1.9584
3.9500,-2.0584,-2.0584
3.9830,-2.1084,-2.1084
4.0160,-2.1584,-2.1584
4.0530,-2.2084,-2.2084
4.0930,-2.2584,-2.2584
4.1360,-2.3084,-2.3084
4.2230,-2.3584,-2.3584
4.2710,-2.4584,-2.4584
4.3110,-2.5084,-2.5084
4.3530,-2.5584,-2.5584
4.3940,-2.6084,-2.6084
4.4810,-2.7084,-2.7084
4.5210,-2.7584,-2.7584
4.6050,-2.8584,-2.8584
4.6710,-2.9084,-2.9084
4.7040,-3.0084,-3.0084
4.7370,-3.0584,-3.0584
4.8020,-3.1084,-3.1084
4.8360,-3.2084,-3.2084
4.8760,-3.2584,-3.2584
4.9080,-3.3084,-3.3084
4.9790,-3.4084,-3.4084
5.0120,-3.4584,-3.4584
5.0490,-3.5084,-3.5084
5.1330,-3.6084,-3.6084
5.1730,-3.6584,-3.6584
5.3030,-3.7584,-3.7584
5.3880,-3.8584,-3.8584
5.4340,-3.9584,-3.9584
5.5160,-4.0584,-4.0584
5.5560,-4.1084,-4.1084
