seq,cmd_seq_echo,T0_ms,T1_ms,T3_ms,TQ_ms,T4_ms,T6_ms,T7_ms,RTT_ms,Processing_ms,QueueDelay_ms,Network_ms,RenderDelay_ms,MTP_ms,Jitter_ms
135,2,1779572252275,1779572252275,1779572252288,1779572252301,1779572252301,1779572252318,1779572252360,43,0,13,30,42,85,27.6979
136,3,1779572252318,1779572252318,1779572252331,1779572252340,1779572252340,1779572252360,1779572252403,42,0,9,33,43,85,26.4098
137,4,1779572252359,1779572252359,1779572252373,1779572252396,1779572252397,1779572252403,1779572252443,44,1,23,20,40,84,25.9662
138,5,1779572252402,1779572252402,1779572252416,1779572252431,1779572252431,1779572252443,1779572252487,41,0,15,26,44,85,25.0525
139,6,1779572252443,1779572252443,1779572252457,1779572252472,1779572252472,1779572252487,1779572252562,44,0,15,29,75,119,25.6497
141,7,1779572252486,1779572252486,1779572252500,1779572252529,1779572252562,1779572252562,1779572252568,76,33,29,14,6,82,29.1680
142,9,1779572252568,1779572252568,1779572252581,1779572252601,1779572252601,1779572252608,1779572252650,40,0,20,20,42,82,29.7380
143,10,1779572252608,1779572252608,1779572252621,1779572252657,1779572252657,1779572252649,1779572252690,41,0,36,5,41,82,28.9295
144,11,1779572252649,1779572252649,1779572252663,1779572252691,1779572252691,1779572252690,1779572252731,41,0,28,13,41,82,27.7933
145,12,1779572252690,1779572252690,1779572252703,1779572252730,1779572252730,1779572252730,1779572252771,40,0,27,13,41,81,26.1734
147,14,1779572252770,1779572252770,1779572252784,1779572252786,1779572252820,1779572252811,1779572252854,41,34,2,5,43,84,24.9010
148,15,1779572252811,1779572252811,1779572252825,1779572252859,1779572252859,1779572252854,1779572252892,43,0,34,9,38,81,23.4911
149,17,1779572252892,1779572252892,1779572252905,1779572252915,1779572252915,1779572252927,1779572252962,35,0,10,25,35,70,22.7162
150,18,1779572252927,1779572252927,1779572252940,1779572252948,1779572252949,1779572252962,1779572252996,35,1,8,26,34,69,21.4894
151,19,1779572252962,1779572252962,1779572252976,1779572252988,1779572252988,1779572252996,1779572253032,34,0,12,22,36,70,20.5291
153,21,1779572253032,1779572253032,1779572253046,1779572253078,1779572253078,1779572253069,1779572253116,37,0,32,5,47,84,19.5925
154,22,1779572253068,1779572253068,1779572253082,1779572253116,1779572253116,1779572253116,1779572253150,48,0,34,14,34,82,18.8183
155,24,1779572253149,1779572253149,1779572253164,1779572253172,1779572253172,1779572253191,1779572253222,42,0,8,34,31,73,18.8616
156,25,1779572253190,1779572253190,1779572253204,1779572253204,1779572253205,1779572253222,1779572253255,32,1,0,31,33,65,17.8121
