seq,cmd_seq_echo,T0_ms,T1_ms,T3_ms,TQ_ms,T4_ms,T6_ms,T7_ms,RTT_ms,Processing_ms,QueueDelay_ms,Network_ms,RenderDelay_ms,MTP_ms,Jitter_ms
100,2,1779573428645,1779573428645,1779573428664,1779573428685,1779573428685,1779573428682,1779573428723,37,0,21,16,41,78,22.6763
101,3,1779573428682,1779573428682,1779573428701,1779573428718,1779573428718,1779573428723,1779573428794,41,0,17,24,71,112,23.7380
102,4,1779573428723,1779573428723,1779573428742,1779573428757,1779573428757,1779573428794,1779573428798,71,0,15,56,4,75,24.3781
103,5,1779573428793,1779573428793,1779573428813,1779573428813,1779573428813,1779573428830,1779573428862,37,0,0,37,32,69,23.2587
104,6,1779573428797,1779573428797,1779573428816,1779573428847,1779573428847,1779573428862,1779573428932,65,0,31,34,70,135,23.8478
106,8,1779573428862,1779573428862,1779573428881,1779573428887,1779573428943,1779573428932,1779573428935,70,56,6,8,3,73,27.9620
107,10,1779573428935,1779573428935,1779573428954,1779573428978,1779573428978,1779573428969,1779573429002,34,0,24,10,33,67,28.1025
108,11,1779573428969,1779573428969,1779573428988,1779573429016,1779573429016,1779573429002,1779573429036,33,0,28,5,34,67,26.4448
109,13,1779573429035,1779573429036,1779573429054,1779573429071,1779573429071,1779573429074,1779573429118,38,0,17,21,44,82,26.6190
110,14,1779573429074,1779573429074,1779573429093,1779573429104,1779573429104,1779573429118,1779573429160,44,0,11,33,42,86,25.3179
111,15,1779573429118,1779573429118,1779573429137,1779573429142,1779573429142,1779573429160,1779573429245,42,0,5,37,85,127,26.7833
113,16,1779573429160,1779573429160,1779573429179,1779573429198,1779573429232,1779573429244,1779573429249,84,34,19,31,5,89,30.4149
115,18,1779573429248,1779573429248,1779573429268,1779573429270,1779573429325,1779573429324,1779573429328,76,55,2,19,4,80,29.4239
116,20,1779573429328,1779573429328,1779573429347,1779573429358,1779573429359,1779573429368,1779573429408,40,1,11,28,40,80,30.1937
117,21,1779573429368,1779573429368,1779573429387,1779573429398,1779573429398,1779573429408,1779573429456,40,0,11,29,48,88,29.0406
118,22,1779573429408,1779573429408,1779573429427,1779573429454,1779573429455,1779573429455,1779573429505,47,1,27,19,50,97,27.7155
119,23,1779573429455,1779573429455,1779573429474,1779573429488,1779573429488,1779573429505,1779573429553,50,0,14,36,48,98,26.9190
120,24,1779573429504,1779573429505,1779573429524,1779573429527,1779573429528,1779573429553,1779573429602,48,1,3,44,49,97,25.9529
121,25,1779573429552,1779573429552,1779573429572,1779573429587,1779573429587,1779573429602,1779573429651,50,0,15,35,49,99,25.2546
123,26,1779573429602,1779573429602,1779573429621,1779573429621,1779573429661,1779573429651,1779573429686,49,40,0,9,35,84,26.0522
124,28,1779573429686,1779573429686,1779573429706,1779573429717,1779573429717,1779573429728,1779573429760,42,0,11,31,32,74,25.6810
125,29,1779573429728,1779573429728,1779573429748,1779573429751,1779573429751,1779573429759,1779573429792,31,0,3,28,33,64,24.3322
126,30,1779573429759,1779573429759,1779573429778,1779573429793,1779573429793,1779573429792,1779573429836,33,0,15,18,44,77,22.8299
127,31,1779573429792,1779573429792,1779573429811,1779573429851,1779573429851,1779573429867,1779573429899,75,0,40,35,32,107,21.7045
128,33,1779573429866,1779573429866,1779573429885,1779573429885,1779573429885,1779573429899,1779573429931,33,0,0,33,32,65,20.4421
129,34,1779573429898,1779573429898,1779573429917,1779573429924,1779573429925,1779573429931,1779573429967,33,1,7,25,36,69,19.7452
130,35,1779573429931,1779573429931,1779573429950,1779573429980,1779573429980,1779573429967,1779573430033,36,0,30,6,66,102,19.6053
131,36,1779573429963,1779573429966,1779573429985,1779573430014,1779573430014,1779573430033,1779573430038,67,0,29,38,5,72,20.3769
132,38,1779573430037,1779573430037,1779573430057,1779573430059,1779573430059,1779573430073,1779573430117,36,0,2,34,44,80,21.4635
133,39,1779573430072,1779573430072,1779573430091,1779573430114,1779573430115,1779573430117,1779573430159,45,1,23,21,42,87,21.0492
134,40,1779573430117,1779573430117,1779573430136,1779573430153,1779573430154,1779573430159,1779573430208,42,1,17,24,49,91,20.2354
135,41,1779573430159,1779573430159,1779573430179,1779573430193,1779573430193,1779573430208,1779573430244,49,0,14,35,36,85,19.0789
136,42,1779573430208,1779573430208,1779573430227,1779573430249,1779573430249,1779573430244,1779573430324,36,0,22,14,80,116,19.3736
138,43,1779573430243,1779573430243,1779573430262,1779573430283,1779573430323,1779573430324,1779573430330,81,40,21,20,6,87,22.3792
139,45,1779573430330,1779573430330,1779573430349,1779573430379,1779573430379,1779573430368,1779573430411,38,0,30,8,43,81,22.5046
140,46,1779573430368,1779573430368,1779573430387,1779573430413,1779573430413,1779573430411,1779573430452,43,0,26,17,41,84,21.3279
141,47,1779573430411,1779573430411,1779573430430,1779573430453,1779573430453,1779573430452,1779573430495,41,0,23,18,43,84,20.3530
142,48,1779573430452,1779573430452,1779573430471,1779573430510,1779573430510,1779573430495,1779573430536,43,0,39,4,41,84,20.0689
143,49,1779573430494,1779573430494,1779573430513,1779573430547,1779573430547,1779573430536,1779573430579,42,0,34,8,43,85,19.2706
144,50,1779573430536,1779573430536,1779573430555,1779573430588,1779573430588,1779573430579,1779573430620,43,0,33,10,41,84,18.0905
145,52,1779573430620,1779573430620,1779573430639,1779573430644,1779573430645,1779573430663,1779573430698,43,1,5,37,35,78,18.2041
147,54,1779573430698,1779573430698,1779573430718,1779573430718,1779573430718,1779573430731,1779573430774,33,0,0,33,43,76,16.4853
148,55,1779573430731,1779573430731,1779573430750,1779573430775,1779573430775,1779573430774,1779573430804,43,0,25,18,30,73,17.3964
149,56,1779573430773,1779573430773,1779573430793,1779573430809,1779573430809,1779573430804,1779573430846,31,0,16,15,42,73,16.9309
150,57,1779573430804,1779573430804,1779573430823,1779573430855,1779573430856,1779573430846,1779573430878,42,1,32,9,32,74,16.7924
151,59,1779573430877,1779573430877,1779573430897,1779573430912,1779573430912,1779573430910,1779573430943,33,0,15,18,33,66,16.4173
152,60,1779573430910,1779573430910,1779573430930,1779573430946,1779573430946,1779573430943,1779573430975,33,0,16,17,32,65,15.6580
153,61,1779573430942,1779573430942,1779573430961,1779573430985,1779573430985,1779573430975,1779573431010,33,0,24,9,35,68,14.8655
154,63,1779573431008,1779573431009,1779573431028,1779573431041,1779573431041,1779573431041,1779573431073,32,0,13,19,32,64,14.3829
155,64,1779573431041,1779573431041,1779573431060,1779573431075,1779573431075,1779573431073,1779573431159,32,0,15,17,86,118,16.5981
157,65,1779573431073,1779573431073,1779573431092,1779573431115,1779573431171,1779573431159,1779573431165,86,56,23,7,6,92,21.2472
158,67,1779573431165,1779573431165,1779573431184,1779573431206,1779573431206,1779573431211,1779573431250,46,0,22,24,39,85,23.2713
159,68,1779573431210,1779573431210,1779573431230,1779573431245,1779573431245,1779573431250,1779573431293,40,0,15,25,43,83,21.8894
160,69,1779573431250,1779573431250,1779573431269,1779573431302,1779573431302,1779573431293,1779573431333,43,0,33,10,40,83,21.5507
161,70,1779573431293,1779573431293,1779573431312,1779573431339,1779573431339,1779573431332,1779573431373,39,0,27,12,41,80,20.4033
162,71,1779573431332,1779573431332,1779573431351,1779573431378,1779573431378,1779573431373,1779573431416,41,0,27,14,43,84,19.5072
164,73,1779573431416,1779573431416,1779573431435,1779573431435,1779573431471,1779573431456,1779573431500,40,36,0,4,44,84,18.9884
165,74,1779573431456,1779573431456,1779573431474,1779573431510,1779573431511,1779573431500,1779573431539,44,1,36,7,39,83,17.9718
166,76,1779573431539,1779573431539,1779573431559,1779573431568,1779573431568,1779573431581,1779573431624,42,0,9,33,43,85,18.3562
167,77,1779573431581,1779573431581,1779573431600,1779573431606,1779573431606,1779573431623,1779573431661,42,0,6,36,38,80,17.2778
168,78,1779573431623,1779573431623,1779573431642,1779573431647,1779573431647,1779573431661,1779573431694,38,0,5,33,33,71,16.7995
169,79,1779573431661,1779573431661,1779573431680,1779573431703,1779573431703,1779573431694,1779573431727,33,0,23,10,33,66,16.9351
170,80,1779573431693,1779573431694,1779573431712,1779573431737,1779573431738,1779573431727,1779573431760,33,1,25,7,33,66,16.0249
171,81,1779573431727,1779573431727,1779573431746,1779573431778,1779573431779,1779573431801,1779573431833,74,1,32,41,32,106,16.9233
172,83,1779573431801,1779573431801,1779573431820,1779573431836,1779573431836,1779573431833,1779573431873,32,0,16,16,40,72,16.7669
173,84,1779573431833,1779573431833,1779573431851,1779573431877,1779573431877,1779573431873,1779573431904,40,0,26,14,31,71,16.4152
174,85,1779573431873,1779573431873,1779573431892,1779573431919,1779573431919,1779573431904,1779573431938,31,0,27,4,34,65,15.8500
175,87,1779573431938,1779573431938,1779573431957,1779573431981,1779573431981,1779573431971,1779573432002,33,0,24,9,31,64,15.0143
176,88,1779573431969,1779573431970,1779573431989,1779573432015,1779573432015,1779573432002,1779573432036,32,0,26,6,34,66,14.3201
177,89,1779573432002,1779573432002,1779573432021,1779573432054,1779573432054,1779573432068,1779573432106,66,0,33,33,38,104,15.5445
178,91,1779573432068,1779573432068,1779573432087,1779573432112,1779573432112,1779573432106,1779573432152,38,0,25,13,46,84,15.3664
179,92,1779573432106,1779573432106,1779573432125,1779573432146,1779573432146,1779573432152,1779573432237,46,0,21,25,85,131,17.5058
181,93,1779573432150,1779573432151,1779573432171,1779573432185,1779573432243,1779573432237,1779573432241,86,58,14,14,4,90,22.0509
182,95,1779573432241,1779573432241,1779573432260,1779573432280,1779573432280,1779573432288,1779573432328,47,0,20,27,40,87,23.7759
183,96,1779573432288,1779573432288,1779573432307,1779573432324,1779573432324,1779573432328,1779573432368,40,0,17,23,40,80,22.7924
184,97,1779573432327,1779573432327,1779573432347,1779573432380,1779573432380,1779573432368,1779573432412,41,0,33,8,44,85,21.9420
185,98,1779573432367,1779573432367,1779573432387,1779573432414,1779573432414,1779573432412,1779573432453,45,0,27,18,41,86,20.8401
186,99,1779573432411,1779573432411,1779573432430,1779573432453,1779573432454,1779573432453,1779573432494,42,1,23,18,41,83,19.8203
188,101,1779573432494,1779573432494,1779573432513,1779573432548,1779573432549,1779573432536,1779573432578,42,1,35,6,42,84,19.2057
189,102,1779573432536,1779573432536,1779573432555,1779573432587,1779573432587,1779573432578,1779573432620,42,0,32,10,42,84,18.2857
191,104,1779573432620,1779573432620,1779573432639,1779573432643,1779573432679,1779573432663,1779573432693,43,36,4,3,30,73,18.2828
192,106,1779573432693,1779573432693,1779573432713,1779573432719,1779573432720,1779573432726,1779573432760,33,1,6,26,34,67,18.6176
194,108,1779573432760,1779573432760,1779573432779,1779573432812,1779573432813,1779573432801,1779573432834,41,1,33,7,33,74,18.7987
195,109,1779573432801,1779573432801,1779573432820,1779573432852,1779573432852,1779573432875,1779573432906,74,0,32,42,31,105,19.8115
196,111,1779573432875,1779573432875,1779573432894,1779573432909,1779573432909,1779573432906,1779573432938,31,0,15,16,32,63,20.1361
197,112,1779573432905,1779573432905,1779573432925,1779573432943,1779573432943,1779573432938,1779573432970,33,0,18,15,32,65,19.1014
198,113,1779573432937,1779573432937,1779573432957,1779573432983,1779573432983,1779573432970,1779573433003,33,0,26,7,33,66,18.2448
199,115,1779573433002,1779573433002,1779573433022,1779573433039,1779573433040,1779573433035,1779573433069,33,1,17,15,34,67,17.6354
200,116,1779573433035,1779573433035,1779573433054,1779573433073,1779573433073,1779573433069,1779573433101,34,0,19,15,32,66,16.5657
201,117,1779573433068,1779573433068,1779573433087,1779573433113,1779573433113,1779573433101,1779573433146,33,0,26,7,45,78,15.7032
203,119,1779573433144,1779573433145,1779573433164,1779573433169,1779573433203,1779573433189,1779573433233,44,34,5,5,44,88,14.7823
204,120,1779573433189,1779573433189,1779573433208,1779573433242,1779573433243,1779573433233,1779573433325,44,1,34,9,92,136,17.0294
206,121,1779573433233,1779573433233,1779573433252,1779573433299,1779573433333,1779573433325,1779573433331,92,34,47,11,6,98,21.1867
207,123,1779573433329,1779573433330,1779573433349,1779573433373,1779573433373,1779573433370,1779573433411,40,0,24,16,41,81,22.2934
209,125,1779573433411,1779573433411,1779573433430,1779573433464,1779573433464,1779573433452,1779573433495,41,0,34,7,43,84,21.1754
210,126,1779573433452,1779573433452,1779573433471,1779573433504,1779573433504,1779573433495,1779573433537,43,0,33,10,42,85,19.8584
211,128,1779573433537,1779573433537,1779573433556,1779573433561,1779573433561,1779573433578,1779573433620,41,0,5,36,42,83,20.2123
213,129,1779573433578,1779573433578,1779573433597,1779573433635,1779573433635,1779573433662,1779573433698,84,0,38,46,36,120,18.7979
214,131,1779573433662,1779573433662,1779573433682,1779573433692,1779573433693,1779573433698,1779573433730,36,1,10,25,32,68,19.2363
215,132,1779573433698,1779573433698,1779573433717,1779573433726,1779573433727,1779573433730,1779573433763,32,1,9,22,33,65,18.1754
216,133,1779573433730,1779573433730,1779573433749,1779573433766,1779573433766,1779573433763,1779573433797,33,0,17,16,34,67,17.5749
217,135,1779573433796,1779573433797,1779573433817,1779573433822,1779573433822,1779573433837,1779573433868,40,0,5,35,31,71,17.7095
218,136,1779573433837,1779573433837,1779573433857,1779573433857,1779573433857,1779573433868,1779573433901,31,0,0,31,33,64,16.9088
219,137,1779573433868,1779573433868,1779573433887,1779573433897,1779573433897,1779573433901,1779573433943,33,0,10,23,42,75,16.1340
220,138,1779573433901,1779573433901,1779573433921,1779573433954,1779573433955,1779573433943,1779573433973,42,1,33,8,30,72,17.0955
221,139,1779573433943,1779573433943,1779573433962,1779573433989,1779573433990,1779573433973,1779573434007,30,1,27,2,34,64,16.0912
222,141,1779573434006,1779573434006,1779573434026,1779573434030,1779573434030,1779573434039,1779573434072,33,0,4,29,33,66,16.5467
224,143,1779573434072,1779573434072,1779573434091,1779573434120,1779573434120,1779573434105,1779573434148,33,0,29,4,43,76,16.4560
225,144,1779573434104,1779573434104,1779573434123,1779573434159,1779573434160,1779573434148,1779573434187,44,1,36,7,39,83,15.4383
226,146,1779573434187,1779573434187,1779573434206,1779573434216,1779573434217,1779573434229,1779573434270,42,1,10,31,41,83,16.1130
227,147,1779573434229,1779573434229,1779573434248,1779573434251,1779573434251,1779573434270,1779573434350,41,0,3,38,80,121,18.0027
229,148,1779573434270,1779573434270,1779573434289,1779573434290,1779573434346,1779573434350,1779573434408,80,56,1,23,58,138,19.1301
231,149,1779573434349,1779573434349,1779573434368,1779573434381,1779573434423,1779573434408,1779573434413,59,42,13,4,5,64,22.4869
232,152,1779573434453,1779573434454,1779573434473,1779573434480,1779573434480,1779573434498,1779573434539,44,0,7,37,41,85,25.5459
234,153,1779573434497,1779573434497,1779573434517,1779573434556,1779573434556,1779573434589,1779573434634,92,0,39,53,45,137,23.4468
