utc_iso,unix_ms,seq,cmd_seq_echo,t0_echo,t1_echo,t3_recv,tq_dequeue,t4_physics,t5_send,t6_unity
2026-05-23T21:57:04.6260790Z,1779573424626,2,-1,0,0,0,0,1779573424544,1779573424545,1779573424550
2026-05-23T21:57:04.6888330Z,1779573424688,4,-1,0,0,0,0,1779573424637,1779573424638,1779573424627
2026-05-23T21:57:04.6948700Z,1779573424694,5,-1,0,0,0,0,1779573424668,1779573424669,1779573424689
2026-05-23T21:57:04.7410010Z,1779573424741,6,-1,0,0,0,0,1779573424706,1779573424710,1779573424694
2026-05-23T21:57:04.8182660Z,1779573424818,8,-1,0,0,0,0,1779573424794,1779573424797,1779573424780
2026-05-23T21:57:04.9232700Z,1779573424923,9,-1,0,0,0,0,1779573424833,1779573424837,1779573424852
2026-05-23T21:57:04.9268410Z,1779573424926,11,-1,0,0,0,0,1779573424919,1779573424924,1779573424923
2026-05-23T21:57:05.0159430Z,1779573425015,12,-1,0,0,0,0,1779573424957,1779573424960,1779573424968
2026-05-23T21:57:05.0648870Z,1779573425064,13,-1,0,0,0,0,1779573425012,1779573425020,1779573425016
2026-05-23T21:57:05.1097280Z,1779573425109,15,-1,0,0,0,0,1779573425081,1779573425082,1779573425064
2026-05-23T21:57:05.2097230Z,1779573425209,17,-1,0,0,0,0,1779573425167,1779573425169,1779573425152
2026-05-23T21:57:05.2614700Z,1779573425261,18,-1,0,0,0,0,1779573425205,1779573425206,1779573425209
2026-05-23T21:57:05.3097670Z,1779573425309,19,-1,0,0,0,0,1779573425260,1779573425262,1779573425261
2026-05-23T21:57:05.3577700Z,1779573425357,20,-1,0,0,0,0,1779573425291,1779573425294,1779573425309
2026-05-23T21:57:05.4070440Z,1779573425407,21,-1,0,0,0,0,1779573425329,1779573425330,1779573425357
2026-05-23T21:57:05.4564030Z,1779573425456,23,-1,0,0,0,0,1779573425415,1779573425418,1779573425407
2026-05-23T21:57:05.4987760Z,1779573425498,24,-1,0,0,0,0,1779573425453,1779573425455,1779573425456
2026-05-23T21:57:05.5396950Z,1779573425539,25,-1,0,0,0,0,1779573425509,1779573425512,1779573425498
2026-05-23T21:57:05.5901460Z,1779573425590,26,-1,0,0,0,0,1779573425541,1779573425543,1779573425541
2026-05-23T21:57:05.6251860Z,1779573425625,27,-1,0,0,0,0,1779573425578,1779573425579,1779573425595
2026-05-23T21:57:05.6661550Z,1779573425666,28,-1,0,0,0,0,1779573425632,1779573425637,1779573425625
2026-05-23T21:57:05.7072530Z,1779573425707,29,-1,0,0,0,0,1779573425663,1779573425668,1779573425666
2026-05-23T21:57:05.7408740Z,1779573425740,30,-1,0,0,0,0,1779573425701,1779573425705,1779573425707
2026-05-23T21:57:05.8066700Z,1779573425806,31,-1,0,0,0,0,1779573425756,1779573425756,1779573425740
2026-05-23T21:57:05.8100680Z,1779573425810,32,-1,0,0,0,0,1779573425787,1779573425788,1779573425806
2026-05-23T21:57:05.8752320Z,1779573425875,33,-1,0,0,0,0,1779573425825,1779573425829,1779573425841
2026-05-23T21:57:05.9075220Z,1779573425907,34,-1,0,0,0,0,1779573425879,1779573425882,1779573425875
2026-05-23T21:57:05.9387480Z,1779573425938,35,-1,0,0,0,0,1779573425912,1779573425913,1779573425907
2026-05-23T21:57:05.9717690Z,1779573425971,36,-1,0,0,0,0,1779573425952,1779573425954,1779573425938
2026-05-23T21:57:06.0610740Z,1779573426061,37,-1,0,0,0,0,1779573426007,1779573426011,1779573426013
