Time_sec,ExpectedPos,ActualPos
0.0000,2.9916,2.9916
0.0680,2.9416,2.9416
0.1380,2.8416,2.8416
0.1700,2.7416,2.7416
0.2030,2.6916,2.6916
0.2750,2.5916,2.5916
0.3080,2.5416,2.5416
0.3780,2.4416,2.4416
0.4100,2.3916,2.3916
0.4430,2.3416,2.3416
0.5180,2.2416,2.2416
0.5490,2.1916,2.1916
0.5890,2.1416,2.1416
0.6930,2.0416,2.0416
0.7310,1.9416,1.9416
0.7630,1.8916,1.8916
0.8290,1.8416,1.8416
0.8620,1.7416,1.7416
0.9270,1.6416,1.6416
0.9600,1.5916,1.5916
1.0020,1.5416,1.5416
1.0740,1.4416,1.4416
1.1060,1.3916,1.3916
1.1380,1.3416,1.3416
1.2030,1.2416,1.2416
1.2360,1.1916,1.1916
1.3090,1.1416,1.1416
1.3430,1.0416,1.0416
1.3750,0.9916,0.9916
1.4410,0.8916,0.8916
1.5120,0.8416,0.8416
1.5490,0.7416,0.7416
1.6200,0.6916,0.6916
1.6560,0.5916,0.5916
1.7250,0.5416,0.5416
1.7620,0.4416,0.4416
1.8320,0.3416,0.3416
1.8950,0.2416,0.2416
1.9600,0.1416,0.1416
2.0260,0.0916,0.0916
2.0670,-0.0084,-0.0084
2.0990,-0.0584,-0.0584
2.1400,-0.1084,-0.1084
2.1710,-0.1584,-0.1584
2.2360,-0.2084,-0.2084
2.2750,-0.3084,-0.3084
2.3090,-0.3584,-0.3584
2.3420,-0.4084,-0.4084
2.4070,-0.5084,-0.5084
2.4400,-0.5584,-0.5584
2.4730,-0.6084,-0.6084
2.5770,-0.7084,-0.7084
2.6140,-0.8084,-0.8084
2.6540,-0.8584,-0.8584
2.6900,-0.9084,-0.9084
2.7910,-1.0084,-1.0084
2.8270,-1.1084,-1.1084
2.8610,-1.1584,-1.1584
2.9290,-1.2584,-1.2584
2.9680,-1.3084,-1.3084
3.0450,-1.3584,-1.3584
3.0930,-1.4584,-1.4584
3.1340,-1.5084,-1.5084
3.2030,-1.6084,-1.6084
3.2360,-1.6584,-1.6584
3.2690,-1.7084,-1.7084
3.3410,-1.7584,-1.7584
3.3740,-1.8084,-1.8084
3.4070,-1.9084,-1.9084
3.4390,-1.9584,-1.9584
3.4720,-2.0084,-2.0084
3.5380,-2.0584,-2.0584
3.5800,-2.1584,-2.1584
3.6110,-2.2084,-2.2084
3.6510,-2.2584,-2.2584
3.7150,-2.3584,-2.3584
3.7470,-2.4084,-2.4084
3.7800,-2.4584,-2.4584
3.8480,-2.5084,-2.5084
3.8850,-2.6084,-2.6084
3.9180,-2.6584,-2.6584
3.9840,-2.7584,-2.7584
4.0170,-2.8084,-2.8084
4.0510,-2.8584,-2.8584
4.0920,-2.9084,-2.9084
4.1650,-3.0084,-3.0084
4.1960,-3.0584,-3.0584
4.2280,-3.1084,-3.1084
4.2610,-3.1584,-3.1584
4.3340,-3.2084,-3.2084
4.3670,-3.3084,-3.3084
4.4000,-3.3584,-3.3584
4.4330,-3.4084,-3.4084
4.4980,-3.5084,-3.5084
4.5310,-3.5584,-3.5584
4.5640,-3.6084,-3.6084
4.6360,-3.7084,-3.7084
4.6810,-3.7584,-3.7584
4.7110,-3.8084,-3.8084
4.7450,-3.8584,-3.8584
4.8100,-3.9084,-3.9084
4.8420,-4.0084,-4.0084
4.8750,-4.0584,-4.0584
4.9410,-4.1084,-4.1084
4.9740,-4.2084,-4.2084
5.0060,-4.2584,-4.2584
5.1150,-4.3584,-4.3584
5.1530,-4.4584,-4.4584
5.1950,-4.5084,-4.5084
5.2260,-4.5584,-4.5584
5.2920,-4.6584,-4.6584
5.3310,-4.7084,-4.7084
5.3650,-4.7584,-4.7584
5.4310,-4.8584,-4.8584
5.4640,-4.9084,-4.9084
5.4960,-4.9584,-4.9584
5.5620,-5.0084,-5.0084
5.5950,-5.1084,-5.1084
5.6350,-5.1584,-5.1584
5.6660,-5.2084,-5.2084
5.6990,-5.2584,-5.2584
5.7650,-5.3084,-5.3084
5.7980,-5.4084,-5.4084
5.8300,-5.4584,-5.4584
5.8630,-5.5084,-5.5084
5.9280,-5.6084,-5.6084
5.9610,-5.6584,-5.6584
5.9940,-5.7084,-5.7084
6.0590,-5.8084,-5.8084
6.0930,-5.8584,-5.8584
6.1340,-5.9084,-5.9084
6.2090,-5.9584,-5.9584
6.2480,-6.0584,-6.0584
6.2820,-6.1084,-6.1084
6.3150,-6.1584,-6.1584
6.3560,-6.2084,-6.2084
6.3870,-6.2584,-6.2584
6.4530,-6.3584,-6.3584
6.4850,-6.4084,-6.4084
6.5190,-6.4584,-6.4584
6.5830,-6.5584,-6.5584
6.6170,-6.6084,-6.6084
6.6580,-6.6584,-6.6584
6.7340,-6.7584,-6.7584
6.7980,-6.8584,-6.8584
6.8640,-6.9084,-6.9084
6.8960,-6.9584,-6.9584
6.9290,-7.0584,-7.0584
6.9950,-7.1084,-7.1084
7.0270,-7.2084,-7.2084
7.0960,-7.2584,-7.2584
7.1010,-7.3084,-7.3084
7.1730,-7.3584,-7.3584
7.2110,-7.4084,-7.4084
7.2520,-7.5084,-7.5084
7.2830,-7.5584,-7.5584
7.3160,-7.6084,-7.6084
7.3890,-7.7084,-7.7084
7.4220,-7.7584,-7.7584
7.4550,-7.8084,-7.8084
7.5200,-7.8584,-7.8584
7.5530,-7.9084,-7.9084
7.5850,-8.0084,-8.0084
7.6520,-8.0584,-8.0584
7.6930,-8.1084,-8.1084
7.7630,-8.2084,-8.2084
7.7990,-8.3084,-8.3084
7.8320,-8.3584,-8.3584
7.8970,-8.4584,-8.4584
7.9300,-8.5084,-8.5084
7.9620,-8.5584,-8.5584
8.0280,-8.6584,-8.6584
8.0600,-8.7084,-8.7084
8.0930,-8.7584,-8.7584
8.2030,-8.8584,-8.8584
8.2420,-8.9584,-8.9584
8.2820,-9.0084,-9.0084
8.3140,-9.0584,-9.0584
8.3510,-9.1084,-9.1084
8.4190,-9.2084,-9.2084
8.4520,-9.2584,-9.2584
8.4850,-9.3084,-9.3084
8.5500,-9.4084,-9.4084
8.5830,-9.4584,-9.4584
8.6150,-9.5084,-9.5084
8.7210,-9.6084,-9.6084
8.7580,-9.7084,-9.7084
8.8000,-9.7584,-9.7584
8.8630,-9.8084,-9.8084
8.8950,-9.9084,-9.9084
8.9610,-9.9584,-9.9584
8.9930,-10.0584,-10.0584
9.0260,-10.1084,-10.1084
9.0920,-10.1584,-10.1584
9.1240,-10.2584,-10.2584
9.1570,-10.3084,-10.3084
9.2290,-10.3584,-10.3584
9.2740,-10.4084,-10.4084
9.3450,-10.5584,-10.5584
9.3860,-10.6084,-10.6084
9.4180,-10.6584,-10.6584
9.4830,-10.7084,-10.7084
9.5160,-10.8084,-10.8084
9.5490,-10.8584,-10.8584
9.6140,-10.9084,-10.9084
9.6470,-11.0084,-11.0084
9.7220,-11.0584,-11.0584
9.7580,-11.1584,-11.1584
9.7990,-11.2084,-11.2084
9.8630,-11.3084,-11.3084
9.8960,-11.3584,-11.3584
9.9290,-11.4084,-11.4084
9.9940,-11.5084,-11.5084
10.0270,-11.5584,-11.5584
10.0920,-11.6084,-11.6084
10.1260,-11.7084,-11.7084
10.1580,-11.7584,-11.7584
10.2300,-11.8084,-11.8084
10.2660,-11.9084,-11.9084
10.3380,-11.9584,-11.9584
10.4510,-12.1084,-12.1084
10.5220,-12.2584,-12.2584
10.5560,-12.3084,-12.3084
10.5880,-12.3584,-12.3584
10.6540,-12.4584,-12.4584
10.6870,-12.5084,-12.5084
10.7210,-12.5584,-12.5584
10.8310,-12.6584,-12.6584
10.8670,-12.7584,-12.7584
10.9320,-12.8084,-12.8084
10.9660,-12.8584,-12.8584
10.9990,-12.9584,-12.9584
11.0410,-13.0084,-13.0084
11.0730,-13.0584,-13.0584
11.1370,-13.1084,-13.1084
11.1700,-13.2084,-13.2084
11.2030,-13.2584,-13.2584
11.2770,-13.3584,-13.3584
11.3090,-13.4084,-13.4084
11.3490,-13.4584,-13.4584
11.3810,-13.5084,-13.5084
11.4530,-13.5584,-13.5584
11.4860,-13.6084,-13.6084
11.5550,-13.7084,-13.7084
11.5930,-13.8084,-13.8084
11.6290,-13.8584,-13.8584
11.6920,-13.9584,-13.9584
11.7640,-14.0084,-14.0084
11.8410,-14.1584,-14.1584
11.8720,-14.2084,-14.2084
11.9050,-14.2584,-14.2584
11.9700,-14.3584,-14.3584
12.0030,-14.4084,-14.4084
12.0350,-14.4584,-14.4584
12.1020,-14.5584,-14.5584
12.1340,-14.6084,-14.6084
12.1650,-14.6584,-14.6584
12.2320,-14.7584,-14.7584
12.2650,-14.8084,-14.8084
12.3050,-14.8584,-14.8584
12.3750,-14.9084,-14.9084
12.4140,-15.0084,-15.0084
12.4520,-15.0584,-15.0584
12.4840,-15.1085,-15.1084
12.5160,-15.1585,-15.1584
12.5490,-15.2085,-15.2084
12.6510,-15.3085,-15.3084
12.6930,-15.4085,-15.4084
12.7590,-15.5085,-15.5084
12.8010,-15.5585,-15.5584
12.8330,-15.6085,-15.6084
12.8730,-15.6585,-15.6584
12.9040,-15.7085,-15.7084
12.9780,-15.7585,-15.7584
13.0140,-15.8585,-15.8584
13.0530,-15.9085,-15.9084
13.0880,-15.9585,-15.9584
13.1600,-16.0585,-16.0584
13.1930,-16.1085,-16.1084
13.2250,-16.1585,-16.1584
13.3000,-16.2584,-16.2584
13.3710,-16.3084,-16.3084
13.4070,-16.4084,-16.4084
13.4460,-16.4584,-16.4584
13.4800,-16.5084,-16.5084
13.5450,-16.6084,-16.6084
13.5780,-16.6584,-16.6584
13.6100,-16.7084,-16.7084
13.6760,-16.8084,-16.8084
13.7460,-16.8584,-16.8584
13.7850,-16.9584,-16.9584
13.8240,-17.0084,-17.0084
13.8950,-17.0584,-17.0584
13.9310,-17.1584,-17.1584
13.9640,-17.2084,-17.2084
13.9960,-17.2584,-17.2584
