Time_sec,ExpectedPos,ActualPos
0.0000,3.0416,3.0416
0.0520,2.9416,2.9416
0.0860,2.8916,2.8916
0.1260,2.8416,2.8416
0.1790,2.7416,2.7416
0.2140,2.6916,2.6916
0.2540,2.6416,2.6416
0.3090,2.5416,2.5416
0.3420,2.4916,2.4916
0.3830,2.4416,2.4416
0.5130,2.2916,2.2916
0.5650,2.1916,2.1916
0.6020,2.1416,2.1416
0.6420,2.0416,2.0416
0.6950,1.9916,1.9916
0.7300,1.9416,1.9416
0.7690,1.8416,1.8416
0.8220,1.7916,1.7916
0.8560,1.7416,1.7416
0.8960,1.6916,1.6916
0.9490,1.5916,1.5916
0.9820,1.5416,1.5416
1.0220,1.4916,1.4916
1.0750,1.3916,1.3916
1.1100,1.3416,1.3416
1.1490,1.2916,1.2916
1.2030,1.2416,1.2416
1.2360,1.1916,1.1916
1.2770,1.0916,1.0916
1.3310,1.0416,1.0416
1.4620,0.8416,0.8416
1.4960,0.7916,0.7916
1.5350,0.7416,0.7416
1.5880,0.6416,0.6416
1.6290,0.5916,0.5916
1.6710,0.5416,0.5416
1.7250,0.4416,0.4416
1.7610,0.3916,0.3916
1.7990,0.3416,0.3416
1.8520,0.2416,0.2416
1.8860,0.1916,0.1916
1.9260,0.1416,0.1416
1.9800,0.0416,0.0416
2.0140,-0.0084,-0.0084
2.0560,-0.0584,-0.0584
2.1090,-0.1084,-0.1084
2.1420,-0.1584,-0.1584
2.1820,-0.2584,-0.2584
2.2350,-0.3084,-0.3084
2.2690,-0.3584,-0.3584
2.3080,-0.4084,-0.4084
2.3610,-0.5084,-0.5084
2.3970,-0.5584,-0.5584
2.4370,-0.6084,-0.6084
2.4900,-0.7084,-0.7084
2.5240,-0.7584,-0.7584
2.5630,-0.8084,-0.8084
2.6160,-0.8584,-0.8584
2.6500,-0.9584,-0.9584
2.6900,-1.0084,-1.0084
2.7430,-1.0584,-1.0584
2.7770,-1.1584,-1.1584
2.8170,-1.2084,-1.2084
2.8700,-1.2584,-1.2584
2.9030,-1.3084,-1.3084
2.9420,-1.3584,-1.3584
2.9960,-1.4584,-1.4584
3.0300,-1.5084,-1.5084
3.0690,-1.5584,-1.5584
3.1220,-1.6584,-1.6584
3.1550,-1.7084,-1.7084
3.1950,-1.7584,-1.7584
3.2480,-1.8084,-1.8084
3.2820,-1.8584,-1.8584
3.3210,-1.9584,-1.9584
3.3740,-2.0084,-2.0084
3.5030,-2.2084,-2.2084
3.5380,-2.2584,-2.2584
3.5770,-2.3084,-2.3084
3.6300,-2.3584,-2.3584
3.6640,-2.4584,-2.4584
3.7040,-2.5084,-2.5084
3.7570,-2.5584,-2.5584
3.7900,-2.6084,-2.6084
3.8300,-2.7084,-2.7084
3.8830,-2.7584,-2.7584
3.9200,-2.8084,-2.8084
3.9620,-2.9084,-2.9084
4.0130,-2.9584,-2.9584
4.0480,-3.0084,-3.0084
4.0870,-3.0584,-3.0584
4.1400,-3.1584,-3.1584
4.1740,-3.2084,-3.2084
4.2120,-3.2584,-3.2584
4.2650,-3.3584,-3.3584
4.2980,-3.4084,-3.4084
4.3370,-3.4584,-3.4584
4.3920,-3.5584,-3.5584
4.4300,-3.6084,-3.6084
4.4690,-3.6584,-3.6584
4.5230,-3.7084,-3.7084
4.5560,-3.7584,-3.7584
4.5960,-3.8084,-3.8084
4.6480,-3.9084,-3.9084
4.6820,-3.9584,-3.9584
4.7210,-4.0084,-4.0084
4.7740,-4.1084,-4.1084
4.8080,-4.1584,-4.1584
4.8470,-4.2084,-4.2084
4.9010,-4.3084,-4.3084
4.9350,-4.3584,-4.3584
4.9790,-4.4084,-4.4084
5.0310,-4.5084,-4.5084
5.0640,-4.5584,-4.5584
5.1050,-4.6084,-4.6084
5.1570,-4.6584,-4.6584
