utc_iso,unix_ms,received_queue_size
2026-05-23T19:44:33.9119740Z,1779565473911,0
2026-05-23T19:44:34.7444730Z,1779565474744,0
2026-05-23T19:44:34.7945060Z,1779565474794,0
2026-05-23T19:44:34.8360160Z,1779565474836,0
2026-05-23T19:44:34.8739140Z,1779565474873,0
2026-05-23T19:44:34.9171810Z,1779565474917,0
2026-05-23T19:44:34.9526820Z,1779565474952,0
2026-05-23T19:44:34.9922650Z,1779565474992,0
2026-05-23T19:44:35.0330440Z,1779565475033,0
2026-05-23T19:44:35.0688890Z,1779565475068,0
2026-05-23T19:44:35.1049640Z,1779565475104,0
2026-05-23T19:44:35.1417410Z,1779565475141,0
2026-05-23T19:44:35.1785540Z,1779565475178,0
2026-05-23T19:44:35.2153840Z,1779565475215,0
2026-05-23T19:44:35.2525770Z,1779565475252,0
2026-05-23T19:44:35.2890860Z,1779565475289,0
2026-05-23T19:44:35.3262600Z,1779565475326,0
2026-05-23T19:44:35.3632210Z,1779565475363,0
2026-05-23T19:44:35.4007850Z,1779565475400,0
2026-05-23T19:44:35.4436730Z,1779565475443,0
2026-05-23T19:44:35.4871300Z,1779565475487,0
2026-05-23T19:44:35.5229310Z,1779565475522,0
2026-05-23T19:44:35.5593040Z,1779565475559,0
2026-05-23T19:44:35.5963960Z,1779565475596,0
2026-05-23T19:44:35.6333140Z,1779565475633,0
2026-05-23T19:44:35.6700640Z,1779565475670,0
2026-05-23T19:44:35.7055570Z,1779565475705,0
2026-05-23T19:44:35.7427810Z,1779565475742,0
2026-05-23T19:44:35.7789340Z,1779565475778,0
2026-05-23T19:44:35.8158820Z,1779565475815,0
2026-05-23T19:44:35.8527260Z,1779565475852,0
2026-05-23T19:44:35.8889440Z,1779565475888,0
2026-05-23T19:44:35.9329200Z,1779565475932,0
2026-05-23T19:44:35.9691200Z,1779565475969,0
2026-05-23T19:44:36.0079430Z,1779565476007,0
2026-05-23T19:44:36.0448180Z,1779565476044,0
2026-05-23T19:44:36.0808090Z,1779565476080,0
2026-05-23T19:44:36.1299480Z,1779565476129,0
2026-05-23T19:44:36.1342350Z,1779565476134,0
2026-05-23T19:44:36.1669710Z,1779565476166,0
2026-05-23T19:44:36.1998680Z,1779565476199,0
2026-05-23T19:44:36.2325360Z,1779565476232,0
2026-05-23T19:44:36.3071270Z,1779565476307,0
2026-05-23T19:44:36.3121100Z,1779565476312,0
2026-05-23T19:44:36.3432150Z,1779565476343,1
2026-05-23T19:44:36.3754540Z,1779565476375,1
2026-05-23T19:44:36.4078910Z,1779565476407,1
2026-05-23T19:44:36.4400870Z,1779565476440,0
2026-05-23T19:44:36.4805560Z,1779565476480,2
2026-05-23T19:44:36.5181900Z,1779565476518,1
2026-05-23T19:44:36.5842720Z,1779565476584,1
2026-05-23T19:44:36.5879960Z,1779565476587,0
2026-05-23T19:44:36.6214270Z,1779565476621,1
2026-05-23T19:44:36.6547270Z,1779565476654,1
2026-05-23T19:44:36.6867900Z,1779565476686,1
2026-05-23T19:44:36.7192010Z,1779565476719,0
2026-05-23T19:44:36.7514530Z,1779565476751,1
2026-05-23T19:44:36.7836510Z,1779565476783,1
2026-05-23T19:44:36.8153230Z,1779565476815,1
2026-05-23T19:44:36.8477050Z,1779565476847,1
2026-05-23T19:44:36.8797860Z,1779565476879,1
2026-05-23T19:44:36.9121930Z,1779565476912,0
2026-05-23T19:44:36.9444150Z,1779565476944,1
2026-05-23T19:44:37.0158890Z,1779565477015,2
2026-05-23T19:44:37.0198480Z,1779565477019,0
2026-05-23T19:44:37.0898420Z,1779565477089,2
2026-05-23T19:44:37.0937420Z,1779565477093,0
2026-05-23T19:44:37.1255160Z,1779565477125,1
2026-05-23T19:44:37.1575840Z,1779565477157,0
2026-05-23T19:44:37.1898120Z,1779565477189,1
2026-05-23T19:44:37.2252110Z,1779565477225,1
2026-05-23T19:44:37.2537080Z,1779565477253,1
2026-05-23T19:44:37.2860540Z,1779565477286,0
2026-05-23T19:44:37.3183010Z,1779565477318,1
2026-05-23T19:44:37.3501410Z,1779565477350,1
2026-05-23T19:44:37.3824100Z,1779565477382,1
2026-05-23T19:44:37.4142800Z,1779565477414,1
2026-05-23T19:44:37.4468450Z,1779565477446,1
2026-05-23T19:44:37.5193250Z,1779565477519,1
2026-05-23T19:44:37.5292510Z,1779565477529,0
2026-05-23T19:44:37.5641230Z,1779565477564,1
2026-05-23T19:44:37.5994140Z,1779565477599,1
2026-05-23T19:44:37.6340690Z,1779565477634,1
2026-05-23T19:44:37.6704140Z,1779565477670,1
2026-05-23T19:44:37.7029910Z,1779565477702,1
2026-05-23T19:44:37.7365410Z,1779565477736,1
2026-05-23T19:44:37.7696980Z,1779565477769,0
2026-05-23T19:44:37.8030300Z,1779565477803,0
2026-05-23T19:44:37.8354430Z,1779565477835,1
2026-05-23T19:44:37.8685470Z,1779565477868,1
2026-05-23T19:44:37.9001290Z,1779565477900,1
2026-05-23T19:44:37.9328890Z,1779565477932,1
2026-05-23T19:44:37.9655450Z,1779565477965,0
2026-05-23T19:44:38.0378530Z,1779565478037,2
2026-05-23T19:44:38.0420870Z,1779565478042,0
2026-05-23T19:44:38.0767460Z,1779565478076,1
2026-05-23T19:44:38.1455990Z,1779565478145,2
2026-05-23T19:44:38.1491700Z,1779565478149,0
2026-05-23T19:44:38.2161260Z,1779565478216,2
2026-05-23T19:44:38.2205680Z,1779565478220,0
2026-05-23T19:44:38.2626000Z,1779565478262,1
2026-05-23T19:44:38.3066710Z,1779565478306,1
2026-05-23T19:44:38.3441620Z,1779565478344,1
2026-05-23T19:44:38.3804230Z,1779565478380,0
2026-05-23T19:44:38.4142680Z,1779565478414,2
2026-05-23T19:44:38.4474210Z,1779565478447,0
2026-05-23T19:44:38.4809160Z,1779565478480,1
2026-05-23T19:44:38.5147720Z,1779565478514,1
2026-05-23T19:44:38.5925320Z,1779565478592,2
2026-05-23T19:44:38.5964860Z,1779565478596,0
2026-05-23T19:44:38.6429430Z,1779565478642,1
2026-05-23T19:44:38.6869060Z,1779565478686,1
2026-05-23T19:44:38.7324090Z,1779565478732,1
2026-05-23T19:44:38.7664480Z,1779565478766,1
