Time_sec,ExpectedPos,ActualPos
0.0000,2.8916,2.8916
0.0540,2.8416,2.8416
0.0870,2.7916,2.7916
0.1290,2.7416,2.7416
0.1800,2.6416,2.6416
0.3040,2.4916,2.4916
0.3380,2.4416,2.4416
0.3770,2.3916,2.3916
0.4300,2.2916,2.2916
0.4640,2.2416,2.2416
0.5030,2.1916,2.1916
0.5560,2.1416,2.1416
0.5910,2.0916,2.0916
0.6310,2.0416,2.0416
0.6840,1.9416,1.9416
0.7180,1.8916,1.8916
0.7570,1.8416,1.8416
0.8100,1.7916,1.7916
0.8430,1.7416,1.7416
0.8820,1.6916,1.6916
0.9350,1.5916,1.5916
0.9690,1.5416,1.5416
1.0090,1.4916,1.4916
1.0610,1.4416,1.4416
1.0960,1.3916,1.3916
1.1360,1.2916,1.2916
1.1890,1.2416,1.2416
1.2220,1.1916,1.1916
1.2640,1.1416,1.1416
1.3140,1.0916,1.0916
1.3480,1.0416,1.0416
1.3880,0.9916,0.9916
1.4400,0.8916,0.8916
1.4740,0.8416,0.8416
1.5130,0.7916,0.7916
1.5660,0.7416,0.7416
1.6010,0.6916,0.6916
1.6400,0.5916,0.5916
1.6930,0.5416,0.5416
1.7270,0.4916,0.4916
1.7660,0.4416,0.4416
1.9440,0.1916,0.1916
1.9780,0.1416,0.1416
2.0180,0.0916,0.0916
2.0700,0.0416,0.0416
2.1050,-0.0084,-0.0084
2.1440,-0.0584,-0.0584
2.1960,-0.1584,-0.1584
2.2300,-0.2084,-0.2084
2.2680,-0.2584,-0.2584
2.3210,-0.3084,-0.3084
2.3540,-0.3584,-0.3584
2.3960,-0.4084,-0.4084
2.4490,-0.4584,-0.4584
2.5210,-0.6084,-0.6084
2.5720,-0.6584,-0.6584
2.6070,-0.7084,-0.7084
2.6470,-0.7584,-0.7584
2.6980,-0.8584,-0.8584
2.7320,-0.9084,-0.9084
2.8560,-1.0584,-1.0584
2.8960,-1.1084,-1.1084
2.9480,-1.1584,-1.1584
2.9810,-1.2084,-1.2084
3.0200,-1.3084,-1.3084
3.0720,-1.3584,-1.3584
3.1050,-1.4084,-1.4084
3.1440,-1.4584,-1.4584
3.1960,-1.5584,-1.5584
3.2290,-1.6084,-1.6084
3.2680,-1.6584,-1.6584
3.3920,-1.8084,-1.8084
3.4450,-1.8584,-1.8584
3.4780,-1.9084,-1.9084
3.5170,-1.9584,-1.9584
3.5690,-2.0584,-2.0584
3.6020,-2.1084,-2.1084
3.6410,-2.1584,-2.1584
3.6950,-2.2084,-2.2084
3.7300,-2.2584,-2.2584
3.7690,-2.3584,-2.3584
3.8220,-2.4084,-2.4084
3.9460,-2.5584,-2.5584
3.9800,-2.6084,-2.6084
4.0190,-2.6584,-2.6584
4.0710,-2.7584,-2.7584
4.1050,-2.8084,-2.8084
4.1450,-2.8584,-2.8584
4.1970,-2.9584,-2.9584
4.2310,-3.0084,-3.0084
4.2720,-3.0584,-3.0584
4.3300,-3.1084,-3.1084
4.3640,-3.1584,-3.1584
4.4030,-3.2084,-3.2084
4.4880,-3.3084,-3.3084
4.5270,-3.3584,-3.3584
4.5790,-3.4584,-3.4584
4.6120,-3.5084,-3.5084
4.6520,-3.5584,-3.5584
4.7060,-3.6584,-3.6584
4.7390,-3.7084,-3.7084
4.7780,-3.7584,-3.7584
4.9040,-3.9084,-3.9084
5.0310,-4.0584,-4.0584
5.0820,-4.1584,-4.1584
5.1160,-4.2084,-4.2084
5.1560,-4.2584,-4.2584
