seq,cmd_seq_echo,T0_ms,T1_ms,T3_ns,TQ_ms,T4_ns,T6_ms,T7_ms,RTT_ms,Processing_ns,QueueDelay_ms,Network_ms,RenderDelay_ms,MTP_ms,Jitter_ms
180,5,1779564010062,1779564010062,1779564010074,1779564010079,1779564010079,1779564010068,1779564010096,6,0,5,1,28,34,23.4774
181,6,1779564010096,1779564010096,1779564010108,1779564010132,1779564010132,1779564010122,1779564010131,26,0,24,2,9,35,23.1829
182,7,1779564010131,1779564010131,1779564010142,1779564010166,1779564010166,1779564010155,1779564010165,24,0,24,0,10,34,21.7483
183,8,1779564010165,1779564010165,1779564010176,1779564010207,1779564010207,1779564010197,1779564010200,32,0,31,1,3,35,20.7796
184,10,1779564010233,1779564010233,1779564010245,1779564010259,1779564010259,1779564010248,1779564010269,15,0,14,1,21,36,20.5590
187,13,1779564010349,1779564010349,1779564010361,1779564010383,1779564010383,1779564010372,1779564010383,23,0,22,1,11,34,22.4460
188,14,1779564010383,1779564010383,1779564010394,1779564010416,1779564010416,1779564010406,1779564010421,23,0,22,1,15,38,21.3716
189,15,1779564010421,1779564010421,1779564010432,1779564010456,1779564010456,1779564010445,1779564010459,24,0,24,0,14,38,20.1559
190,17,1779564010494,1779564010494,1779564010505,1779564010508,1779564010508,1779564010498,1779564010528,4,0,3,1,30,34,19.8782
191,18,1779564010528,1779564010528,1779564010539,1779564010543,1779564010543,1779564010532,1779564010562,4,0,4,0,30,34,18.6523
192,19,1779564010562,1779564010562,1779564010573,1779564010582,1779564010582,1779564010571,1779564010596,9,0,9,0,25,34,17.7954
193,20,1779564010596,1779564010596,1779564010608,1779564010634,1779564010634,1779564010624,1779564010631,28,0,26,2,7,35,17.7541
194,21,1779564010631,1779564010631,1779564010642,1779564010669,1779564010669,1779564010659,1779564010665,28,0,27,1,6,34,16.7697
195,22,1779564010665,1779564010665,1779564010676,1779564010709,1779564010709,1779564010699,1779564010700,34,0,33,1,1,35,15.9930
196,24,1779564010734,1779564010734,1779564010746,1779564010762,1779564010762,1779564010752,1779564010769,18,0,16,2,17,35,15.9772
197,25,1779564010769,1779564010769,1779564010780,1779564010796,1779564010796,1779564010786,1779564010805,17,0,16,1,19,36,15.1128
198,26,1779564010805,1779564010805,1779564010816,1779564010836,1779564010836,1779564010825,1779564010849,20,0,20,0,24,44,14.4482
199,27,1779564010849,1779564010849,1779564010860,1779564010888,1779564010888,1779564010878,1779564010883,29,0,28,1,5,34,14.7367
200,28,1779564010882,1779564010882,1779564010894,1779564010921,1779564010921,1779564010911,1779564010934,29,0,27,2,23,52,14.5038
201,29,1779564010934,1779564010934,1779564010946,1779564010960,1779564010960,1779564010950,1779564010959,16,0,14,2,9,25,13.9745
202,31,1779564010993,1779564010993,1779564011004,1779564011013,1779564011013,1779564011003,1779564011028,10,0,9,1,25,35,14.0696
203,32,1779564011028,1779564011028,1779564011039,1779564011047,1779564011047,1779564011037,1779564011064,9,0,8,1,27,36,13.2843
204,33,1779564011064,1779564011064,1779564011075,1779564011087,1779564011087,1779564011077,1779564011096,13,0,12,1,19,32,12.8755
205,34,1779564011096,1779564011096,1779564011108,1779564011140,1779564011140,1779564011129,1779564011131,33,0,32,1,2,35,13.2097
206,35,1779564011131,1779564011131,1779564011142,1779564011175,1779564011175,1779564011164,1779564011165,33,0,33,0,1,34,12.4477
207,37,1779564011200,1779564011200,1779564011211,1779564011215,1779564011215,1779564011204,1779564011234,4,0,4,0,30,34,13.4765
208,38,1779564011234,1779564011234,1779564011245,1779564011267,1779564011267,1779564011257,1779564011269,23,0,22,1,12,35,13.7192
209,39,1779564011269,1779564011269,1779564011280,1779564011300,1779564011300,1779564011290,1779564011304,21,0,20,1,14,35,12.9988
210,40,1779564011304,1779564011304,1779564011315,1779564011341,1779564011341,1779564011332,1779564011339,28,0,26,2,7,35,12.5709
211,41,1779564011339,1779564011339,1779564011350,1779564011393,1779564011393,1779564011382,1779564011383,43,0,43,0,1,44,12.2629
212,42,1779564011383,1779564011383,1779564011394,1779564011426,1779564011426,1779564011416,1779564011418,33,0,32,1,2,35,11.5855
213,43,1779564011417,1779564011417,1779564011429,1779564011466,1779564011466,1779564011456,1779564011461,39,0,37,2,5,44,11.0519
214,45,1779564011500,1779564011500,1779564011511,1779564011518,1779564011518,1779564011508,1779564011534,8,0,7,1,26,34,11.7015
215,46,1779564011534,1779564011534,1779564011545,1779564011552,1779564011552,1779564011542,1779564011568,8,0,7,1,26,34,10.9842
216,47,1779564011568,1779564011568,1779564011579,1779564011592,1779564011592,1779564011581,1779564011603,13,0,13,0,22,35,10.6131
217,48,1779564011603,1779564011603,1779564011614,1779564011645,1779564011645,1779564011634,1779564011637,31,0,31,0,3,34,11.1442
218,49,1779564011637,1779564011637,1779564011648,1779564011679,1779564011679,1779564011669,1779564011672,32,0,31,1,3,35,10.4940
219,51,1779564011706,1779564011706,1779564011717,1779564011719,1779564011719,1779564011708,1779564011741,2,0,2,0,33,35,11.6441
220,52,1779564011741,1779564011741,1779564011752,1779564011771,1779564011771,1779564011761,1779564011775,20,0,19,1,14,34,12.0228
221,53,1779564011775,1779564011775,1779564011786,1779564011805,1779564011805,1779564011795,1779564011812,20,0,19,1,17,37,11.4430
222,54,1779564011812,1779564011812,1779564011823,1779564011844,1779564011844,1779564011834,1779564011886,22,0,21,1,52,74,12.9272
226,59,1779564012004,1779564012004,1779564012015,1779564012023,1779564012023,1779564012012,1779564012039,8,0,8,0,27,35,18.3442
227,60,1779564012039,1779564012039,1779564012050,1779564012056,1779564012057,1779564012046,1779564012074,7,1,6,0,28,35,17.2387
228,61,1779564012073,1779564012073,1779564012085,1779564012096,1779564012096,1779564012086,1779564012108,13,0,11,2,22,35,16.4531
229,62,1779564012108,1779564012108,1779564012119,1779564012149,1779564012149,1779564012138,1779564012142,30,0,30,0,4,34,16.5794
230,63,1779564012142,1779564012142,1779564012153,1779564012183,1779564012183,1779564012173,1779564012177,31,0,30,1,4,35,15.5814
231,64,1779564012177,1779564012177,1779564012188,1779564012222,1779564012222,1779564012212,1779564012245,35,0,34,1,33,68,16.4462
232,66,1779564012245,1779564012245,1779564012257,1779564012275,1779564012275,1779564012264,1779564012280,19,0,18,1,16,35,16.5736
233,67,1779564012280,1779564012280,1779564012291,1779564012308,1779564012308,1779564012298,1779564012314,18,0,17,1,16,34,15.6322
234,68,1779564012314,1779564012314,1779564012326,1779564012347,1779564012347,1779564012336,1779564012349,22,0,21,1,13,35,14.9221
