Time_sec,ExpectedPos,ActualPos
0.0000,3.0416,3.0416
0.0390,2.9916,2.9916
0.0950,2.8916,2.8916
0.1280,2.8416,2.8416
0.1680,2.7916,2.7916
0.2260,2.7416,2.7416
0.2610,2.6416,2.6416
0.2990,2.5916,2.5916
0.3550,2.5416,2.5416
0.3890,2.4916,2.4916
0.4280,2.4416,2.4416
0.4840,2.3416,2.3416
0.5230,2.2916,2.2916
0.5570,2.2416,2.2416
0.6160,2.1916,2.1916
0.6500,2.1416,2.1416
0.6900,2.0916,2.0916
0.7450,1.9916,1.9916
0.7780,1.9416,1.9416
0.8170,1.8916,1.8916
0.9050,1.7916,1.7916
0.9430,1.6916,1.6916
0.9990,1.6416,1.6416
1.1270,1.4916,1.4916
1.1600,1.4416,1.4416
1.1990,1.3416,1.3416
1.2540,1.2916,1.2916
1.2870,1.2416,1.2416
1.3260,1.1916,1.1916
1.3820,1.0916,1.0916
1.4150,1.0416,1.0416
1.4550,0.9916,0.9916
1.5860,0.8416,0.8416
1.6410,0.7416,0.7416
1.6750,0.6916,0.6916
1.7150,0.6416,0.6416
1.7700,0.5916,0.5916
1.8030,0.5416,0.5416
1.8430,0.4916,0.4916
1.8980,0.3916,0.3916
1.9320,0.3416,0.3416
1.9710,0.2916,0.2916
2.0260,0.2416,0.2416
2.0610,0.1416,0.1416
2.1010,0.0916,0.0916
2.1580,0.0416,0.0416
2.1920,-0.0084,-0.0084
2.2300,-0.0584,-0.0584
2.2850,-0.1584,-0.1584
2.3580,-0.2084,-0.2084
2.4140,-0.3084,-0.3084
2.4470,-0.3584,-0.3584
2.4850,-0.4084,-0.4084
2.5420,-0.4584,-0.4584
2.5750,-0.5084,-0.5084
2.6140,-0.5584,-0.5584
2.6700,-0.6584,-0.6584
2.7080,-0.7084,-0.7084
2.7480,-0.7584,-0.7584
2.8030,-0.8584,-0.8584
2.8360,-0.9084,-0.9084
2.8760,-0.9584,-0.9584
2.9330,-1.0084,-1.0084
2.9660,-1.0584,-1.0584
3.0050,-1.1084,-1.1084
3.0610,-1.2084,-1.2084
3.2070,-1.3584,-1.3584
3.2270,-1.4084,-1.4084
3.2660,-1.5084,-1.5084
3.3220,-1.5584,-1.5584
3.3570,-1.6084,-1.6084
3.3960,-1.6584,-1.6584
3.4520,-1.7584,-1.7584
3.4850,-1.8084,-1.8084
3.5260,-1.8584,-1.8584
3.5830,-1.9084,-1.9084
3.6590,-2.0084,-2.0084
3.7150,-2.1084,-2.1084
3.7480,-2.1584,-2.1584
3.7870,-2.2084,-2.2084
3.8430,-2.3084,-2.3084
3.8760,-2.3584,-2.3584
3.9150,-2.4084,-2.4084
3.9710,-2.4584,-2.4584
4.0090,-2.5084,-2.5084
4.1370,-2.7084,-2.7084
4.1770,-2.7584,-2.7584
4.2340,-2.8084,-2.8084
4.2700,-2.9084,-2.9084
4.3100,-2.9584,-2.9584
4.3650,-3.0084,-3.0084
4.3990,-3.0584,-3.0584
4.4390,-3.1084,-3.1084
4.4940,-3.2084,-3.2084
4.5270,-3.2584,-3.2584
4.5660,-3.3084,-3.3084
4.6220,-3.3584,-3.3584
4.6560,-3.4084,-3.4084
4.6940,-3.4584,-3.4584
4.7500,-3.5584,-3.5584
4.7830,-3.6084,-3.6084
4.8220,-3.6584,-3.6584
4.8770,-3.7584,-3.7584
4.9480,-3.8584,-3.8584
5.0030,-3.9084,-3.9084
5.0360,-3.9584,-3.9584
5.0760,-4.0084,-4.0084
5.1320,-4.1084,-4.1084
5.1690,-4.1584,-4.1584
5.2080,-4.2084,-4.2084
5.2640,-4.2584,-4.2584
5.2980,-4.3084,-4.3084
5.3370,-4.4084,-4.4084
5.3930,-4.4584,-4.4584
5.4270,-4.5084,-4.5084
5.4680,-4.5584,-4.5584
5.5280,-4.6584,-4.6584
5.7330,-4.9084,-4.9084
5.7900,-5.0084,-5.0084
5.8240,-5.0584,-5.0584
5.8630,-5.1084,-5.1084
5.9200,-5.2084,-5.2084
5.9550,-5.2584,-5.2584
5.9970,-5.3084,-5.3084
6.0520,-5.3584,-5.3584
6.0870,-5.4084,-5.4084
6.1260,-5.4584,-5.4584
6.1810,-5.5584,-5.5584
6.2140,-5.6084,-5.6084
6.2530,-5.6584,-5.6584
6.3080,-5.7084,-5.7084
6.3410,-5.7584,-5.7584
6.3800,-5.8084,-5.8084
6.4360,-5.9084,-5.9084
6.4690,-5.9584,-5.9584
6.5080,-6.0084,-6.0084
6.5630,-6.1084,-6.1084
6.5960,-6.1584,-6.1584
6.6370,-6.2084,-6.2084
6.6920,-6.2584,-6.2584
6.7250,-6.3084,-6.3084
6.7640,-6.3584,-6.3584
6.8200,-6.4584,-6.4584
6.8540,-6.5084,-6.5084
6.8960,-6.5584,-6.5584
6.9510,-6.6084,-6.6084
6.9860,-6.6584,-6.6584
7.0250,-6.7584,-6.7584
7.0820,-6.8084,-6.8084
7.1160,-6.8584,-6.8584
7.1540,-6.9084,-6.9084
7.2100,-7.0084,-7.0084
7.2430,-7.0584,-7.0584
7.2830,-7.1084,-7.1084
7.3410,-7.1584,-7.1584
7.3740,-7.2084,-7.2084
7.4130,-7.2584,-7.2584
7.4680,-7.3584,-7.3584
7.5020,-7.4084,-7.4084
7.5400,-7.4584,-7.4584
7.5950,-7.5584,-7.5584
7.6280,-7.6084,-7.6084
7.6670,-7.6584,-7.6584
7.7940,-7.8084,-7.8084
7.8830,-7.9084,-7.9084
7.9220,-8.0084,-8.0084
7.9780,-8.0584,-8.0584
8.0110,-8.1084,-8.1084
8.0500,-8.1584,-8.1584
8.1050,-8.2584,-8.2584
8.2350,-8.4084,-8.4084
8.2710,-8.4584,-8.4584
8.3110,-8.5084,-8.5084
8.3670,-8.6084,-8.6084
8.4000,-8.6584,-8.6584
8.4380,-8.7084,-8.7084
8.4940,-8.7584,-8.7584
8.5270,-8.8084,-8.8084
8.5670,-8.9084,-8.9084
8.6230,-8.9584,-8.9584
8.6570,-9.0084,-9.0084
8.6980,-9.0584,-9.0584
8.8280,-9.2584,-9.2584
8.8850,-9.3084,-9.3084
8.9210,-9.3584,-9.3584
8.9590,-9.4084,-9.4084
9.0140,-9.5084,-9.5084
9.0470,-9.5584,-9.5584
9.0860,-9.6084,-9.6084
9.1420,-9.7084,-9.7084
9.1750,-9.7584,-9.7584
9.3030,-9.9084,-9.9084
9.3420,-9.9584,-9.9584
9.3980,-10.0584,-10.0584
9.4320,-10.1084,-10.1084
9.4720,-10.1584,-10.1584
9.5280,-10.2084,-10.2084
9.5620,-10.2584,-10.2584
9.6010,-10.3584,-10.3584
9.6570,-10.4084,-10.4084
9.6900,-10.4584,-10.4584
9.7290,-10.5084,-10.5084
9.8560,-10.6584,-10.6584
