seq,cmd_seq_echo,T0_ms,T1_ms,T3_ns,TQ_ms,T4_ns,T6_ms,T7_ms,RTT_ms,Processing_ns,QueueDelay_ms,Network_ms,RenderDelay_ms,MTP_ms,Jitter_ms
176,2,1779564603675,1779564603675,1779564603683,1779564603688,1779564603688,1779564603682,1779564603710,7,0,5,2,28,35,13.1873
177,3,1779564603710,1779564603710,1779564603718,1779564603726,1779564603726,1779564603719,1779564603744,9,0,8,1,25,34,12.5706
178,4,1779564603744,1779564603744,1779564603752,1779564603776,1779564603776,1779564603769,1779564603788,25,0,24,1,19,44,12.1815
179,5,1779564603788,1779564603788,1779564603795,1779564603809,1779564603809,1779564603802,1779564603821,14,0,14,0,19,33,11.4350
180,6,1779564603821,1779564603821,1779564603828,1779564603848,1779564603848,1779564603841,1779564603865,20,0,20,0,24,44,11.0193
181,7,1779564603865,1779564603865,1779564603872,1779564603898,1779564603898,1779564603892,1779564603898,27,0,26,1,6,33,11.3838
182,8,1779564603898,1779564603898,1779564603906,1779564603931,1779564603931,1779564603924,1779564603932,26,0,25,1,8,34,10.7523
183,9,1779564603932,1779564603932,1779564603940,1779564603970,1779564603970,1779564603963,1779564603966,31,0,30,1,3,34,10.3699
184,11,1779564604000,1779564604000,1779564604009,1779564604020,1779564604021,1779564604014,1779564604036,14,1,11,2,22,36,10.8883
185,12,1779564604036,1779564604036,1779564604044,1779564604054,1779564604054,1779564604048,1779564604069,12,0,10,2,21,33,10.2109
186,13,1779564604069,1779564604069,1779564604077,1779564604095,1779564604095,1779564604088,1779564604104,19,0,18,1,16,35,9.9691
188,15,1779564604138,1779564604138,1779564604146,1779564604148,1779564604183,1779564604177,1779564604178,39,35,2,2,1,40,12.1630
189,16,1779564604178,1779564604178,1779564604186,1779564604220,1779564604220,1779564604214,1779564604215,36,0,34,2,1,37,11.4091
190,18,1779564604249,1779564604249,1779564604257,1779564604272,1779564604272,1779564604265,1779564604285,16,0,15,1,20,36,11.8241
191,19,1779564604285,1779564604285,1779564604293,1779564604306,1779564604306,1779564604299,1779564604327,14,0,13,1,28,42,11.6019
193,20,1779564604327,1779564604327,1779564604335,1779564604344,1779564604395,1779564604388,1779564604401,61,51,9,1,13,74,15.4836
194,22,1779564604404,1779564604404,1779564604412,1779564604428,1779564604428,1779564604421,1779564604438,17,0,16,1,17,34,14.7630
195,23,1779564604438,1779564604438,1779564604446,1779564604466,1779564604466,1779564604459,1779564604472,21,0,20,1,13,34,14.0581
196,25,1779564604507,1779564604507,1779564604515,1779564604517,1779564604517,1779564604510,1779564604541,3,0,2,1,31,34,14.2884
197,26,1779564604541,1779564604541,1779564604548,1779564604550,1779564604550,1779564604543,1779564604576,2,0,2,0,33,35,13.4852
198,27,1779564604576,1779564604576,1779564604584,1779564604590,1779564604590,1779564604583,1779564604610,7,0,6,1,27,34,13.0091
199,28,1779564604610,1779564604610,1779564604618,1779564604641,1779564604641,1779564604634,1779564604644,24,0,23,1,10,34,13.2190
200,29,1779564604644,1779564604644,1779564604652,1779564604674,1779564604674,1779564604667,1779564604679,23,0,22,1,12,35,12.4651
201,30,1779564604678,1779564604678,1779564604686,1779564604712,1779564604713,1779564604706,1779564604713,28,1,26,1,7,35,11.9561
203,32,1779564604748,1779564604748,1779564604759,1779564604762,1779564604795,1779564604789,1779564604791,41,33,3,5,2,43,14.1340
204,34,1779564604824,1779564604824,1779564604832,1779564604833,1779564604834,1779564604827,1779564604867,3,1,1,1,40,43,15.5350
205,35,1779564604867,1779564604867,1779564604874,1779564604884,1779564604884,1779564604878,1779564604900,11,0,10,1,22,33,15.6137
206,36,1779564604900,1779564604900,1779564604908,1779564604919,1779564604919,1779564604912,1779564604934,12,0,11,1,22,34,14.6659
207,37,1779564604934,1779564604934,1779564604943,1779564604957,1779564604957,1779564604950,1779564604969,16,0,14,2,19,35,13.9812
208,38,1779564604969,1779564604969,1779564604977,1779564605008,1779564605008,1779564605002,1779564605004,33,0,31,2,2,35,14.1093
209,39,1779564605004,1779564605004,1779564605011,1779564605042,1779564605042,1779564605035,1779564605038,31,0,31,0,3,34,13.2349
210,41,1779564605072,1779564605072,1779564605080,1779564605081,1779564605081,1779564605074,1779564605107,2,0,1,1,33,35,14.3000
211,42,1779564605107,1779564605107,1779564605115,1779564605132,1779564605132,1779564605125,1779564605142,18,0,17,1,17,35,14.4642
212,43,1779564605141,1779564605141,1779564605149,1779564605165,1779564605165,1779564605158,1779564605180,17,0,16,1,22,39,13.9225
213,44,1779564605180,1779564605180,1779564605188,1779564605203,1779564605203,1779564605197,1779564605218,17,0,15,2,21,38,13.0570
214,45,1779564605218,1779564605218,1779564605225,1779564605255,1779564605255,1779564605248,1779564605252,30,0,30,0,4,34,13.3301
215,46,1779564605252,1779564605252,1779564605260,1779564605289,1779564605289,1779564605282,1779564605288,30,0,29,1,6,36,12.6042
216,47,1779564605288,1779564605288,1779564605296,1779564605327,1779564605327,1779564605321,1779564605334,33,0,31,2,13,46,12.3168
218,49,1779564605371,1779564605371,1779564605380,1779564605411,1779564605411,1779564605404,1779564605415,33,0,31,2,11,44,14.6100
219,50,1779564605415,1779564605415,1779564605422,1779564605449,1779564605450,1779564605443,1779564605453,28,1,27,0,10,38,13.7450
221,52,1779564605492,1779564605492,1779564605500,1779564605533,1779564605533,1779564605526,1779564605531,34,0,33,1,5,39,15.7588
222,53,1779564605531,1779564605531,1779564605538,1779564605570,1779564605570,1779564605564,1779564605566,33,0,32,1,2,35,14.8731
223,55,1779564605600,1779564605600,1779564605608,1779564605621,1779564605621,1779564605614,1779564605635,14,0,13,1,21,35,15.0639
