utc_iso,unix_ms,received_queue_size
2026-05-23T19:33:03.1468930Z,1779564783146,0
2026-05-23T19:33:04.0070670Z,1779564784007,0
2026-05-23T19:33:04.0613640Z,1779564784061,0
2026-05-23T19:33:04.1030730Z,1779564784103,0
2026-05-23T19:33:04.1432200Z,1779564784143,0
2026-05-23T19:33:04.1842960Z,1779564784184,0
2026-05-23T19:33:04.2235310Z,1779564784223,0
2026-05-23T19:33:04.2662730Z,1779564784266,0
2026-05-23T19:33:04.3058770Z,1779564784305,0
2026-05-23T19:33:04.3454690Z,1779564784345,0
2026-05-23T19:33:04.3849220Z,1779564784384,0
2026-05-23T19:33:04.4326310Z,1779564784432,0
2026-05-23T19:33:04.4726120Z,1779564784472,0
2026-05-23T19:33:04.5141650Z,1779564784514,0
2026-05-23T19:33:04.5561320Z,1779564784556,0
2026-05-23T19:33:04.5948930Z,1779564784594,0
2026-05-23T19:33:04.6334260Z,1779564784633,0
2026-05-23T19:33:04.6727220Z,1779564784672,0
2026-05-23T19:33:04.7127680Z,1779564784712,0
2026-05-23T19:33:04.7518970Z,1779564784751,0
2026-05-23T19:33:04.7906920Z,1779564784790,0
2026-05-23T19:33:04.8296260Z,1779564784829,0
2026-05-23T19:33:04.8685270Z,1779564784868,0
2026-05-23T19:33:04.9075980Z,1779564784907,0
2026-05-23T19:33:04.9522780Z,1779564784952,0
2026-05-23T19:33:04.9968520Z,1779564784996,0
2026-05-23T19:33:05.0651140Z,1779564785065,0
2026-05-23T19:33:05.0696940Z,1779564785069,0
2026-05-23T19:33:05.1038950Z,1779564785103,0
2026-05-23T19:33:05.1385910Z,1779564785138,0
2026-05-23T19:33:05.1729540Z,1779564785172,0
2026-05-23T19:33:05.2616210Z,1779564785261,0
2026-05-23T19:33:05.2658830Z,1779564785265,1
2026-05-23T19:33:05.3397270Z,1779564785339,2
2026-05-23T19:33:05.3438100Z,1779564785343,0
2026-05-23T19:33:05.3840500Z,1779564785384,0
2026-05-23T19:33:05.4246780Z,1779564785424,2
2026-05-23T19:33:05.5096210Z,1779564785509,2
2026-05-23T19:33:05.5140250Z,1779564785514,0
2026-05-23T19:33:05.5503970Z,1779564785550,1
2026-05-23T19:33:05.5852250Z,1779564785585,1
2026-05-23T19:33:05.6189720Z,1779564785618,0
2026-05-23T19:33:05.6534970Z,1779564785653,1
2026-05-23T19:33:05.6879620Z,1779564785687,1
2026-05-23T19:33:05.7232430Z,1779564785723,1
2026-05-23T19:33:05.7570760Z,1779564785757,1
2026-05-23T19:33:05.7904240Z,1779564785790,1
2026-05-23T19:33:05.8255790Z,1779564785825,0
2026-05-23T19:33:05.8594560Z,1779564785859,1
2026-05-23T19:33:05.8934460Z,1779564785893,1
2026-05-23T19:33:05.9281620Z,1779564785928,1
2026-05-23T19:33:06.0041790Z,1779564786004,2
2026-05-23T19:33:06.0081240Z,1779564786008,0
2026-05-23T19:33:06.0885340Z,1779564786088,2
2026-05-23T19:33:06.0993850Z,1779564786099,0
2026-05-23T19:33:06.1355220Z,1779564786135,1
2026-05-23T19:33:06.1723770Z,1779564786172,1
2026-05-23T19:33:06.2094880Z,1779564786209,1
2026-05-23T19:33:06.2462840Z,1779564786246,1
2026-05-23T19:33:06.2829720Z,1779564786282,1
2026-05-23T19:33:06.3173750Z,1779564786317,1
2026-05-23T19:33:06.3514760Z,1779564786351,0
2026-05-23T19:33:06.3864010Z,1779564786386,1
2026-05-23T19:33:06.4200880Z,1779564786420,1
2026-05-23T19:33:06.4556300Z,1779564786455,1
2026-05-23T19:33:06.4901070Z,1779564786490,1
2026-05-23T19:33:06.5328180Z,1779564786532,1
2026-05-23T19:33:06.6061920Z,1779564786606,1
2026-05-23T19:33:06.6094840Z,1779564786609,1
2026-05-23T19:33:06.6434040Z,1779564786643,1
2026-05-23T19:33:06.6781560Z,1779564786678,0
2026-05-23T19:33:06.7123610Z,1779564786712,1
2026-05-23T19:33:06.7469090Z,1779564786746,1
2026-05-23T19:33:06.7810180Z,1779564786781,1
2026-05-23T19:33:06.8155480Z,1779564786815,1
2026-05-23T19:33:06.8497220Z,1779564786849,1
2026-05-23T19:33:06.8839910Z,1779564786883,1
2026-05-23T19:33:06.9186660Z,1779564786918,0
2026-05-23T19:33:06.9530110Z,1779564786953,1
2026-05-23T19:33:07.0301760Z,1779564787030,2
