utc_iso,unix_ms,seq,cmd_seq_echo,t0_echo,t1_echo,t3_recv,tq_dequeue,t4_physics,t5_send,t6_unity
2026-05-23T19:33:05.2662700Z,1779564785266,1,0,0,0,1779564785268,1779564785269,1779564785269,1779564785269,1779564785264
2026-05-23T19:33:05.3398650Z,1779564785339,2,0,0,0,1779564785268,1779564785269,1779564785302,1779564785302,1779564785335
2026-05-23T19:33:05.3399360Z,1779564785339,3,0,0,0,1779564785268,1779564785269,1779564785341,1779564785341,1779564785335
2026-05-23T19:33:05.4248300Z,1779564785424,4,0,0,0,1779564785268,1779564785269,1779564785392,1779564785392,1779564785419
2026-05-23T19:33:05.4249190Z,1779564785424,5,0,0,0,1779564785268,1779564785269,1779564785425,1779564785425,1779564785419
2026-05-23T19:33:05.5097870Z,1779564785509,6,0,0,0,1779564785268,1779564785269,1779564785463,1779564785463,1779564785508
2026-05-23T19:33:05.5098960Z,1779564785509,7,0,0,0,1779564785268,1779564785269,1779564785514,1779564785514,1779564785508
2026-05-23T19:33:05.5505190Z,1779564785550,8,0,0,0,1779564785268,1779564785269,1779564785547,1779564785547,1779564785541
2026-05-23T19:33:05.5853340Z,1779564785585,9,0,0,0,1779564785268,1779564785269,1779564785585,1779564785585,1779564785579
2026-05-23T19:33:05.6536390Z,1779564785653,10,0,0,0,1779564785268,1779564785269,1779564785635,1779564785635,1779564785629
2026-05-23T19:33:05.6880630Z,1779564785688,11,0,0,0,1779564785268,1779564785269,1779564785668,1779564785668,1779564785662
2026-05-23T19:33:05.7233340Z,1779564785723,12,0,0,0,1779564785268,1779564785269,1779564785708,1779564785708,1779564785702
2026-05-23T19:33:05.7571680Z,1779564785757,13,0,0,0,1779564785268,1779564785269,1779564785760,1779564785760,1779564785754
2026-05-23T19:33:05.7905150Z,1779564785790,14,0,0,0,1779564785268,1779564785269,1779564785795,1779564785795,1779564785789
2026-05-23T19:33:05.8595470Z,1779564785859,15,0,0,0,1779564785268,1779564785269,1779564785835,1779564785835,1779564785830
2026-05-23T19:33:05.8935360Z,1779564785893,16,0,0,0,1779564785268,1779564785269,1779564785888,1779564785888,1779564785882
2026-05-23T19:33:05.9282850Z,1779564785928,17,0,0,0,1779564785268,1779564785269,1779564785920,1779564785920,1779564785914
2026-05-23T19:33:06.0043740Z,1779564786004,18,0,0,0,1779564785268,1779564785269,1779564785958,1779564785958,1779564786002
2026-05-23T19:33:06.0044460Z,1779564786004,19,0,0,0,1779564785268,1779564785269,1779564786008,1779564786008,1779564786002
2026-05-23T19:33:06.0886480Z,1779564786088,20,0,0,0,1779564785268,1779564785269,1779564786041,1779564786041,1779564786072
2026-05-23T19:33:06.0887160Z,1779564786088,21,0,0,0,1779564785268,1779564785269,1779564786078,1779564786078,1779564786072
2026-05-23T19:33:06.1356340Z,1779564786135,22,0,0,0,1779564785268,1779564785269,1779564786128,1779564786128,1779564786122
2026-05-23T19:33:06.1726170Z,1779564786172,23,0,0,0,1779564785268,1779564785269,1779564786161,1779564786161,1779564786155
2026-05-23T19:33:06.2096030Z,1779564786209,24,0,0,0,1779564785268,1779564785269,1779564786199,1779564786199,1779564786193
2026-05-23T19:33:06.2463880Z,1779564786246,25,0,0,0,1779564785268,1779564785269,1779564786250,1779564786250,1779564786244
2026-05-23T19:33:06.2830760Z,1779564786283,26,0,0,0,1779564785268,1779564785269,1779564786283,1779564786283,1779564786276
2026-05-23T19:33:06.3174680Z,1779564786317,27,0,0,0,1779564785268,1779564785269,1779564786321,1779564786321,1779564786315
2026-05-23T19:33:06.3866470Z,1779564786386,28,0,0,0,1779564785268,1779564785269,1779564786371,1779564786371,1779564786365
2026-05-23T19:33:06.4201780Z,1779564786420,29,0,0,0,1779564785268,1779564785269,1779564786404,1779564786404,1779564786398
2026-05-23T19:33:06.4557720Z,1779564786455,30,0,0,0,1779564785268,1779564785269,1779564786442,1779564786442,1779564786436
2026-05-23T19:33:06.4902150Z,1779564786490,31,0,0,0,1779564785268,1779564785269,1779564786493,1779564786493,1779564786489
2026-05-23T19:33:06.5329660Z,1779564786532,32,0,0,0,1779564785268,1779564785269,1779564786527,1779564786527,1779564786521
2026-05-23T19:33:06.6063260Z,1779564786606,33,0,0,0,1779564785268,1779564785269,1779564786565,1779564786565,1779564786559
2026-05-23T19:33:06.6095770Z,1779564786609,34,0,0,0,1779564785268,1779564785269,1779564786615,1779564786615,1779564786609
2026-05-23T19:33:06.6435010Z,1779564786643,35,0,0,0,1779564785268,1779564785269,1779564786648,1779564786648,1779564786642
2026-05-23T19:33:06.7124630Z,1779564786712,36,0,0,0,1779564785268,1779564785269,1779564786685,1779564786685,1779564786679
2026-05-23T19:33:06.7470020Z,1779564786747,37,0,0,0,1779564785268,1779564785269,1779564786734,1779564786734,1779564786728
2026-05-23T19:33:06.7811420Z,1779564786781,38,0,0,0,1779564785268,1779564785269,1779564786766,1779564786766,1779564786760
2026-05-23T19:33:06.8156440Z,1779564786815,39,0,0,0,1779564785268,1779564785269,1779564786805,1779564786805,1779564786799
2026-05-23T19:33:06.8498410Z,1779564786849,40,0,0,0,1779564785268,1779564785269,1779564786854,1779564786855,1779564786849
2026-05-23T19:33:06.8900640Z,1779564786890,41,0,0,0,1779564785268,1779564785269,1779564786887,1779564786887,1779564786881
2026-05-23T19:33:06.9531360Z,1779564786953,42,0,0,0,1779564785268,1779564785269,1779564786924,1779564786924,1779564786918
2026-05-23T19:33:07.0303030Z,1779564787030,43,0,0,0,1779564785268,1779564785269,1779564786975,1779564786975,1779564787002
2026-05-23T19:33:07.0303650Z,1779564787030,44,0,0,0,1779564785268,1779564785269,1779564787008,1779564787008,1779564787002
2026-05-23T19:33:07.0691260Z,1779564787069,45,0,0,0,1779564785268,1779564785269,1779564787048,1779564787048,1779564787042
2026-05-23T19:33:07.1096710Z,1779564787109,46,0,0,0,1779564785268,1779564785269,1779564787099,1779564787099,1779564787093
2026-05-23T19:33:07.1425330Z,1779564787142,47,0,0,0,1779564785268,1779564785269,1779564787132,1779564787132,1779564787126
2026-05-23T19:33:07.1775720Z,1779564787177,48,0,0,0,1779564785268,1779564785269,1779564787172,1779564787172,1779564787166
2026-05-23T19:33:07.2513600Z,1779564787251,49,0,0,0,1779564785268,1779564785269,1779564787223,1779564787223,1779564787250
2026-05-23T19:33:07.2514220Z,1779564787251,50,0,0,0,1779564785268,1779564785269,1779564787256,1779564787256,1779564787250
2026-05-23T19:33:07.3250920Z,1779564787325,51,0,0,0,1779564785268,1779564785269,1779564787296,1779564787296,1779564787290
2026-05-23T19:33:07.3618710Z,1779564787361,52,0,0,0,1779564785268,1779564785269,1779564787347,1779564787347,1779564787341
2026-05-23T19:33:07.3991610Z,1779564787399,53,0,0,0,1779564785268,1779564785269,1779564787379,1779564787379,1779564787373
2026-05-23T19:33:07.4373620Z,1779564787437,54,0,0,0,1779564785268,1779564785269,1779564787417,1779564787417,1779564787411
2026-05-23T19:33:07.4780740Z,1779564787478,55,0,0,0,1779564785268,1779564785269,1779564787471,1779564787472,1779564787466
2026-05-23T19:33:07.5217420Z,1779564787521,56,0,0,0,1779564785268,1779564785269,1779564787506,1779564787506,1779564787500
2026-05-23T19:33:07.5573630Z,1779564787557,57,0,0,0,1779564785268,1779564785269,1779564787547,1779564787547,1779564787541
2026-05-23T19:33:07.5942000Z,1779564787594,58,0,0,0,1779564785268,1779564785269,1779564787598,1779564787598,1779564787592
2026-05-23T19:33:07.6310510Z,1779564787631,59,0,0,0,1779564785268,1779564785269,1779564787631,1779564787631,1779564787625
2026-05-23T19:33:07.6702410Z,1779564787670,60,0,0,0,1779564785268,1779564785269,1779564787669,1779564787669,1779564787663
