timestamp_utc,seq,cmd_seq_echo,has_cmd,server_ts_ms,T0_input_ns,T1_send_ns,T3_isaac_recv_ns,T4_physics_ns,T5_isaac_send_ns,T6_unity_recv_ns,T7_rendered_ns,RTT_ms,Processing_ms,Network_est_ms,RenderDelay_ms,MTP_ms,Jitter_ms,NOTE_clocks
2026-05-23T22:45:13.3589010Z,1,-1,0,1779576313304,0,0,0,1779576313304000000,1779576313304000000,1779576313326000000,1779576313358000000,N/A,N/A,N/A,32.0000,N/A,0.00,T3-T5 on Isaac clock; Network_est approximate
2026-05-23T22:45:13.4251170Z,2,-1,0,1779576313347,0,0,0,1779576313342000000,1779576313347000000,1779576313358000000,1779576313425000000,N/A,N/A,N/A,67.0000,N/A,1.47,T3-T5 on Isaac clock; Network_est approximate
2026-05-23T22:45:13.4301370Z,3,-1,0,1779576313384,0,0,0,1779576313383000000,1779576313384000000,1779576313425000000,1779576313430000000,N/A,N/A,N/A,5.0000,N/A,3.38,T3-T5 on Isaac clock; Network_est approximate
2026-05-23T22:45:13.4962440Z,4,-1,0,1779576313447,0,0,0,1779576313444000000,1779576313447000000,1779576313464000000,1779576313496000000,N/A,N/A,N/A,32.0000,N/A,3.36,T3-T5 on Isaac clock; Network_est approximate
2026-05-23T22:45:13.5362640Z,5,-1,0,1779576313482,0,0,0,1779576313479000000,1779576313482000000,1779576313496000000,1779576313536000000,N/A,N/A,N/A,40.0000,N/A,3.47,T3-T5 on Isaac clock; Network_est approximate
2026-05-23T22:45:13.5670430Z,6,-1,0,1779576313524,0,0,0,1779576313521000000,1779576313524000000,1779576313536000000,1779576313567000000,N/A,N/A,N/A,31.0000,N/A,3.95,T3-T5 on Isaac clock; Network_est approximate
2026-05-23T22:45:13.6365730Z,8,-1,0,1779576313622,0,0,0,1779576313620000000,1779576313622000000,1779576313633000000,1779576313636000000,N/A,N/A,N/A,3.0000,N/A,5.48,T3-T5 on Isaac clock; Network_est approximate
2026-05-23T22:45:13.7020120Z,9,-1,0,1779576313670,0,0,0,1779576313666000000,1779576313670000000,1779576313669000000,1779576313702000000,N/A,N/A,N/A,33.0000,N/A,6.23,T3-T5 on Isaac clock; Network_est approximate
2026-05-23T22:45:13.9410660Z,14,-1,0,1779576313908,0,0,0,1779576313905000000,1779576313908000000,1779576313909000000,1779576313941000000,N/A,N/A,N/A,32.0000,N/A,5.91,T3-T5 on Isaac clock; Network_est approximate
2026-05-23T22:45:14.0040250Z,15,-1,0,1779576313949,0,0,0,1779576313946000000,1779576313949000000,1779576313972000000,1779576314004000000,N/A,N/A,N/A,32.0000,N/A,6.91,T3-T5 on Isaac clock; Network_est approximate
2026-05-23T22:45:14.0674100Z,16,-1,0,1779576314009,0,0,0,1779576314007000000,1779576314009000000,1779576314035000000,1779576314067000000,N/A,N/A,N/A,32.0000,N/A,6.69,T3-T5 on Isaac clock; Network_est approximate
2026-05-23T22:45:14.0996360Z,17,-1,0,1779576314045,0,0,0,1779576314042000000,1779576314045000000,1779576314067000000,1779576314099000000,N/A,N/A,N/A,32.0000,N/A,6.51,T3-T5 on Isaac clock; Network_est approximate
2026-05-23T22:45:14.1418920Z,18,-1,0,1779576314087,0,0,0,1779576314083000000,1779576314087000000,1779576314099000000,1779576314141000000,N/A,N/A,N/A,42.0000,N/A,6.11,T3-T5 on Isaac clock; Network_est approximate
2026-05-23T22:45:14.1858850Z,19,-1,0,1779576314144,0,0,0,1779576314144000000,1779576314144000000,1779576314141000000,1779576314185000000,N/A,N/A,N/A,44.0000,N/A,6.55,T3-T5 on Isaac clock; Network_est approximate
2026-05-23T22:45:14.2335770Z,20,-1,0,1779576314179,0,0,0,1779576314179000000,1779576314179000000,1779576314185000000,1779576314233000000,N/A,N/A,N/A,48.0000,N/A,6.94,T3-T5 on Isaac clock; Network_est approximate
2026-05-23T22:45:14.2658910Z,21,-1,0,1779576314225,0,0,0,1779576314221000000,1779576314225000000,1779576314233000000,1779576314265000000,N/A,N/A,N/A,32.0000,N/A,7.36,T3-T5 on Isaac clock; Network_est approximate
2026-05-23T22:45:14.3491810Z,22,-1,0,1779576314282,0,0,0,1779576314282000000,1779576314282000000,1779576314308000000,1779576314349000000,N/A,N/A,N/A,41.0000,N/A,8.20,T3-T5 on Isaac clock; Network_est approximate
2026-05-23T22:45:14.3835660Z,23,-1,0,1779576314318,0,0,0,1779576314317000000,1779576314318000000,1779576314349000000,1779576314383000000,N/A,N/A,N/A,34.0000,N/A,7.93,T3-T5 on Isaac clock; Network_est approximate
2026-05-23T22:45:14.4210170Z,24,-1,0,1779576314360,0,0,0,1779576314358000000,1779576314360000000,1779576314383000000,1779576314421000000,N/A,N/A,N/A,38.0000,N/A,7.72,T3-T5 on Isaac clock; Network_est approximate
2026-05-23T22:45:14.4557160Z,25,-1,0,1779576314422,0,0,0,1779576314419000000,1779576314422000000,1779576314420000000,1779576314455000000,N/A,N/A,N/A,35.0000,N/A,8.94,T3-T5 on Isaac clock; Network_est approximate
2026-05-23T22:45:14.5349810Z,26,-1,0,1779576314453,0,0,0,1779576314453000000,1779576314453000000,1779576314455000000,1779576314534000000,N/A,N/A,N/A,79.0000,N/A,11.40,T3-T5 on Isaac clock; Network_est approximate
2026-05-23T22:45:14.5434940Z,27,-1,0,1779576314496,0,0,0,1779576314494000000,1779576314496000000,1779576314534000000,1779576314543000000,N/A,N/A,N/A,9.0000,N/A,12.84,T3-T5 on Isaac clock; Network_est approximate
2026-05-23T22:45:14.6296340Z,28,-1,0,1779576314558,0,0,0,1779576314555000000,1779576314558000000,1779576314587000000,1779576314629000000,N/A,N/A,N/A,42.0000,N/A,13.54,T3-T5 on Isaac clock; Network_est approximate
2026-05-23T22:45:14.6547700Z,29,-1,0,1779576314594,0,0,0,1779576314590000000,1779576314594000000,1779576314629000000,1779576314654000000,N/A,N/A,N/A,25.0000,N/A,13.37,T3-T5 on Isaac clock; Network_est approximate
2026-05-23T22:45:14.7281990Z,30,-1,0,1779576314636,0,0,0,1779576314631000000,1779576314636000000,1779576314654000000,1779576314728000000,N/A,N/A,N/A,74.0000,N/A,14.50,T3-T5 on Isaac clock; Network_est approximate
2026-05-23T22:45:14.7341480Z,32,-1,0,1779576314729,0,0,0,1779576314728000000,1779576314729000000,1779576314728000000,1779576314734000000,N/A,N/A,N/A,6.0000,N/A,19.03,T3-T5 on Isaac clock; Network_est approximate
2026-05-23T22:45:14.8434680Z,34,-1,0,1779576314834,0,0,0,1779576314832000000,1779576314834000000,1779576314839000000,1779576314843000000,N/A,N/A,N/A,4.0000,N/A,18.11,T3-T5 on Isaac clock; Network_est approximate
2026-05-23T22:45:14.9326360Z,35,-1,0,1779576314870,0,0,0,1779576314866000000,1779576314870000000,1779576314885000000,1779576314932000000,N/A,N/A,N/A,47.0000,N/A,20.30,T3-T5 on Isaac clock; Network_est approximate
2026-05-23T22:45:14.9799760Z,36,-1,0,1779576314912,0,0,0,1779576314908000000,1779576314912000000,1779576314932000000,1779576314979000000,N/A,N/A,N/A,47.0000,N/A,19.36,T3-T5 on Isaac clock; Network_est approximate
2026-05-23T22:45:15.0247270Z,37,-1,0,1779576314974,0,0,0,1779576314970000000,1779576314974000000,1779576314979000000,1779576315024000000,N/A,N/A,N/A,45.0000,N/A,19.23,T3-T5 on Isaac clock; Network_est approximate
