seq,cmd_seq_echo,T0_ms,T1_ms,T3_ms,TQ_ms,T4_ms,T6_ms,T7_ms,RTT_ms,Processing_ms,QueueDelay_ms,Network_ms,RenderDelay_ms,MTP_ms,Jitter_ms
104,3,1779576509568,1779576509568,1779576509572,1779576509584,1779576509584,1779576509604,1779576509641,36,0,12,24,37,73,30.1021
105,4,1779576509604,1779576509604,1779576509609,1779576509622,1779576509622,1779576509641,1779576509677,37,0,13,24,36,73,28.2278
106,5,1779576509641,1779576509641,1779576509646,1779576509665,1779576509665,1779576509677,1779576509712,36,0,19,17,35,71,27.2571
107,7,1779576509712,1779576509712,1779576509717,1779576509728,1779576509728,1779576509746,1779576509818,34,0,11,23,72,106,28.4941
109,8,1779576509746,1779576509746,1779576509751,1779576509764,1779576509806,1779576509818,1779576509823,72,42,13,17,5,77,31.3107
110,11,1779576509856,1779576509856,1779576509860,1779576509868,1779576509869,1779576509897,1779576509928,41,1,8,32,31,72,31.9189
111,12,1779576509896,1779576509896,1779576509901,1779576509904,1779576509904,1779576509928,1779576509961,32,0,3,29,33,65,30.2651
112,13,1779576509928,1779576509928,1779576509932,1779576509947,1779576509947,1779576509961,1779576509995,33,0,15,18,34,67,28.8763
113,15,1779576509993,1779576509993,1779576509998,1779576510011,1779576510011,1779576510026,1779576510061,33,0,13,20,35,68,27.4062
114,16,1779576510026,1779576510026,1779576510031,1779576510046,1779576510046,1779576510061,1779576510099,35,0,15,20,38,73,25.7737
115,17,1779576510061,1779576510061,1779576510065,1779576510091,1779576510091,1779576510099,1779576510131,38,0,26,12,32,70,24.9267
116,19,1779576510131,1779576510131,1779576510135,1779576510153,1779576510153,1779576510167,1779576510197,36,0,18,18,30,66,23.5541
117,20,1779576510167,1779576510167,1779576510172,1779576510188,1779576510188,1779576510197,1779576510229,30,0,16,14,32,62,22.3176
118,21,1779576510197,1779576510197,1779576510201,1779576510230,1779576510230,1779576510262,1779576510334,65,0,29,36,72,137,24.8048
120,23,1779576510262,1779576510262,1779576510267,1779576510292,1779576510326,1779576510334,1779576510339,72,34,25,13,5,77,28.8344
121,25,1779576510338,1779576510338,1779576510343,1779576510369,1779576510369,1779576510371,1779576510411,33,0,26,7,40,73,28.8512
122,27,1779576510411,1779576510411,1779576510415,1779576510430,1779576510430,1779576510442,1779576510511,31,0,15,16,69,100,29.4023
124,28,1779576510442,1779576510442,1779576510446,1779576510467,1779576510508,1779576510511,1779576510514,69,41,21,7,3,72,32.2160
125,31,1779576510547,1779576510547,1779576510552,1779576510570,1779576510570,1779576510581,1779576510614,34,0,18,16,33,67,32.5794
126,32,1779576510581,1779576510581,1779576510586,1779576510604,1779576510604,1779576510614,1779576510647,33,0,18,15,33,66,30.5669
