utc_iso,unix_ms,seq,cmd_seq_echo,t0_echo,t1_echo,t3_recv,tq_dequeue,t4_physics,t5_send,t6_unity
2026-05-23T22:48:24.9549520Z,1779576504954,3,-1,0,0,0,0,1779576504915,1779576504915,1779576504923
2026-05-23T22:48:24.9887110Z,1779576504988,4,-1,0,0,0,0,1779576504956,1779576504957,1779576504955
2026-05-23T22:48:25.0886450Z,1779576505088,5,-1,0,0,0,0,1779576505018,1779576505021,1779576505022
2026-05-23T22:48:25.1027190Z,1779576505102,6,-1,0,0,0,0,1779576505052,1779576505053,1779576505098
2026-05-23T22:48:25.1347020Z,1779576505134,7,-1,0,0,0,0,1779576505092,1779576505095,1779576505102
2026-05-23T22:48:25.2494190Z,1779576505249,8,-1,0,0,0,0,1779576505154,1779576505157,1779576505179
2026-05-23T22:48:25.2529650Z,1779576505252,10,-1,0,0,0,0,1779576505230,1779576505230,1779576505249
2026-05-23T22:48:25.3480460Z,1779576505348,11,-1,0,0,0,0,1779576505290,1779576505292,1779576505316
2026-05-23T22:48:25.3797210Z,1779576505379,12,-1,0,0,0,0,1779576505325,1779576505329,1779576505348
2026-05-23T22:48:25.4112030Z,1779576505411,13,-1,0,0,0,0,1779576505365,1779576505370,1779576505379
2026-05-23T22:48:25.4745760Z,1779576505474,14,-1,0,0,0,0,1779576505427,1779576505430,1779576505443
2026-05-23T22:48:25.5061900Z,1779576505506,15,-1,0,0,0,0,1779576505461,1779576505461,1779576505474
2026-05-23T22:48:25.5379260Z,1779576505537,16,-1,0,0,0,0,1779576505502,1779576505504,1779576505506
2026-05-23T22:48:25.6013840Z,1779576505601,17,-1,0,0,0,0,1779576505563,1779576505565,1779576505569
2026-05-23T22:48:25.6334210Z,1779576505633,18,-1,0,0,0,0,1779576505597,1779576505600,1779576505601
2026-05-23T22:48:25.7058420Z,1779576505705,19,-1,0,0,0,0,1779576505639,1779576505641,1779576505665
2026-05-23T22:48:25.7378570Z,1779576505737,20,-1,0,0,0,0,1779576505702,1779576505704,1779576505705
2026-05-23T22:48:25.7774220Z,1779576505777,21,-1,0,0,0,0,1779576505737,1779576505740,1779576505737
2026-05-23T22:48:25.8403090Z,1779576505840,22,-1,0,0,0,0,1779576505779,1779576505782,1779576505808
2026-05-23T22:48:25.8715750Z,1779576505871,23,-1,0,0,0,0,1779576505841,1779576505844,1779576505842
2026-05-23T22:48:25.9034830Z,1779576505903,24,-1,0,0,0,0,1779576505875,1779576505876,1779576505876
2026-05-23T22:48:26.0033480Z,1779576506003,25,-1,0,0,0,0,1779576505916,1779576505918,1779576505935
2026-05-23T22:48:26.0078500Z,1779576506007,26,-1,0,0,0,0,1779576505977,1779576505980,1779576506003
2026-05-23T22:48:26.0711110Z,1779576506071,27,-1,0,0,0,0,1779576506013,1779576506016,1779576506039
2026-05-23T22:48:26.1027970Z,1779576506102,28,-1,0,0,0,0,1779576506055,1779576506058,1779576506071
2026-05-23T22:48:26.1666720Z,1779576506166,29,-1,0,0,0,0,1779576506117,1779576506121,1779576506134
