Time_sec,ExpectedPos,ActualPos
0.0000,3.0416,3.0416
0.0340,2.9916,2.9916
0.1100,2.9416,2.9416
0.1880,2.8416,2.8416
0.2660,2.6916,2.6916
0.2980,2.6416,2.6416
0.3310,2.5916,2.5916
0.3970,2.4916,2.4916
0.4280,2.4416,2.4416
0.4930,2.3916,2.3916
0.5320,2.2916,2.2916
0.5640,2.2416,2.2416
0.5970,2.1916,2.1916
0.6700,2.0916,2.0916
0.7020,2.0416,2.0416
0.7440,1.9916,1.9916
0.8070,1.8916,1.8916
0.8390,1.8416,1.8416
0.8720,1.7916,1.7916
0.9370,1.6916,1.6916
0.9720,1.6416,1.6416
1.0360,1.5416,1.5416
1.0680,1.4916,1.4916
1.1340,1.3916,1.3916
1.2160,1.3416,1.3416
1.2610,1.2416,1.2416
1.2930,1.1916,1.1916
1.3590,1.0916,1.0916
1.3920,1.0416,1.0416
1.4250,0.9916,0.9916
1.4900,0.8916,0.8916
1.5220,0.8416,0.8416
1.5550,0.7916,0.7916
1.6210,0.6916,0.6916
1.6540,0.6416,0.6416
1.6950,0.5916,0.5916
1.7600,0.4916,0.4916
1.8010,0.4416,0.4416
1.8310,0.3916,0.3916
1.8970,0.2916,0.2916
1.9300,0.2416,0.2416
1.9950,0.1416,0.1416
2.0610,0.0916,0.0916
2.0930,-0.0084,-0.0084
2.1270,-0.0584,-0.0584
2.2000,-0.1584,-0.1584
2.3140,-0.2584,-0.2584
2.3520,-0.3584,-0.3584
2.3850,-0.4084,-0.4084
2.4510,-0.5084,-0.5084
2.4930,-0.5584,-0.5584
2.5170,-0.6084,-0.6084
2.5820,-0.7084,-0.7084
2.6150,-0.7584,-0.7584
2.7200,-0.8584,-0.8584
2.7560,-0.9584,-0.9584
2.7980,-1.0084,-1.0084
2.8620,-1.1084,-1.1084
2.8940,-1.1584,-1.1584
2.9270,-1.2084,-1.2084
2.9920,-1.3084,-1.3084
3.0250,-1.3584,-1.3584
3.0900,-1.4084,-1.4084
3.1240,-1.5084,-1.5084
3.1570,-1.5584,-1.5584
3.2280,-1.6084,-1.6084
3.2660,-1.7084,-1.7084
3.3080,-1.7584,-1.7584
3.3440,-1.8084,-1.8084
3.4450,-1.9084,-1.9084
3.4830,-2.0084,-2.0084
3.5540,-2.1084,-2.1084
3.5860,-2.1584,-2.1584
3.6190,-2.2084,-2.2084
3.7230,-2.3084,-2.3084
3.7600,-2.4084,-2.4084
3.8320,-2.4584,-2.4584
3.8640,-2.5084,-2.5084
3.8970,-2.6084,-2.6084
3.9620,-2.7084,-2.7084
3.9950,-2.7584,-2.7584
4.0280,-2.8084,-2.8084
4.0930,-2.9084,-2.9084
4.1260,-2.9584,-2.9584
4.1580,-3.0084,-3.0084
4.2250,-3.1084,-3.1084
4.2650,-3.1584,-3.1584
4.3450,-3.2084,-3.2084
4.3830,-3.3084,-3.3084
4.4490,-3.4084,-3.4084
4.5140,-3.4584,-3.4584
4.5470,-3.5584,-3.5584
4.5790,-3.6084,-3.6084
4.6450,-3.7084,-3.7084
4.6780,-3.7584,-3.7584
4.7500,-3.8084,-3.8084
4.7870,-3.9084,-3.9084
4.8280,-3.9584,-3.9584
4.8590,-4.0084,-4.0084
4.9240,-4.1084,-4.1084
4.9560,-4.1584,-4.1584
4.9890,-4.2084,-4.2084
5.0540,-4.3084,-4.3084
5.0870,-4.3584,-4.3584
5.1190,-4.4084,-4.4084
5.1850,-4.5084,-4.5084
5.2180,-4.5584,-4.5584
5.2520,-4.6084,-4.6084
5.3710,-4.7084,-4.7084
5.4060,-4.8084,-4.8084
5.4750,-4.8584,-4.8584
5.4800,-4.9084,-4.9084
5.5490,-5.0084,-5.0084
5.5830,-5.0584,-5.0584
5.6480,-5.1584,-5.1584
5.6800,-5.2084,-5.2084
5.7470,-5.3084,-5.3084
5.7880,-5.3584,-5.3584
5.8190,-5.4084,-5.4084
5.8940,-5.5084,-5.5084
5.9570,-5.6084,-5.6084
6.0230,-5.6584,-5.6584
6.0560,-5.7584,-5.7584
6.0890,-5.8084,-5.8084
6.1540,-5.9084,-5.9084
6.1880,-5.9584,-5.9584
6.2200,-6.0084,-6.0084
6.2950,-6.1084,-6.1084
6.3320,-6.1584,-6.1584
6.3740,-6.2084,-6.2084
6.4050,-6.2584,-6.2584
6.4700,-6.3084,-6.3084
6.5390,-6.4084,-6.4084
6.5770,-6.5084,-6.5084
6.6440,-6.6084,-6.6084
6.7090,-6.6584,-6.6584
6.7420,-6.7584,-6.7584
6.8130,-6.8084,-6.8084
