utc_iso,unix_ms,seq,cmd_seq_echo,t0_echo,t1_echo,t3_recv,tq_dequeue,t4_physics,t5_send,t6_unity
2026-05-23T22:18:42.1464090Z,1779574722146,3,-1,0,0,0,0,1779574722086,1779574722089,1779574722105
2026-05-23T22:18:42.2231200Z,1779574722223,4,-1,0,0,0,0,1779574722147,1779574722149,1779574722147
2026-05-23T22:18:42.2298000Z,1779574722229,6,-1,0,0,0,0,1779574722224,1779574722227,1779574722223
2026-05-23T22:18:42.3248970Z,1779574722324,7,-1,0,0,0,0,1779574722284,1779574722284,1779574722293
2026-05-23T22:18:42.3566130Z,1779574722356,8,-1,0,0,0,0,1779574722318,1779574722321,1779574722324
2026-05-23T22:18:42.4226410Z,1779574722422,9,-1,0,0,0,0,1779574722359,1779574722362,1779574722356
2026-05-23T22:18:42.4261410Z,1779574722426,10,-1,0,0,0,0,1779574722420,1779574722425,1779574722422
2026-05-23T22:18:42.4894570Z,1779574722489,11,-1,0,0,0,0,1779574722454,1779574722456,1779574722457
2026-05-23T22:18:42.5527510Z,1779574722552,12,-1,0,0,0,0,1779574722495,1779574722499,1779574722520
2026-05-23T22:18:42.5847280Z,1779574722584,13,-1,0,0,0,0,1779574722555,1779574722556,1779574722552
2026-05-23T22:18:42.6176800Z,1779574722617,14,-1,0,0,0,0,1779574722589,1779574722592,1779574722584
2026-05-23T22:18:42.6895270Z,1779574722689,15,-1,0,0,0,0,1779574722630,1779574722633,1779574722658
2026-05-23T22:18:42.7301590Z,1779574722730,16,-1,0,0,0,0,1779574722691,1779574722694,1779574722689
2026-05-23T22:18:42.7609060Z,1779574722760,17,-1,0,0,0,0,1779574722725,1779574722725,1779574722730
2026-05-23T22:18:42.7925630Z,1779574722792,18,-1,0,0,0,0,1779574722766,1779574722767,1779574722760
2026-05-23T22:18:42.8562820Z,1779574722856,19,-1,0,0,0,0,1779574722826,1779574722829,1779574722824
2026-05-23T22:18:42.9192660Z,1779574722919,20,-1,0,0,0,0,1779574722860,1779574722865,1779574722887
2026-05-23T22:18:42.9509440Z,1779574722950,21,-1,0,0,0,0,1779574722901,1779574722906,1779574722919
2026-05-23T22:18:43.0144350Z,1779574723014,22,-1,0,0,0,0,1779574722962,1779574722963,1779574722982
2026-05-23T22:18:43.0461720Z,1779574723046,23,-1,0,0,0,0,1779574722996,1779574722999,1779574723016
2026-05-23T22:18:43.0777450Z,1779574723077,24,-1,0,0,0,0,1779574723036,1779574723041,1779574723050
2026-05-23T22:18:43.1503060Z,1779574723150,25,-1,0,0,0,0,1779574723097,1779574723098,1779574723109
2026-05-23T22:18:43.1921650Z,1779574723192,26,-1,0,0,0,0,1779574723132,1779574723135,1779574723150
2026-05-23T22:18:43.2316170Z,1779574723231,27,-1,0,0,0,0,1779574723174,1779574723176,1779574723192
2026-05-23T22:18:43.2972780Z,1779574723297,28,-1,0,0,0,0,1779574723234,1779574723239,1779574723231
2026-05-23T22:18:43.3000690Z,1779574723300,29,-1,0,0,0,0,1779574723270,1779574723275,1779574723297
2026-05-23T22:18:43.3633880Z,1779574723363,30,-1,0,0,0,0,1779574723312,1779574723317,1779574723332
2026-05-23T22:18:43.4267060Z,1779574723426,31,-1,0,0,0,0,1779574723373,1779574723378,1779574723395
2026-05-23T22:18:43.4588790Z,1779574723458,32,-1,0,0,0,0,1779574723410,1779574723410,1779574723426
2026-05-23T22:18:43.4903510Z,1779574723490,33,-1,0,0,0,0,1779574723450,1779574723450,1779574723458
2026-05-23T22:18:43.5618640Z,1779574723561,34,-1,0,0,0,0,1779574723511,1779574723512,1779574723530
2026-05-23T22:18:43.5939110Z,1779574723593,35,-1,0,0,0,0,1779574723545,1779574723548,1779574723561
2026-05-23T22:18:43.6273690Z,1779574723627,36,-1,0,0,0,0,1779574723586,1779574723590,1779574723594
2026-05-23T22:18:43.6997870Z,1779574723699,37,-1,0,0,0,0,1779574723647,1779574723652,1779574723668
2026-05-23T22:18:43.7409200Z,1779574723740,38,-1,0,0,0,0,1779574723682,1779574723683,1779574723700
2026-05-23T22:18:43.7717950Z,1779574723771,39,-1,0,0,0,0,1779574723722,1779574723725,1779574723740
2026-05-23T22:18:43.8352680Z,1779574723835,40,-1,0,0,0,0,1779574723782,1779574723786,1779574723803
2026-05-23T22:18:43.8667390Z,1779574723866,41,-1,0,0,0,0,1779574723818,1779574723818,1779574723835
2026-05-23T22:18:43.8984680Z,1779574723898,42,-1,0,0,0,0,1779574723859,1779574723860,1779574723866
2026-05-23T22:18:43.9616980Z,1779574723961,43,-1,0,0,0,0,1779574723920,1779574723921,1779574723929
2026-05-23T22:18:43.9933610Z,1779574723993,44,-1,0,0,0,0,1779574723954,1779574723958,1779574723961
2026-05-23T22:18:44.0252890Z,1779574724025,45,-1,0,0,0,0,1779574723994,1779574723998,1779574723993
2026-05-23T22:18:44.0883430Z,1779574724088,46,-1,0,0,0,0,1779574724055,1779574724055,1779574724056
2026-05-23T22:18:44.1207840Z,1779574724120,47,-1,0,0,0,0,1779574724089,1779574724092,1779574724088
2026-05-23T22:18:44.1932010Z,1779574724193,48,-1,0,0,0,0,1779574724130,1779574724134,1779574724161
2026-05-23T22:18:44.2325460Z,1779574724232,49,-1,0,0,0,0,1779574724191,1779574724191,1779574724193
2026-05-23T22:18:44.3970340Z,1779574724397,53,-1,0,0,0,0,1779574724377,1779574724379,1779574724393
2026-05-23T22:18:44.4604100Z,1779574724460,54,-1,0,0,0,0,1779574724420,1779574724422,1779574724428
2026-05-23T22:18:44.5237520Z,1779574724523,55,-1,0,0,0,0,1779574724488,1779574724490,1779574724491
2026-05-23T22:18:44.5556090Z,1779574724555,56,-1,0,0,0,0,1779574724522,1779574724527,1779574724523
2026-05-23T22:18:44.6190510Z,1779574724619,57,-1,0,0,0,0,1779574724564,1779574724568,1779574724587
2026-05-23T22:18:44.6611160Z,1779574724661,58,-1,0,0,0,0,1779574724624,1779574724626,1779574724619
2026-05-23T22:18:44.6930690Z,1779574724693,59,-1,0,0,0,0,1779574724658,1779574724663,1779574724661
2026-05-23T22:18:44.7638320Z,1779574724763,60,-1,0,0,0,0,1779574724700,1779574724704,1779574724732
2026-05-23T22:18:44.7954510Z,1779574724795,61,-1,0,0,0,0,1779574724762,1779574724766,1779574724763
