utc_iso,unix_ms,seq,cmd_seq_echo,t0_echo,t1_echo,t3_recv,tq_dequeue,t4_physics,t5_send,t6_unity
2026-05-23T22:37:46.7055000Z,1779575866705,2,-1,0,0,0,0,1779575866653,1779575866654,1779575866673
2026-05-23T22:37:46.7367670Z,1779575866736,3,-1,0,0,0,0,1779575866695,1779575866696,1779575866706
2026-05-23T22:37:46.8385440Z,1779575866838,4,-1,0,0,0,0,1779575866757,1779575866759,1779575866770
2026-05-23T22:37:46.8417010Z,1779575866841,6,-1,0,0,0,0,1779575866835,1779575866837,1779575866838
2026-05-23T22:37:46.9764740Z,1779575866976,7,-1,0,0,0,0,1779575866896,1779575866900,1779575866905
2026-05-23T22:37:47.0204510Z,1779575867020,8,-1,0,0,0,0,1779575866936,1779575866942,1779575866976
2026-05-23T22:37:47.0238110Z,1779575867023,9,-1,0,0,0,0,1779575866979,1779575866984,1779575867020
2026-05-23T22:37:47.0869710Z,1779575867086,10,-1,0,0,0,0,1779575867041,1779575867041,1779575867055
2026-05-23T22:37:47.1187350Z,1779575867118,11,-1,0,0,0,0,1779575867076,1779575867078,1779575867087
2026-05-23T22:37:47.1503380Z,1779575867150,12,-1,0,0,0,0,1779575867119,1779575867120,1779575867118
2026-05-23T22:37:47.2175230Z,1779575867217,13,-1,0,0,0,0,1779575867181,1779575867183,1779575867186
2026-05-23T22:37:47.2491940Z,1779575867249,14,-1,0,0,0,0,1779575867217,1779575867219,1779575867217
2026-05-23T22:37:47.3126980Z,1779575867312,15,-1,0,0,0,0,1779575867260,1779575867261,1779575867280
2026-05-23T22:37:47.3756300Z,1779575867375,16,-1,0,0,0,0,1779575867322,1779575867324,1779575867343
2026-05-23T22:37:47.4075480Z,1779575867407,17,-1,0,0,0,0,1779575867357,1779575867360,1779575867375
2026-05-23T22:37:47.4786300Z,1779575867478,18,-1,0,0,0,0,1779575867399,1779575867401,1779575867407
2026-05-23T22:37:47.7469310Z,1779575867746,24,-1,0,0,0,0,1779575867708,1779575867712,1779575867712
2026-05-23T22:37:47.8156140Z,1779575867815,25,-1,0,0,0,0,1779575867770,1779575867773,1779575867781
2026-05-23T22:37:47.8542900Z,1779575867854,26,-1,0,0,0,0,1779575867806,1779575867810,1779575867815
2026-05-23T22:37:47.9492580Z,1779575867949,27,-1,0,0,0,0,1779575867849,1779575867851,1779575867854
2026-05-23T22:37:47.9530350Z,1779575867953,29,-1,0,0,0,0,1779575867946,1779575867951,1779575867949
2026-05-23T22:37:48.0981660Z,1779575868098,30,-1,0,0,0,0,1779575867988,1779575867992,1779575868024
2026-05-23T22:37:48.1024790Z,1779575868102,32,-1,0,0,0,0,1779575868087,1779575868090,1779575868098
2026-05-23T22:37:48.1698530Z,1779575868169,33,-1,0,0,0,0,1779575868130,1779575868131,1779575868137
2026-05-23T22:37:48.2390930Z,1779575868239,34,-1,0,0,0,0,1779575868192,1779575868193,1779575868201
2026-05-23T22:37:48.2779090Z,1779575868277,35,-1,0,0,0,0,1779575868228,1779575868229,1779575868239
2026-05-23T22:37:48.3130930Z,1779575868313,36,-1,0,0,0,0,1779575868272,1779575868276,1779575868277
2026-05-23T22:37:48.3812760Z,1779575868381,37,-1,0,0,0,0,1779575868334,1779575868339,1779575868344
2026-05-23T22:37:48.4127270Z,1779575868412,38,-1,0,0,0,0,1779575868371,1779575868376,1779575868381
2026-05-23T22:37:48.4778890Z,1779575868477,39,-1,0,0,0,0,1779575868414,1779575868417,1779575868444
2026-05-23T22:37:48.5186110Z,1779575868518,40,-1,0,0,0,0,1779575868476,1779575868476,1779575868477
2026-05-23T22:37:48.5499260Z,1779575868549,41,-1,0,0,0,0,1779575868514,1779575868517,1779575868518
2026-05-23T22:37:48.6218370Z,1779575868621,42,-1,0,0,0,0,1779575868557,1779575868560,1779575868590
2026-05-23T22:37:48.6850700Z,1779575868685,43,-1,0,0,0,0,1779575868624,1779575868628,1779575868653
2026-05-23T22:37:48.7165230Z,1779575868716,44,-1,0,0,0,0,1779575868665,1779575868665,1779575868685
2026-05-23T22:37:48.7486730Z,1779575868748,45,-1,0,0,0,0,1779575868707,1779575868708,1779575868716
2026-05-23T22:37:48.8114170Z,1779575868811,46,-1,0,0,0,0,1779575868770,1779575868773,1779575868779
2026-05-23T22:37:48.8746790Z,1779575868874,47,-1,0,0,0,0,1779575868810,1779575868816,1779575868843
2026-05-23T22:37:48.9061420Z,1779575868906,48,-1,0,0,0,0,1779575868854,1779575868857,1779575868874
2026-05-23T22:37:48.9717440Z,1779575868971,49,-1,0,0,0,0,1779575868918,1779575868919,1779575868938
2026-05-23T22:37:49.0602180Z,1779575869060,50,-1,0,0,0,0,1779575868956,1779575868956,1779575868971
2026-05-23T22:37:49.0638180Z,1779575869063,51,-1,0,0,0,0,1779575869000,1779575869004,1779575869060
2026-05-23T22:37:49.0956640Z,1779575869095,52,-1,0,0,0,0,1779575869064,1779575869067,1779575869063
2026-05-23T22:37:49.1587340Z,1779575869158,53,-1,0,0,0,0,1779575869103,1779575869103,1779575869127
2026-05-23T22:37:49.1953470Z,1779575869195,54,-1,0,0,0,0,1779575869143,1779575869145,1779575869158
2026-05-23T22:37:49.2581150Z,1779575869258,55,-1,0,0,0,0,1779575869207,1779575869212,1779575869226
2026-05-23T22:37:49.2897150Z,1779575869289,56,-1,0,0,0,0,1779575869244,1779575869249,1779575869258
2026-05-23T22:37:49.3214390Z,1779575869321,57,-1,0,0,0,0,1779575869288,1779575869290,1779575869289
2026-05-23T22:37:49.3843740Z,1779575869384,58,-1,0,0,0,0,1779575869353,1779575869353,1779575869353
2026-05-23T22:37:49.4505320Z,1779575869450,59,-1,0,0,0,0,1779575869390,1779575869394,1779575869416
2026-05-23T22:37:49.4866200Z,1779575869486,60,-1,0,0,0,0,1779575869439,1779575869441,1779575869450
2026-05-23T22:37:49.6013940Z,1779575869601,61,-1,0,0,0,0,1779575869497,1779575869499,1779575869528
2026-05-23T22:37:49.6059330Z,1779575869605,63,-1,0,0,0,0,1779575869579,1779575869581,1779575869601
2026-05-23T22:37:49.6754720Z,1779575869675,64,-1,0,0,0,0,1779575869642,1779575869643,1779575869641
2026-05-23T22:37:49.7382900Z,1779575869738,65,-1,0,0,0,0,1779575869678,1779575869681,1779575869706
2026-05-23T22:37:49.7728470Z,1779575869772,66,-1,0,0,0,0,1779575869720,1779575869723,1779575869738
2026-05-23T22:37:49.8566800Z,1779575869856,67,-1,0,0,0,0,1779575869782,1779575869785,1779575869810
2026-05-23T22:37:49.8930390Z,1779575869893,68,-1,0,0,0,0,1779575869818,1779575869822,1779575869857
2026-05-23T22:37:49.9267860Z,1779575869926,69,-1,0,0,0,0,1779575869859,1779575869864,1779575869893
2026-05-23T22:37:49.9653810Z,1779575869965,70,-1,0,0,0,0,1779575869920,1779575869921,1779575869926
2026-05-23T22:37:50.0016070Z,1779575870001,71,-1,0,0,0,0,1779575869956,1779575869957,1779575869965
2026-05-23T22:37:50.0754030Z,1779575870075,72,-1,0,0,0,0,1779575870000,1779575870005,1779575870001
2026-05-23T22:37:50.1351850Z,1779575870135,73,-1,0,0,0,0,1779575870063,1779575870064,1779575870075
2026-05-23T22:37:50.1390840Z,1779575870139,74,-1,0,0,0,0,1779575870099,1779575870101,1779575870135
2026-05-23T22:37:50.2334900Z,1779575870233,75,-1,0,0,0,0,1779575870143,1779575870148,1779575870185
2026-05-23T22:37:50.2807210Z,1779575870280,76,-1,0,0,0,0,1779575870205,1779575870209,1779575870233
2026-05-23T22:37:50.3267420Z,1779575870326,77,-1,0,0,0,0,1779575870242,1779575870246,1779575870280
2026-05-23T22:37:50.3698360Z,1779575870369,78,-1,0,0,0,0,1779575870283,1779575870288,1779575870326
2026-05-23T22:37:50.4177220Z,1779575870417,79,-1,0,0,0,0,1779575870345,1779575870349,1779575870369
2026-05-23T22:37:50.4669120Z,1779575870466,80,-1,0,0,0,0,1779575870381,1779575870385,1779575870417
2026-05-23T22:37:50.5134120Z,1779575870513,81,-1,0,0,0,0,1779575870424,1779575870426,1779575870466
2026-05-23T22:37:50.5555110Z,1779575870555,82,-1,0,0,0,0,1779575870486,1779575870489,1779575870513
2026-05-23T22:37:50.6405030Z,1779575870640,83,-1,0,0,0,0,1779575870521,1779575870525,1779575870555
2026-05-23T22:37:50.6442350Z,1779575870644,85,-1,0,0,0,0,1779575870628,1779575870629,1779575870640
2026-05-23T22:37:50.7133680Z,1779575870713,86,-1,0,0,0,0,1779575870663,1779575870666,1779575870679
2026-05-23T22:37:50.7457670Z,1779575870745,87,-1,0,0,0,0,1779575870707,1779575870708,1779575870713
2026-05-23T22:37:50.8094470Z,1779575870809,88,-1,0,0,0,0,1779575870770,1779575870770,1779575870777
2026-05-23T22:37:50.8412830Z,1779575870841,89,-1,0,0,0,0,1779575870805,1779575870807,1779575870809
2026-05-23T22:37:50.9044380Z,1779575870904,90,-1,0,0,0,0,1779575870847,1779575870849,1779575870872
2026-05-23T22:37:50.9680780Z,1779575870968,91,-1,0,0,0,0,1779575870909,1779575870911,1779575870936
2026-05-23T22:37:51.0002020Z,1779575871000,92,-1,0,0,0,0,1779575870947,1779575870948,1779575870968
2026-05-23T22:37:51.0412080Z,1779575871041,93,-1,0,0,0,0,1779575870988,1779575870990,1779575871000
2026-05-23T22:37:51.1213360Z,1779575871121,95,-1,0,0,0,0,1779575871087,1779575871088,1779575871086
2026-05-23T22:37:51.2345670Z,1779575871234,96,-1,0,0,0,0,1779575871128,1779575871131,1779575871161
2026-05-23T22:37:51.2382920Z,1779575871238,98,-1,0,0,0,0,1779575871225,1779575871230,1779575871234
2026-05-23T22:37:51.3841310Z,1779575871384,100,-1,0,0,0,0,1779575871328,1779575871330,1779575871336
2026-05-23T22:37:51.3950730Z,1779575871395,101,-1,0,0,0,0,1779575871363,1779575871366,1779575871384
2026-05-23T22:37:51.4656690Z,1779575871465,102,-1,0,0,0,0,1779575871407,1779575871409,1779575871429
2026-05-23T22:37:51.5491150Z,1779575871549,104,-1,0,0,0,0,1779575871504,1779575871507,1779575871507
2026-05-23T22:37:51.5907990Z,1779575871590,105,-1,0,0,0,0,1779575871547,1779575871549,1779575871549
2026-05-23T22:37:51.6571300Z,1779575871657,106,-1,0,0,0,0,1779575871609,1779575871611,1779575871624
2026-05-23T22:37:51.6900830Z,1779575871690,107,-1,0,0,0,0,1779575871645,1779575871647,1779575871657
2026-05-23T22:37:51.7225950Z,1779575871722,108,-1,0,0,0,0,1779575871687,1779575871688,1779575871690
2026-05-23T22:37:51.7875900Z,1779575871787,109,-1,0,0,0,0,1779575871748,1779575871751,1779575871755
2026-05-23T22:37:51.8201690Z,1779575871820,110,-1,0,0,0,0,1779575871785,1779575871787,1779575871787
2026-05-23T22:37:51.8861360Z,1779575871886,111,-1,0,0,0,0,1779575871826,1779575871828,1779575871853
2026-05-23T22:37:51.9516520Z,1779575871951,112,-1,0,0,0,0,1779575871888,1779575871890,1779575871918
2026-05-23T22:37:51.9859000Z,1779575871985,113,-1,0,0,0,0,1779575871923,1779575871927,1779575871951
2026-05-23T22:37:52.0229010Z,1779575872022,114,-1,0,0,0,0,1779575871965,1779575871969,1779575871986
