timestamp_utc,channel_label,channel_state,bytesSent,bytesReceived,messagesSent,messagesReceived,delta_bytesSent,delta_bytesReceived,delta_msgsSent,delta_msgsRecv,throughput_send_kbps,throughput_recv_kbps,transport_bytesSent,transport_bytesRecv,transport_throughput_send_kbps,transport_throughput_recv_kbps,ice_rtt_ms,ice_availableOutBitrate_kbps
2026-05-23T22:37:47.6803640Z,commands,open,0,0,0,0,0,0,0,0,0.00,0.00,0,0,N/A,N/A,1.00,0.00
2026-05-23T22:37:47.6803640Z,robot_state,open,0,3339,0,18,0,3339,0,18,0.00,26.71,0,0,N/A,N/A,1.00,0.00
2026-05-23T22:37:48.7488640Z,commands,open,0,0,0,0,0,0,0,0,0.00,0.00,0,0,N/A,N/A,1.00,0.00
2026-05-23T22:37:48.7488640Z,robot_state,open,0,8175,0,44,0,4836,0,26,0.00,38.69,0,0,N/A,N/A,1.00,0.00
2026-05-23T22:37:49.8567460Z,commands,open,0,0,0,0,0,0,0,0,0.00,0.00,0,0,N/A,N/A,1.00,0.00
2026-05-23T22:37:49.8567460Z,robot_state,open,0,12267,0,66,0,4092,0,22,0.00,32.74,0,0,N/A,N/A,1.00,0.00
2026-05-23T22:37:50.9360010Z,commands,open,0,0,0,0,0,0,0,0,0.00,0.00,0,0,N/A,N/A,1.00,0.00
2026-05-23T22:37:50.9360010Z,robot_state,open,0,16731,0,90,0,4464,0,24,0.00,35.71,0,0,N/A,N/A,1.00,0.00
2026-05-23T22:37:52.0229760Z,commands,open,0,0,0,0,0,0,0,0,0.00,0.00,0,0,N/A,N/A,0.00,0.00
2026-05-23T22:37:52.0229760Z,robot_state,open,0,21023,0,113,0,4292,0,23,0.00,34.34,0,0,N/A,N/A,0.00,0.00
2026-05-23T22:37:53.1584460Z,commands,open,1371,0,20,0,1371,0,20,0,10.97,0.00,0,0,N/A,N/A,0.00,0.00
2026-05-23T22:37:53.1584460Z,robot_state,open,0,26107,0,136,0,5084,0,23,0.00,40.67,0,0,N/A,N/A,0.00,0.00
2026-05-23T22:37:54.2613240Z,commands,open,3648,0,53,0,2277,0,33,0,18.22,0.00,0,0,N/A,N/A,1.00,0.00
2026-05-23T22:37:54.2613240Z,robot_state,open,0,32275,0,161,0,6168,0,25,0.00,49.34,0,0,N/A,N/A,1.00,0.00
2026-05-23T22:37:55.3277170Z,commands,open,5787,0,84,0,2139,0,31,0,17.11,0.00,0,0,N/A,N/A,1.00,0.00
2026-05-23T22:37:55.3277170Z,robot_state,open,0,37693,0,183,0,5418,0,22,0.00,43.34,0,0,N/A,N/A,1.00,0.00
2026-05-23T22:37:56.4192920Z,commands,open,8012,0,116,0,2225,0,32,0,17.80,0.00,0,0,N/A,N/A,1.00,0.00
2026-05-23T22:37:56.4192920Z,robot_state,open,0,43351,0,206,0,5658,0,23,0.00,45.26,0,0,N/A,N/A,1.00,0.00
2026-05-23T22:37:57.4851150Z,commands,open,10182,0,147,0,2170,0,31,0,17.36,0.00,0,0,N/A,N/A,1.00,0.00
2026-05-23T22:37:57.4851150Z,robot_state,open,0,48797,0,228,0,5446,0,22,0.00,43.57,0,0,N/A,N/A,1.00,0.00
2026-05-23T22:37:58.5770290Z,commands,open,12422,0,179,0,2240,0,32,0,17.92,0.00,0,0,N/A,N/A,1.00,0.00
2026-05-23T22:37:58.5770290Z,robot_state,open,0,54729,0,252,0,5932,0,24,0.00,47.46,0,0,N/A,N/A,1.00,0.00
2026-05-23T22:37:59.6590140Z,commands,open,14592,0,210,0,2170,0,31,0,17.36,0.00,0,0,N/A,N/A,2.00,0.00
2026-05-23T22:37:59.6590140Z,robot_state,open,0,60169,0,274,0,5440,0,22,0.00,43.52,0,0,N/A,N/A,2.00,0.00
2026-05-23T22:38:00.7265490Z,commands,open,16762,0,241,0,2170,0,31,0,17.36,0.00,0,0,N/A,N/A,2.00,0.00
2026-05-23T22:38:00.7265490Z,robot_state,open,0,65847,0,297,0,5678,0,23,0.00,45.42,0,0,N/A,N/A,2.00,0.00
2026-05-23T22:38:01.8287920Z,commands,open,19002,0,273,0,2240,0,32,0,17.92,0.00,0,0,N/A,N/A,1.00,0.00
2026-05-23T22:38:01.8287920Z,robot_state,open,0,71565,0,320,0,5718,0,23,0.00,45.74,0,0,N/A,N/A,1.00,0.00
2026-05-23T22:38:02.9296070Z,commands,open,21242,0,305,0,2240,0,32,0,17.92,0.00,0,0,N/A,N/A,1.00,0.00
2026-05-23T22:38:02.9296070Z,robot_state,open,0,77495,0,344,0,5930,0,24,0.00,47.44,0,0,N/A,N/A,1.00,0.00
2026-05-23T22:38:03.9671730Z,commands,open,23342,0,335,0,2100,0,30,0,16.80,0.00,0,0,N/A,N/A,1.00,0.00
2026-05-23T22:38:03.9671730Z,robot_state,open,0,82936,0,366,0,5441,0,22,0.00,43.53,0,0,N/A,N/A,1.00,0.00
2026-05-23T22:38:05.0605340Z,commands,open,25582,0,367,0,2240,0,32,0,17.92,0.00,0,0,N/A,N/A,1.00,0.00
2026-05-23T22:38:05.0605340Z,robot_state,open,0,88628,0,389,0,5692,0,23,0.00,45.54,0,0,N/A,N/A,1.00,0.00
2026-05-23T22:38:06.1539340Z,commands,open,27822,0,399,0,2240,0,32,0,17.92,0.00,0,0,N/A,N/A,1.00,0.00
2026-05-23T22:38:06.1539340Z,robot_state,open,0,94584,0,413,0,5956,0,24,0.00,47.65,0,0,N/A,N/A,1.00,0.00
2026-05-23T22:38:07.2794300Z,commands,open,29922,0,429,0,2100,0,30,0,16.80,0.00,0,0,N/A,N/A,1.00,0.00
2026-05-23T22:38:07.2794300Z,robot_state,open,0,100263,0,436,0,5679,0,23,0.00,45.43,0,0,N/A,N/A,1.00,0.00
2026-05-23T22:38:08.3498340Z,commands,open,32162,0,461,0,2240,0,32,0,17.92,0.00,0,0,N/A,N/A,1.00,0.00
2026-05-23T22:38:08.3498340Z,robot_state,open,0,105955,0,459,0,5692,0,23,0.00,45.54,0,0,N/A,N/A,1.00,0.00
2026-05-23T22:38:09.4276630Z,commands,open,34402,0,493,0,2240,0,32,0,17.92,0.00,0,0,N/A,N/A,1.00,0.00
2026-05-23T22:38:09.4276630Z,robot_state,open,0,111674,0,482,0,5719,0,23,0.00,45.75,0,0,N/A,N/A,1.00,0.00
2026-05-23T22:38:10.5186750Z,commands,open,36642,0,525,0,2240,0,32,0,17.92,0.00,0,0,N/A,N/A,1.00,0.00
2026-05-23T22:38:10.5186750Z,robot_state,open,0,117408,0,505,0,5734,0,23,0.00,45.87,0,0,N/A,N/A,1.00,0.00
