t3_recv,tq_dequeue,cmd_seq,t0,t1,action_type,action_data
1779558526256,1779558526284,1,1779558526247,1779558526247,delta,"0,0.05"
1779558526260,1779558526284,2,1779558526247,1779558526252,delta,"0,0.05"
1779558526292,1779558526317,3,1779558526247,1779558526284,delta,"0,0.05"
1779558526324,1779558526355,4,1779558526247,1779558526316,delta,"0,0.05"
1779558526356,1779558526405,5,1779558526247,1779558526348,delta,"0,0.05"
1779558526389,1779558526405,6,1779558526247,1779558526381,delta,"0,0.05"
1779558526421,1779558526438,7,1779558526247,1779558526413,delta,"0,0.05"
1779558526453,1779558526476,8,1779558526247,1779558526445,delta,"0,0.05"
1779558526485,1779558526526,9,1779558526247,1779558526477,delta,"0,0.05"
1779558526518,1779558526526,10,1779558526247,1779558526509,delta,"0,0.05"
1779558526549,1779558526559,11,1779558526247,1779558526541,delta,"0,0.05"
1779558526581,1779558526597,12,1779558526247,1779558526573,delta,"0,0.05"
1779558526613,1779558526648,13,1779558526247,1779558526605,delta,"0,0.05"
1779558526646,1779558526648,14,1779558526247,1779558526638,delta,"0,0.05"
1779558526689,1779558526718,15,1779558526247,1779558526680,delta,"0,0.05"
1779558526721,1779558526769,16,1779558526247,1779558526713,delta,"0,0.05"
1779558526760,1779558526769,17,1779558526247,1779558526752,delta,"0,0.05"
1779558526791,1779558526803,18,1779558526247,1779558526783,delta,"0,0.05"
1779558526823,1779558526841,19,1779558526247,1779558526815,delta,"0,0.05"
1779558526855,1779558526891,20,1779558526247,1779558526847,delta,"0,0.05"
1779558526888,1779558526891,21,1779558526247,1779558526879,delta,"0,0.05"
1779558526920,1779558526925,22,1779558526247,1779558526912,delta,"0,0.05"
1779558526952,1779558526963,23,1779558526247,1779558526944,delta,"0,0.05"
1779558526984,1779558527014,24,1779558526247,1779558526976,delta,"0,0.05"
1779558527017,1779558527047,25,1779558526247,1779558527008,delta,"0,0.05"
1779558527048,1779558527085,26,1779558526247,1779558527040,delta,"0,0.05"
1779558527081,1779558527085,27,1779558526247,1779558527073,delta,"0,0.05"
1779558527113,1779558527134,28,1779558526247,1779558527105,delta,"0,0.05"
1779558527145,1779558527166,29,1779558526247,1779558527137,delta,"0,0.05"
1779558527216,1779558527253,30,1779558526247,1779558527208,delta,"0,0.05"
1779558527221,1779558527253,31,1779558526247,1779558527213,delta,"0,0.05"
1779558527253,1779558527253,32,1779558526247,1779558527244,delta,"0,0.05"
1779558527293,1779558527323,33,1779558526247,1779558527285,delta,"0,0.05"
1779558527325,1779558527373,34,1779558526247,1779558527317,delta,"0,0.05"
1779558527357,1779558527373,35,1779558526247,1779558527349,delta,"0,0.05"
1779558527391,1779558527405,36,1779558526247,1779558527382,delta,"0,0.05"
1779558527422,1779558527443,37,1779558526247,1779558527414,delta,"0,0.05"
1779558527454,1779558527494,38,1779558526247,1779558527446,delta,"0,0.05"
1779558527486,1779558527494,39,1779558526247,1779558527478,delta,"0,0.05"
1779558527518,1779558527527,40,1779558526247,1779558527510,delta,"0,0.05"
1779558527551,1779558527566,41,1779558526247,1779558527543,delta,"0,0.05"
1779558527582,1779558527616,42,1779558526247,1779558527574,delta,"0,0.05"
1779558527615,1779558527616,43,1779558526247,1779558527606,delta,"0,0.05"
1779558527647,1779558527649,44,1779558526247,1779558527639,delta,"0,0.05"
1779558527719,1779558527735,45,1779558526247,1779558527711,delta,"0,0.05"
1779558527723,1779558527735,46,1779558526247,1779558527715,delta,"0,0.05"
1779558527756,1779558527768,47,1779558526247,1779558527747,delta,"0,0.05"
1779558527796,1779558527805,48,1779558526247,1779558527788,delta,"0,0.05"
