t3_recv,tq_dequeue,cmd_seq,t0,t1,action_type,action_data
1779559638993,1779559639009,,,,unknown,"{""handshake"": 1}"
1779559641291,1779559641330,1,1779559641281,1779559641281,delta,"0,0.05"
1779559641295,1779559641330,2,1779559641286,1779559641286,delta,"0,0.05"
1779559641329,1779559641330,3,1779559641320,1779559641320,delta,"0,0.05"
1779559641372,1779559641402,4,1779559641363,1779559641363,delta,"0,0.05"
1779559641445,1779559641456,5,1779559641435,1779559641435,delta,"0,0.05"
1779559641450,1779559641456,6,1779559641441,1779559641441,delta,"0,0.05"
1779559641484,1779559641488,7,1779559641474,1779559641474,delta,"0,0.05"
1779559641519,1779559641526,8,1779559641509,1779559641509,delta,"0,0.05"
1779559641553,1779559641580,9,1779559641544,1779559641544,delta,"0,0.05"
1779559641587,1779559641614,10,1779559641578,1779559641578,delta,"0,0.05"
1779559641622,1779559641653,11,1779559641612,1779559641612,delta,"0,0.05"
1779559641656,1779559641708,12,1779559641646,1779559641646,delta,"0,0.05"
1779559641691,1779559641708,13,1779559641681,1779559641681,delta,"0,0.05"
1779559641725,1779559641742,14,1779559641715,1779559641715,delta,"0,0.05"
1779559641759,1779559641781,15,1779559641750,1779559641750,delta,"0,0.05"
1779559641794,1779559641836,16,1779559641784,1779559641784,delta,"0,0.05"
1779559641829,1779559641836,17,1779559641820,1779559641820,delta,"0,0.05"
1779559641863,1779559641872,18,1779559641854,1779559641854,delta,"0,0.05"
1779559641906,1779559641910,19,1779559641897,1779559641897,delta,"0,0.05"
1779559641981,1779559641998,20,1779559641971,1779559641971,delta,"0,0.05"
1779559641985,1779559641998,21,1779559641975,1779559641975,delta,"0,0.05"
1779559642019,1779559642036,22,1779559642009,1779559642009,delta,"0,0.05"
1779559642053,1779559642090,23,1779559642044,1779559642044,delta,"0,0.05"
1779559642087,1779559642090,24,1779559642078,1779559642078,delta,"0,0.05"
1779559642122,1779559642123,25,1779559642113,1779559642113,delta,"0,0.05"
1779559642156,1779559642161,26,1779559642147,1779559642147,delta,"0,0.05"
1779559642191,1779559642220,27,1779559642181,1779559642181,delta,"0,0.05"
1779559642225,1779559642253,28,1779559642215,1779559642215,delta,"0,0.05"
1779559642259,1779559642292,29,1779559642250,1779559642250,delta,"0,0.05"
1779559642294,1779559642346,30,1779559642284,1779559642284,delta,"0,0.05"
1779559642329,1779559642346,31,1779559642319,1779559642319,delta,"0,0.05"
1779559642405,1779559642418,32,1779559642395,1779559642395,delta,"0,0.05"
1779559642410,1779559642418,33,1779559642401,1779559642401,delta,"0,0.05"
1779559642444,1779559642473,34,1779559642435,1779559642435,delta,"0,0.05"
1779559642487,1779559642507,35,1779559642477,1779559642477,delta,"0,0.05"
1779559642520,1779559642545,36,1779559642511,1779559642511,delta,"0,0.05"
1779559642554,1779559642599,37,1779559642545,1779559642545,delta,"0,0.05"
1779559642588,1779559642599,38,1779559642579,1779559642579,delta,"0,0.05"
