t3_recv,tq_dequeue,cmd_seq,t0,t1,action_type,action_data
1779561909845,1779561909868,1,1779561909829,1779561909829,delta,"0,0.05"
1779561909849,1779561909868,2,1779561909829,1779561909834,delta,"0,0.05"
1779561909890,1779561909918,3,1779561909829,1779561909875,delta,"0,0.05"
1779561909931,1779561909952,4,1779561909829,1779561909916,delta,"0,0.05"
1779561909971,1779561909990,5,1779561909829,1779561909956,delta,"0,0.05"
1779561910013,1779561910039,6,1779561909829,1779561909998,delta,"0,0.05"
1779561910053,1779561910073,7,1779561909829,1779561910039,delta,"0,0.05"
1779561910097,1779561910111,8,1779561909829,1779561910082,delta,"0,0.05"
1779561910137,1779561910160,9,1779561909829,1779561910122,delta,"0,0.05"
1779561910173,1779561910193,10,1779561909829,1779561910159,delta,"0,0.05"
1779561910220,1779561910231,11,1779561909829,1779561910205,delta,"0,0.05"
1779561910254,1779561910281,12,1779561909829,1779561910239,delta,"0,0.05"
1779561910289,1779561910314,13,1779561909829,1779561910274,delta,"0,0.05"
1779561910330,1779561910351,14,1779561909829,1779561910315,delta,"0,0.05"
1779561910368,1779561910402,15,1779561909829,1779561910353,delta,"0,0.05"
1779561910406,1779561910436,16,1779561909829,1779561910391,delta,"0,0.05"
1779561910438,1779561910475,17,1779561909829,1779561910423,delta,"0,0.05"
1779561910470,1779561910475,18,1779561909829,1779561910455,delta,"0,0.05"
1779561910502,1779561910525,19,1779561909829,1779561910487,delta,"0,0.05"
1779561910534,1779561910559,20,1779561909829,1779561910519,delta,"0,0.05"
1779561910567,1779561910597,21,1779561909829,1779561910552,delta,"0,0.05"
1779561910599,1779561910647,22,1779561909829,1779561910584,delta,"0,0.05"
1779561910631,1779561910647,23,1779561909829,1779561910616,delta,"0,0.05"
1779561910664,1779561910680,24,1779561909829,1779561910649,delta,"0,0.05"
1779561910713,1779561910718,25,1779561909829,1779561910698,delta,"0,0.05"
1779561910746,1779561910769,26,1779561909829,1779561910731,delta,"0,0.05"
1779561910790,1779561910802,27,1779561909829,1779561910775,delta,"0,0.05"
1779561910828,1779561910840,28,1779561909829,1779561910813,delta,"0,0.05"
1779561910869,1779561910891,29,1779561909829,1779561910854,delta,"0,0.05"
1779561910911,1779561910924,30,1779561909829,1779561910897,delta,"0,0.05"
1779561910952,1779561910962,31,1779561909829,1779561910937,delta,"0,0.05"
1779561910995,1779561911012,32,1779561909829,1779561910980,delta,"0,0.05"
1779561911034,1779561911045,33,1779561909829,1779561911019,delta,"0,0.05"
1779561911077,1779561911083,34,1779561909829,1779561911062,delta,"0,0.05"
1779561911117,1779561911133,35,1779561909829,1779561911102,delta,"0,0.05"
1779561911160,1779561911167,36,1779561909829,1779561911145,delta,"0,0.05"
1779561911235,1779561911257,37,1779561909829,1779561911220,delta,"0,0.05"
1779561911241,1779561911257,38,1779561909829,1779561911226,delta,"0,0.05"
1779561911278,1779561911289,39,1779561909829,1779561911263,delta,"0,0.05"
