t3_recv,tq_dequeue,cmd_seq,t0,t1,action_type,action_data
1779571817992,1779571818029,1,1779571817981,1779571817982,delta,"0,0.05"
1779571817996,1779571818029,2,1779571817987,1779571817987,delta,"0,0.05"
1779571818037,1779571818063,3,1779571818028,1779571818028,delta,"0,0.05"
1779571818077,1779571818103,4,1779571818068,1779571818068,delta,"0,0.05"
1779571818118,1779571818159,5,1779571818109,1779571818109,delta,"0,0.05"
1779571818154,1779571818159,6,1779571818145,1779571818145,delta,"0,0.05"
1779571818187,1779571818193,7,1779571818177,1779571818178,delta,"0,0.05"
1779571818219,1779571818233,8,1779571818210,1779571818210,delta,"0,0.05"
1779571818252,1779571818289,9,1779571818242,1779571818242,delta,"0,0.05"
1779571818284,1779571818289,10,1779571818275,1779571818275,delta,"0,0.05"
1779571818317,1779571818322,11,1779571818307,1779571818308,delta,"0,0.05"
1779571818351,1779571818361,12,1779571818341,1779571818341,delta,"0,0.05"
1779571818391,1779571818418,13,1779571818382,1779571818382,delta,"0,0.05"
1779571818423,1779571818451,14,1779571818414,1779571818414,delta,"0,0.05"
1779571818464,1779571818491,15,1779571818455,1779571818455,delta,"0,0.05"
1779571818497,1779571818549,16,1779571818486,1779571818486,delta,"0,0.05"
1779571818529,1779571818549,17,1779571818519,1779571818519,delta,"0,0.05"
1779571818561,1779571818586,18,1779571818552,1779571818552,delta,"0,0.05"
1779571818601,1779571818624,19,1779571818592,1779571818592,delta,"0,0.05"
1779571818641,1779571818681,20,1779571818632,1779571818632,delta,"0,0.05"
1779571818683,1779571818715,21,1779571818674,1779571818674,delta,"0,0.05"
1779571818724,1779571818754,22,1779571818715,1779571818715,delta,"0,0.05"
1779571818810,1779571818810,23,1779571818800,1779571818800,delta,"0,0.05"
1779571818815,1779571818843,24,1779571818804,1779571818804,delta,"0,0.05"
1779571818896,1779571818939,25,1779571818886,1779571818886,delta,"0,0.05"
1779571818900,1779571818939,26,1779571818891,1779571818891,delta,"0,0.05"
1779571818940,1779571818972,27,1779571818930,1779571818930,delta,"0,0.05"
1779571818984,1779571819011,28,1779571818974,1779571818974,delta,"0,0.05"
1779571819022,1779571819068,29,1779571819013,1779571819013,delta,"0,0.05"
1779571819065,1779571819068,30,1779571819055,1779571819055,delta,"0,0.05"
1779571819106,1779571819144,31,1779571819096,1779571819096,delta,"0,0.05"
1779571819150,1779571819201,32,1779571819139,1779571819139,delta,"0,0.05"
1779571819190,1779571819201,33,1779571819176,1779571819177,delta,"0,0.05"
1779571819218,1779571819234,34,1779571819209,1779571819209,delta,"0,0.05"
1779571819251,1779571819273,35,1779571819242,1779571819242,delta,"0,0.05"
1779571819284,1779571819330,36,1779571819274,1779571819274,delta,"0,0.05"
1779571819316,1779571819330,37,1779571819307,1779571819307,delta,"0,0.05"
1779571819389,1779571819403,38,1779571819379,1779571819379,delta,"0,0.05"
1779571819392,1779571819403,39,1779571819383,1779571819383,delta,"0,0.05"
1779571819425,1779571819459,40,1779571819416,1779571819416,delta,"0,0.05"
1779571819469,1779571819495,41,1779571819460,1779571819460,delta,"0,0.05"
1779571819505,1779571819536,42,1779571819495,1779571819495,delta,"0,0.05"
1779571819541,1779571819593,43,1779571819532,1779571819532,delta,"0,0.05"
1779571819584,1779571819593,44,1779571819575,1779571819575,delta,"0,0.05"
1779571819632,1779571819666,45,1779571819623,1779571819623,delta,"0,0.05"
1779571819675,1779571819722,46,1779571819666,1779571819666,delta,"0,0.05"
1779571819719,1779571819722,47,1779571819709,1779571819709,delta,"0,0.05"
1779571819758,1779571819795,48,1779571819748,1779571819748,delta,"0,0.05"
1779571819801,1779571819850,49,1779571819791,1779571819791,delta,"0,0.05"
1779571819841,1779571819850,50,1779571819831,1779571819831,delta,"0,0.05"
1779571819925,1779571819925,51,1779571819915,1779571819915,delta,"0,0.05"
1779571819929,1779571819980,52,1779571819919,1779571819919,delta,"0,0.05"
1779571820007,1779571820013,53,1779571819998,1779571819998,delta,"0,0.05"
1779571820011,1779571820013,54,1779571820002,1779571820002,delta,"0,0.05"
1779571820051,1779571820053,55,1779571820041,1779571820042,delta,"0,0.05"
1779571820093,1779571820110,56,1779571820083,1779571820083,delta,"0,0.05"
1779571820134,1779571820144,57,1779571820125,1779571820125,delta,"0,0.05"
1779571820176,1779571820183,58,1779571820166,1779571820166,delta,"0,0.05"
1779571820210,1779571820239,59,1779571820201,1779571820201,delta,"0,0.05"
1779571820242,1779571820273,60,1779571820233,1779571820233,delta,"0,0.05"
1779571820277,1779571820312,61,1779571820266,1779571820266,delta,"0,0.05"
1779571820308,1779571820312,62,1779571820298,1779571820298,delta,"0,0.05"
1779571820341,1779571820368,63,1779571820331,1779571820331,delta,"0,0.05"
1779571820373,1779571820403,64,1779571820364,1779571820364,delta,"0,0.05"
1779571820407,1779571820443,65,1779571820397,1779571820397,delta,"0,0.05"
1779571820449,1779571820500,66,1779571820439,1779571820440,delta,"0,0.05"
1779571820480,1779571820500,67,1779571820471,1779571820471,delta,"0,0.05"
1779571820522,1779571820534,68,1779571820512,1779571820512,delta,"0,0.05"
1779571820553,1779571820579,69,1779571820544,1779571820544,delta,"0,0.05"
1779571820586,1779571820636,70,1779571820576,1779571820576,delta,"0,0.05"
