t3_recv,tq_dequeue,cmd_seq,t0,t1,action_type,action_data
1779572252283,1779572252301,1,1779572252268,1779572252268,delta,"0,0.05"
1779572252288,1779572252301,2,1779572252275,1779572252275,delta,"0,0.05"
1779572252331,1779572252340,3,1779572252318,1779572252318,delta,"0,0.05"
1779572252373,1779572252396,4,1779572252359,1779572252359,delta,"0,0.05"
1779572252416,1779572252431,5,1779572252402,1779572252402,delta,"0,0.05"
1779572252457,1779572252472,6,1779572252443,1779572252443,delta,"0,0.05"
1779572252500,1779572252529,7,1779572252486,1779572252486,delta,"0,0.05"
1779572252576,1779572252601,8,1779572252562,1779572252562,delta,"0,0.05"
1779572252581,1779572252601,9,1779572252568,1779572252568,delta,"0,0.05"
1779572252621,1779572252657,10,1779572252608,1779572252608,delta,"0,0.05"
1779572252663,1779572252691,11,1779572252649,1779572252649,delta,"0,0.05"
1779572252703,1779572252730,12,1779572252690,1779572252690,delta,"0,0.05"
1779572252744,1779572252786,13,1779572252730,1779572252730,delta,"0,0.05"
1779572252784,1779572252786,14,1779572252770,1779572252770,delta,"0,0.05"
1779572252825,1779572252859,15,1779572252811,1779572252811,delta,"0,0.05"
1779572252867,1779572252915,16,1779572252854,1779572252854,delta,"0,0.05"
1779572252905,1779572252915,17,1779572252892,1779572252892,delta,"0,0.05"
1779572252940,1779572252948,18,1779572252927,1779572252927,delta,"0,0.05"
1779572252976,1779572252988,19,1779572252962,1779572252962,delta,"0,0.05"
1779572253009,1779572253045,20,1779572252996,1779572252996,delta,"0,0.05"
1779572253046,1779572253078,21,1779572253032,1779572253032,delta,"0,0.05"
1779572253082,1779572253116,22,1779572253068,1779572253068,delta,"0,0.05"
1779572253129,1779572253172,23,1779572253115,1779572253115,delta,"0,0.05"
1779572253164,1779572253172,24,1779572253149,1779572253149,delta,"0,0.05"
1779572253204,1779572253204,25,1779572253190,1779572253190,delta,"0,0.05"
1779572253235,1779572253243,26,1779572253222,1779572253222,delta,"0,0.05"
1779572253268,1779572253299,27,1779572253255,1779572253255,delta,"0,0.05"
1779572253350,1779572253371,28,1779572253337,1779572253337,delta,"0,0.05"
1779572253356,1779572253371,29,1779572253342,1779572253342,delta,"0,0.05"
1779572253401,1779572253428,30,1779572253387,1779572253387,delta,"0,0.05"
1779572253441,1779572253461,31,1779572253427,1779572253427,delta,"0,0.05"
1779572253485,1779572253500,32,1779572253471,1779572253472,delta,"0,0.05"
1779572253526,1779572253556,33,1779572253511,1779572253511,delta,"0,0.05"
1779572253568,1779572253589,34,1779572253554,1779572253555,delta,"0,0.05"
1779572253613,1779572253628,35,1779572253600,1779572253600,delta,"0,0.05"
1779572253690,1779572253716,36,1779572253677,1779572253677,delta,"0,0.05"
1779572253694,1779572253716,37,1779572253680,1779572253680,delta,"0,0.05"
1779572253734,1779572253756,38,1779572253721,1779572253721,delta,"0,0.05"
1779572253775,1779572253811,39,1779572253762,1779572253762,delta,"0,0.05"
1779572253817,1779572253845,40,1779572253804,1779572253804,delta,"0,0.05"
1779572253857,1779572253886,41,1779572253844,1779572253844,delta,"0,0.05"
1779572253901,1779572253941,42,1779572253888,1779572253888,delta,"0,0.05"
1779572253942,1779572253975,43,1779572253928,1779572253928,delta,"0,0.05"
1779572253974,1779572253975,44,1779572253960,1779572253960,delta,"0,0.05"
1779572254007,1779572254014,45,1779572253993,1779572253993,delta,"0,0.05"
1779572254039,1779572254071,46,1779572254026,1779572254026,delta,"0,0.05"
1779572254073,1779572254104,47,1779572254060,1779572254060,delta,"0,0.05"
1779572254116,1779572254143,48,1779572254103,1779572254103,delta,"0,0.05"
1779572254148,1779572254199,49,1779572254135,1779572254135,delta,"0,0.05"
1779572254190,1779572254199,50,1779572254174,1779572254174,delta,"0,0.05"
1779572254219,1779572254231,51,1779572254205,1779572254205,delta,"0,0.05"
1779572254252,1779572254270,52,1779572254238,1779572254238,delta,"0,0.05"
1779572254284,1779572254326,53,1779572254271,1779572254271,delta,"0,0.05"
1779572254318,1779572254326,54,1779572254304,1779572254304,delta,"0,0.05"
1779572254404,1779572254457,55,1779572254390,1779572254390,delta,"0,0.05"
1779572254408,1779572254457,56,1779572254395,1779572254395,delta,"0,0.05"
1779572254452,1779572254457,57,1779572254439,1779572254439,delta,"0,0.05"
1779572254495,1779572254530,58,1779572254481,1779572254481,delta,"0,0.05"
1779572254539,1779572254586,59,1779572254525,1779572254525,delta,"0,0.05"
1779572254580,1779572254586,60,1779572254566,1779572254566,delta,"0,0.05"
1779572254617,1779572254619,61,1779572254604,1779572254604,delta,"0,0.05"
1779572254660,1779572254713,62,1779572254646,1779572254646,delta,"0,0.05"
1779572254698,1779572254713,63,1779572254684,1779572254684,delta,"0,0.05"
1779572254739,1779572254745,64,1779572254726,1779572254726,delta,"0,0.05"
1779572254783,1779572254784,65,1779572254769,1779572254769,delta,"0,0.05"
1779572254821,1779572254839,66,1779572254807,1779572254807,delta,"0,0.05"
1779572254865,1779572254872,67,1779572254852,1779572254852,delta,"0,0.05"
1779572254904,1779572254911,68,1779572254891,1779572254891,delta,"0,0.05"
1779572254937,1779572254968,69,1779572254923,1779572254923,delta,"0,0.05"
1779572254969,1779572255000,70,1779572254956,1779572254956,delta,"0,0.05"
1779572255002,1779572255038,71,1779572254988,1779572254988,delta,"0,0.05"
1779572255034,1779572255038,72,1779572255021,1779572255021,delta,"0,0.05"
1779572255069,1779572255094,73,1779572255055,1779572255055,delta,"0,0.05"
1779572255100,1779572255127,74,1779572255087,1779572255087,delta,"0,0.05"
1779572255141,1779572255165,75,1779572255128,1779572255128,delta,"0,0.05"
1779572255173,1779572255221,76,1779572255159,1779572255159,delta,"0,0.05"
1779572255213,1779572255221,77,1779572255200,1779572255200,delta,"0,0.05"
