t3_recv,tq_dequeue,cmd_seq,t0,t1,action_type,action_data
1779573428660,1779573428685,1,1779573428638,1779573428640,delta,"0,0.05"
1779573428664,1779573428685,2,1779573428645,1779573428645,delta,"0,0.05"
1779573428701,1779573428718,3,1779573428682,1779573428682,delta,"0,0.05"
1779573428742,1779573428757,4,1779573428723,1779573428723,delta,"0,0.05"
1779573428813,1779573428813,5,1779573428793,1779573428793,delta,"0,0.05"
1779573428816,1779573428847,6,1779573428797,1779573428797,delta,"0,0.05"
1779573428848,1779573428887,7,1779573428829,1779573428829,delta,"0,0.05"
1779573428881,1779573428887,8,1779573428862,1779573428862,delta,"0,0.05"
1779573428950,1779573428978,9,1779573428932,1779573428932,delta,"0,0.05"
1779573428954,1779573428978,10,1779573428935,1779573428935,delta,"0,0.05"
1779573428988,1779573429016,11,1779573428969,1779573428969,delta,"0,0.05"
1779573429021,1779573429071,12,1779573429002,1779573429002,delta,"0,0.05"
1779573429054,1779573429071,13,1779573429035,1779573429036,delta,"0,0.05"
1779573429093,1779573429104,14,1779573429074,1779573429074,delta,"0,0.05"
1779573429137,1779573429142,15,1779573429118,1779573429118,delta,"0,0.05"
1779573429179,1779573429198,16,1779573429160,1779573429160,delta,"0,0.05"
1779573429263,1779573429270,17,1779573429244,1779573429244,delta,"0,0.05"
1779573429268,1779573429270,18,1779573429248,1779573429248,delta,"0,0.05"
1779573429343,1779573429358,19,1779573429324,1779573429324,delta,"0,0.05"
1779573429347,1779573429358,20,1779573429328,1779573429328,delta,"0,0.05"
1779573429387,1779573429398,21,1779573429368,1779573429368,delta,"0,0.05"
1779573429427,1779573429454,22,1779573429408,1779573429408,delta,"0,0.05"
1779573429474,1779573429488,23,1779573429455,1779573429455,delta,"0,0.05"
1779573429524,1779573429527,24,1779573429504,1779573429505,delta,"0,0.05"
1779573429572,1779573429587,25,1779573429552,1779573429552,delta,"0,0.05"
1779573429621,1779573429621,26,1779573429602,1779573429602,delta,"0,0.05"
1779573429670,1779573429717,27,1779573429651,1779573429651,delta,"0,0.05"
1779573429706,1779573429717,28,1779573429686,1779573429686,delta,"0,0.05"
1779573429748,1779573429751,29,1779573429728,1779573429728,delta,"0,0.05"
1779573429778,1779573429793,30,1779573429759,1779573429759,delta,"0,0.05"
1779573429811,1779573429851,31,1779573429792,1779573429792,delta,"0,0.05"
1779573429854,1779573429885,32,1779573429834,1779573429834,delta,"0,0.05"
1779573429885,1779573429885,33,1779573429866,1779573429866,delta,"0,0.05"
1779573429917,1779573429924,34,1779573429898,1779573429898,delta,"0,0.05"
1779573429950,1779573429980,35,1779573429931,1779573429931,delta,"0,0.05"
1779573429985,1779573430014,36,1779573429963,1779573429966,delta,"0,0.05"
1779573430052,1779573430058,37,1779573430033,1779573430033,delta,"0,0.05"
1779573430057,1779573430059,38,1779573430037,1779573430037,delta,"0,0.05"
1779573430091,1779573430114,39,1779573430072,1779573430072,delta,"0,0.05"
1779573430136,1779573430153,40,1779573430117,1779573430117,delta,"0,0.05"
1779573430179,1779573430193,41,1779573430159,1779573430159,delta,"0,0.05"
1779573430227,1779573430249,42,1779573430208,1779573430208,delta,"0,0.05"
1779573430262,1779573430283,43,1779573430243,1779573430243,delta,"0,0.05"
1779573430343,1779573430379,44,1779573430324,1779573430324,delta,"0,0.05"
1779573430349,1779573430379,45,1779573430330,1779573430330,delta,"0,0.05"
1779573430387,1779573430413,46,1779573430368,1779573430368,delta,"0,0.05"
1779573430430,1779573430453,47,1779573430411,1779573430411,delta,"0,0.05"
1779573430471,1779573430510,48,1779573430452,1779573430452,delta,"0,0.05"
1779573430513,1779573430547,49,1779573430494,1779573430494,delta,"0,0.05"
1779573430555,1779573430588,50,1779573430536,1779573430536,delta,"0,0.05"
1779573430598,1779573430644,51,1779573430579,1779573430579,delta,"0,0.05"
1779573430639,1779573430644,52,1779573430620,1779573430620,delta,"0,0.05"
1779573430682,1779573430718,53,1779573430663,1779573430663,delta,"0,0.05"
1779573430718,1779573430718,54,1779573430698,1779573430698,delta,"0,0.05"
1779573430750,1779573430775,55,1779573430731,1779573430731,delta,"0,0.05"
1779573430793,1779573430809,56,1779573430773,1779573430773,delta,"0,0.05"
1779573430823,1779573430855,57,1779573430804,1779573430804,delta,"0,0.05"
1779573430865,1779573430912,58,1779573430846,1779573430846,delta,"0,0.05"
1779573430897,1779573430912,59,1779573430877,1779573430877,delta,"0,0.05"
1779573430930,1779573430946,60,1779573430910,1779573430910,delta,"0,0.05"
