t3_recv,tq_dequeue,cmd_seq,t0,t1,action_type,action_data
1779564002568,1779564002616,,,,unknown,"{""handshake"": 1}"
1779564009966,1779564010005,1,1779564009953,1779564009954,delta,"0,0.05"
1779564009971,1779564010005,2,1779564009960,1779564009960,delta,"0,0.05"
1779564010005,1779564010005,3,1779564009994,1779564009994,delta,"0,0.05"
1779564010039,1779564010078,4,1779564010028,1779564010028,delta,"0,0.05"
1779564010074,1779564010079,5,1779564010062,1779564010062,delta,"0,0.05"
1779564010108,1779564010132,6,1779564010096,1779564010096,delta,"0,0.05"
1779564010142,1779564010166,7,1779564010131,1779564010131,delta,"0,0.05"
1779564010176,1779564010207,8,1779564010165,1779564010165,delta,"0,0.05"
1779564010211,1779564010259,9,1779564010200,1779564010200,delta,"0,0.05"
1779564010245,1779564010259,10,1779564010233,1779564010233,delta,"0,0.05"
1779564010280,1779564010292,11,1779564010269,1779564010269,delta,"0,0.05"
1779564010356,1779564010383,12,1779564010345,1779564010345,delta,"0,0.05"
1779564010361,1779564010383,13,1779564010349,1779564010349,delta,"0,0.05"
1779564010394,1779564010416,14,1779564010383,1779564010383,delta,"0,0.05"
1779564010432,1779564010456,15,1779564010421,1779564010421,delta,"0,0.05"
1779564010470,1779564010508,16,1779564010459,1779564010459,delta,"0,0.05"
1779564010505,1779564010508,17,1779564010494,1779564010494,delta,"0,0.05"
1779564010539,1779564010543,18,1779564010528,1779564010528,delta,"0,0.05"
1779564010573,1779564010582,19,1779564010562,1779564010562,delta,"0,0.05"
1779564010608,1779564010634,20,1779564010596,1779564010596,delta,"0,0.05"
1779564010642,1779564010669,21,1779564010631,1779564010631,delta,"0,0.05"
1779564010676,1779564010709,22,1779564010665,1779564010665,delta,"0,0.05"
1779564010711,1779564010762,23,1779564010700,1779564010700,delta,"0,0.05"
1779564010746,1779564010762,24,1779564010734,1779564010734,delta,"0,0.05"
1779564010780,1779564010796,25,1779564010769,1779564010769,delta,"0,0.05"
1779564010816,1779564010836,26,1779564010805,1779564010805,delta,"0,0.05"
1779564010860,1779564010888,27,1779564010849,1779564010849,delta,"0,0.05"
1779564010894,1779564010921,28,1779564010882,1779564010882,delta,"0,0.05"
1779564010946,1779564010960,29,1779564010934,1779564010934,delta,"0,0.05"
1779564010970,1779564011013,30,1779564010959,1779564010959,delta,"0,0.05"
1779564011004,1779564011013,31,1779564010993,1779564010993,delta,"0,0.05"
1779564011039,1779564011047,32,1779564011028,1779564011028,delta,"0,0.05"
1779564011075,1779564011087,33,1779564011064,1779564011064,delta,"0,0.05"
1779564011108,1779564011140,34,1779564011096,1779564011096,delta,"0,0.05"
1779564011142,1779564011175,35,1779564011131,1779564011131,delta,"0,0.05"
1779564011177,1779564011215,36,1779564011165,1779564011165,delta,"0,0.05"
1779564011211,1779564011215,37,1779564011200,1779564011200,delta,"0,0.05"
1779564011245,1779564011267,38,1779564011234,1779564011234,delta,"0,0.05"
