t3_recv,tq_dequeue,cmd_seq,t0,t1,action_type,action_data
1779574729621,1779574729630,1,1779574729611,1779574729611,delta,"0,0.05"
1779574729625,1779574729630,2,1779574729616,1779574729616,delta,"0,0.05"
1779574729660,1779574729665,3,1779574729652,1779574729652,delta,"0,0.05"
1779574729695,1779574729705,4,1779574729686,1779574729686,delta,"0,0.05"
1779574729771,1779574729800,5,1779574729762,1779574729762,delta,"0,0.05"
1779574729775,1779574729800,6,1779574729766,1779574729766,delta,"0,0.05"
1779574729848,1779574729904,7,1779574729839,1779574729839,delta,"0,0.05"
1779574729852,1779574729904,8,1779574729843,1779574729843,delta,"0,0.05"
1779574729887,1779574729904,9,1779574729876,1779574729876,delta,"0,0.05"
1779574729926,1779574729938,10,1779574729918,1779574729918,delta,"0,0.05"
1779574729958,1779574729979,11,1779574729950,1779574729950,delta,"0,0.05"
1779574729992,1779574730040,12,1779574729982,1779574729982,delta,"0,0.05"
1779574730024,1779574730040,13,1779574730014,1779574730015,delta,"0,0.05"
1779574730057,1779574730076,14,1779574730047,1779574730047,delta,"0,0.05"
1779574730089,1779574730116,15,1779574730080,1779574730080,delta,"0,0.05"
1779574730121,1779574730177,16,1779574730112,1779574730112,delta,"0,0.05"
1779574730154,1779574730177,17,1779574730145,1779574730145,delta,"0,0.05"
1779574730192,1779574730210,18,1779574730182,1779574730182,delta,"0,0.05"
1779574730225,1779574730251,19,1779574730215,1779574730216,delta,"0,0.05"
1779574730257,1779574730312,20,1779574730248,1779574730248,delta,"0,0.05"
1779574730290,1779574730312,21,1779574730281,1779574730281,delta,"0,0.05"
1779574730331,1779574730348,22,1779574730322,1779574730322,delta,"0,0.05"
1779574730362,1779574730389,23,1779574730354,1779574730354,delta,"0,0.05"
1779574730405,1779574730455,24,1779574730394,1779574730394,delta,"0,0.05"
1779574730435,1779574730455,25,1779574730426,1779574730426,delta,"0,0.05"
1779574730467,1779574730489,26,1779574730459,1779574730459,delta,"0,0.05"
1779574730500,1779574730530,27,1779574730491,1779574730491,delta,"0,0.05"
1779574730532,1779574730591,28,1779574730524,1779574730524,delta,"0,0.05"
1779574730565,1779574730591,29,1779574730557,1779574730557,delta,"0,0.05"
1779574730598,1779574730625,30,1779574730589,1779574730589,delta,"0,0.05"
1779574730632,1779574730665,31,1779574730622,1779574730622,delta,"0,0.05"
1779574730663,1779574730666,32,1779574730655,1779574730655,delta,"0,0.05"
1779574730696,1779574730727,33,1779574730687,1779574730687,delta,"0,0.05"
1779574730729,1779574730763,34,1779574730720,1779574730720,delta,"0,0.05"
1779574730761,1779574730763,35,1779574730753,1779574730753,delta,"0,0.05"
1779574730795,1779574730804,36,1779574730786,1779574730786,delta,"0,0.05"
1779574730876,1779574730899,37,1779574730868,1779574730868,delta,"0,0.05"
1779574730880,1779574730899,38,1779574730871,1779574730871,delta,"0,0.05"
1779574730921,1779574730940,39,1779574730912,1779574730912,delta,"0,0.05"
1779574730954,1779574731000,40,1779574730945,1779574730945,delta,"0,0.05"
1779574730987,1779574731000,41,1779574730978,1779574730978,delta,"0,0.05"
1779574731020,1779574731034,42,1779574731011,1779574731011,delta,"0,0.05"
1779574731052,1779574731075,43,1779574731044,1779574731044,delta,"0,0.05"
1779574731085,1779574731136,44,1779574731077,1779574731077,delta,"0,0.05"
1779574731118,1779574731136,45,1779574731109,1779574731109,delta,"0,0.05"
1779574731150,1779574731170,46,1779574731141,1779574731141,delta,"0,0.05"
1779574731183,1779574731210,47,1779574731174,1779574731174,delta,"0,0.05"
1779574731216,1779574731271,48,1779574731207,1779574731207,delta,"0,0.05"
1779574731248,1779574731271,49,1779574731240,1779574731240,delta,"0,0.05"
1779574731283,1779574731306,50,1779574731273,1779574731273,delta,"0,0.05"
1779574731315,1779574731347,51,1779574731306,1779574731306,delta,"0,0.05"
1779574731356,1779574731408,52,1779574731347,1779574731347,delta,"0,0.05"
1779574731388,1779574731408,53,1779574731378,1779574731379,delta,"0,0.05"
1779574731421,1779574731443,54,1779574731412,1779574731412,delta,"0,0.05"
1779574731461,1779574731485,55,1779574731453,1779574731453,delta,"0,0.05"
1779574731492,1779574731547,56,1779574731483,1779574731483,delta,"0,0.05"
1779574731525,1779574731547,57,1779574731516,1779574731517,delta,"0,0.05"
1779574731557,1779574731585,58,1779574731549,1779574731549,delta,"0,0.05"
1779574731590,1779574731627,59,1779574731582,1779574731582,delta,"0,0.05"
1779574731624,1779574731627,60,1779574731615,1779574731615,delta,"0,0.05"
1779574731656,1779574731688,61,1779574731647,1779574731647,delta,"0,0.05"
1779574731689,1779574731723,62,1779574731680,1779574731680,delta,"0,0.05"
1779574731721,1779574731723,63,1779574731712,1779574731712,delta,"0,0.05"
1779574731754,1779574731763,64,1779574731745,1779574731745,delta,"0,0.05"
1779574731787,1779574731823,65,1779574731778,1779574731778,delta,"0,0.05"
1779574731820,1779574731823,66,1779574731811,1779574731811,delta,"0,0.05"
1779574731861,1779574731898,67,1779574731852,1779574731852,delta,"0,0.05"
1779574731893,1779574731898,68,1779574731884,1779574731884,delta,"0,0.05"
1779574731975,1779574731992,69,1779574731966,1779574731966,delta,"0,0.05"
1779574731979,1779574731992,70,1779574731970,1779574731970,delta,"0,0.05"
1779574732012,1779574732034,71,1779574732003,1779574732003,delta,"0,0.05"
1779574732046,1779574732096,72,1779574732037,1779574732037,delta,"0,0.05"
1779574732078,1779574732096,73,1779574732070,1779574732070,delta,"0,0.05"
1779574732111,1779574732130,74,1779574732103,1779574732103,delta,"0,0.05"
1779574732154,1779574732171,75,1779574732145,1779574732145,delta,"0,0.05"
1779574732177,1779574732232,76,1779574732168,1779574732168,delta,"0,0.05"
1779574732210,1779574732232,77,1779574732201,1779574732201,delta,"0,0.05"
1779574732242,1779574732266,78,1779574732233,1779574732233,delta,"0,0.05"
1779574732275,1779574732307,79,1779574732267,1779574732267,delta,"0,0.05"
1779574732308,1779574732368,80,1779574732299,1779574732299,delta,"0,0.05"
1779574732380,1779574732404,81,1779574732372,1779574732372,delta,"0,0.05"
1779574732385,1779574732404,82,1779574732376,1779574732376,delta,"0,0.05"
1779574732417,1779574732445,83,1779574732408,1779574732408,delta,"0,0.05"
1779574732458,1779574732506,84,1779574732449,1779574732449,delta,"0,0.05"
1779574732490,1779574732506,85,1779574732481,1779574732481,delta,"0,0.05"
1779574732522,1779574732540,86,1779574732513,1779574732513,delta,"0,0.05"
1779574732555,1779574732581,87,1779574732546,1779574732546,delta,"0,0.05"
1779574732587,1779574732642,88,1779574732579,1779574732579,delta,"0,0.05"
1779574732620,1779574732642,89,1779574732611,1779574732611,delta,"0,0.05"
1779574732653,1779574732676,90,1779574732644,1779574732644,delta,"0,0.05"
1779574732686,1779574732717,91,1779574732677,1779574732677,delta,"0,0.05"
1779574732719,1779574732778,92,1779574732710,1779574732710,delta,"0,0.05"
1779574732751,1779574732778,93,1779574732742,1779574732742,delta,"0,0.05"
1779574732784,1779574732811,94,1779574732775,1779574732775,delta,"0,0.05"
1779574732817,1779574732852,95,1779574732808,1779574732808,delta,"0,0.05"
1779574732889,1779574732913,96,1779574732880,1779574732880,delta,"0,0.05"
1779574732894,1779574732913,97,1779574732885,1779574732885,delta,"0,0.05"
1779574732926,1779574732947,98,1779574732918,1779574732918,delta,"0,0.05"
1779574732968,1779574732988,99,1779574732959,1779574732959,delta,"0,0.05"
1779574733005,1779574733048,100,1779574732996,1779574732996,delta,"0,0.05"
1779574733038,1779574733048,101,1779574733029,1779574733029,delta,"0,0.05"
1779574733106,1779574733124,102,1779574733097,1779574733097,delta,"0,0.05"
1779574733110,1779574733124,103,1779574733101,1779574733101,delta,"0,0.05"
1779574733144,1779574733185,104,1779574733135,1779574733135,delta,"0,0.05"
1779574733180,1779574733185,105,1779574733171,1779574733171,delta,"0,0.05"
1779574733215,1779574733220,106,1779574733206,1779574733206,delta,"0,0.05"
1779574733247,1779574733260,107,1779574733238,1779574733238,delta,"0,0.05"
1779574733279,1779574733320,108,1779574733270,1779574733270,delta,"0,0.05"
1779574733312,1779574733320,109,1779574733303,1779574733303,delta,"0,0.05"
1779574733383,1779574733395,110,1779574733375,1779574733375,delta,"0,0.05"
1779574733388,1779574733395,111,1779574733380,1779574733380,delta,"0,0.05"
